id,stim,response,flexibility_1,flexibility_2
1094,Box,to store things,1,1
1094,Box,to build a fort,4,4
1094,Box,as an umbrella,1,1
1094,Box,to catch a bunny,4,4
1093,Box,standing on,1,1
1093,Box,putting items in,1,1
1093,Box,opening,1,1
1093,Box,closing,1,1
1093,Box,cutting,1,1
1093,Box,make a dollhouse,4,4
1093,Box,fill,1,1
1093,Box,sleep in,1,1
1159,Box,Put things in,1,1
1159,Box,sit in,1,1
1159,Box,play with,4,4
1159,Box,break apart for other uses,1,1
1159,Box,delivery things in,1,1
1159,Box,wrap,1,1
1195,Box,store something,1,1
1195,Box,stand on top of,1,1
1195,Box,sit on,1,1
1195,Box,sit in,1,1
1195,Box,use it to make art,4,4
1141,Box,to store items,1,1
1141,Box,to prop something up,1,1
1141,Box,to stand on,1,1
1141,Box,to live in,4,4
1141,Box,to use for boxcars,4,4
1104,Box,storing,1,1
1104,Box,building,1,1
1286,Box,can live in it,,
1286,Box,can store stuff in it,1,1
1286,Box,can use it as a trash,1,1
1205,Box,SPACE SHIP,4,4
1205,Box,HIDING SPOT,4,4
1205,Box,FIRE STARTER,4,4
1205,Box,WRITE STUFF ON,4,4
1205,Box,PUNCHING BAG,4,4
1205,Box,DRUM,4,4
1163,Box,to store,1,1
1163,Box,to hide,1,1
1163,Box,to organize,1,1
1163,Box,to ship,1,1
1192,Box,store items,1,1
1192,Box,stand on it,1,1
1192,Box,can be decorative,3,3
1087,Box,storage,1,1
1087,Box,home for ducks,4,4
1087,Box,piggy bank,3,3
1087,Box,playpen for children,4,4
1176,Box,storage,1,1
1176,Box,make a decoration,3,3
1176,Box,make a costume,4,4
1176,Box,trash bin,1,1
1258,Box,To hold stuff,1,1
1258,Box,cardboard,1,1
1258,Box,to package,1,1
1258,Box,to stand on to reach something,1,1
1258,Box,something new comes in it,1,1
1186,Box,container,1,1
1186,Box,cardboard,1,1
1186,Box,fort,4,4
1186,Box,carrying case for cat,1,1
1186,Box,timeout place,2,2
1186,Box,bed,1,1
1186,Box,conceal something underneath,1,1
1186,Box,jail,2,2
1174,Box,put something inside it,1,1
1174,Box,put over someones head,3,3
1133,Box,Put stuff inside,1,1
1133,Box,make a fort,4,4
1133,Box,put stuff on top,1,1
1133,Box,hide inside the box,4,4
1133,Box,let your cat use it,4,4
1133,Box,carry stuff,1,1
1133,Box,bowl,1,1
1133,Box,present,3,3
1138,Box,storing items,1,1
1138,Box,bed for a pet,1,1
1138,Box,to be worn as a hat,3,3
1138,Box,container for selling something,1,1
1138,Box,school project,4,4
1221,Box,things are packaged in it,1,1
