id,stim,response,flexibility_1,flexibility_2
1094,Brick,build a structure,1,1
1094,Brick,throw and break a window,1,1
1094,Brick,use as a stepping stool,1,1
1094,Brick,drop a brick over a small fire to snuff it out,1,1
1094,Brick,as a hammer,1,1
1093,Brick,building,1,1
1093,Brick,throwing,1,1
1093,Brick,propping a door open,1,1
1093,Brick,paving in a sidewalk,1,1
1093,Brick,engraving,3,3
1093,Brick,collecting,4,4
1093,Brick,cook with charcoal bricks,1,1
1159,Brick,Build,1,1
1159,Brick,weapon,2,2
1159,Brick,tool,1,1
1159,Brick,decoration,3,3
1159,Brick,a way to communicate,1,1
1195,Brick,to break a window,1,1
1195,Brick,to build a house,1,1
1195,Brick,to fix something,1,1
1195,Brick,to sit on,1,1
1195,Brick,as sandpaper,1,1
1195,Brick,to hit someone with,2,2
1141,Brick,to build foundation/wall,1,1
1141,Brick,to throw at something,1,1
1141,Brick,to use as weapon,2,2
1141,Brick,to prop up an item,1,1
1104,Brick,hiding a key,1,1
1104,Brick,building,1,1
1104,Brick,throwing through a window,1,1
1104,Brick,weighing something down,1,1
1286,Brick,houses,1,1
1286,Brick,throwing at people,2,2
1286,Brick,wall,1,1
1286,Brick,can prop stuff up,1,1
1205,Brick,PAPER WEIGHT,1,1
1205,Brick,WHEEL WEDGE,1,1
1205,Brick,DOOR STOP,1,1
1163,Brick,to build a house,1,1
1163,Brick,to throw,2,2
1163,Brick,to use as a weight,4,4
1192,Brick,building material for house,1,1
1192,Brick,can be used as a weapon,2,2
1192,Brick,can be used as material for a fire pit,1,1
1192,Brick,decorative item for gardens,3,3
1087,Brick,weapon,2,2
1087,Brick,for construction,1,1
1087,Brick,for a paper weight,3,3
1087,Brick,for decoration,3,3
1087,Brick,for a bug killer,2,2
1087,Brick,for playing catch,1,1
1176,Brick,landscaping,3,3
1176,Brick,building things,1,1
1176,Brick,Breaking things,1,1
1176,Brick,holding things,1,1
1258,Brick,to build building with,1,1
1258,Brick,to throw,2,2
1258,Brick,to prop something up against,1,1
1258,Brick,to create a wall between two people,1,1
1186,Brick,smack,2,2
1186,Brick,building,1,1
1186,Brick,home for mice,3,3
1186,Brick,container,1,1
1186,Brick,secret slot,1,1
1186,Brick,paperweight,3,3
1186,Brick,decoration,3,3
1186,Brick,cooking,1,1
1186,Brick,brick cheese,1,1
1174,Brick,make a house,1,1
1174,Brick,smash someones head,2,2
1174,Brick,use as pillow,1,1
1133,Brick,buildings,1,1
1133,Brick,painting on the brick,4,4
1133,Brick,throwing the brick,2,2
1133,Brick,using it to hammer something,1,1
1133,Brick,using it to hold paper down,1,1
1133,Brick,using it to prop something,1,1
1138,Brick,building a house,1,1
1138,Brick,paperweight,3,3
1138,Brick,to attack someone,2,2
1138,Brick,to be used in art,3,3
1221,Brick,build a house,1,1
1221,Brick,paperweight,3,3
1221,Brick,hate message to throw through a window,2,2
1221,Brick,toys,4,4
1221,Brick,cook on it if it gets hot enough in the sun,1,1
1221,Brick,line a park's exterior border,1,1
1194,Brick,build something,1,1
1194,Brick,weigh papers down,1,1
1194,Brick,break something,1,1
1194,Brick,use as a weight while working out,4,4
1147,Brick,to build a house,1,1
1147,Brick,to stand on to be taller,1,1
1147,Brick,to use as a paperweight,3,3
1147,Brick,to paint,4,4
1162,Brick,build house,1,1
1162,Brick,smash a window,2,2
1162,Brick,use it as a weight,4,4
1102,Brick,building houses,1,1
1102,Brick,hitting,2,2
1102,Brick,throwing,2,2
1102,Brick,stacking,1,1
1230,Brick,build a structure house,1,1
1230,Brick,a weapon,2,2
1230,Brick,a weight for holding something down or working out,4,4
1123,Brick,stone,,
1129,Brick,build things,1,1
1129,Brick,hold something such as a tarp down when it's windy,1,1
1228,Brick,break a window,1,1
1228,Brick,build a wall,1,1
1228,Brick,raise objects,1,1
