id,stim,response,flexibility_1,flexibility_2
1159,Cup,drink things out of,1,1
1159,Cup,to trap bugs in,1,1
1159,Cup,to stack with,1,1
1159,Cup,to put food in,1,1
1159,Cup,to play games with,4,4
1159,Cup,to transport things in,1,1
1159,Cup,to roll around,4,4
1159,Cup,to use as a decoration,3,3
1104,Cup,measuring liquids,1,1
1104,Cup,drinking from,1,1
1104,Cup,creating a rhythm,4,4
1104,Cup,drawing a circle,1,1
1104,Cup,holding pencils,1,1
1093,Cup,drinking,1,1
1093,Cup,spilling,1,1
1093,Cup,placing pens,1,1
1093,Cup,breaking,1,1
1093,Cup,measuring,1,1
1141,Cup,to store a liquid,1,1
1141,Cup,to drink from,1,1
1141,Cup,to pour a liquid onto something,1,1
1141,Cup,to use as a weapon,2,2
1141,Cup,to use as a stand/infrastructure,1,1
1141,Cup,to mix liquids inside,1,1
1141,Cup,to trap a bug or mouse,1,1
1176,Cup,drinking,1,1
1176,Cup,trapping things,1,1
1176,Cup,holding items,1,1
1176,Cup,cup pyramid,4,4
1286,Cup,drinking,1,1
1286,Cup,pong,4,4
1286,Cup,cup stacking,4,4
1286,Cup,soup,1,1
1286,Cup,store food,1,1
1258,Cup,to drink out of,1,1
1258,Cup,put food in when out of bowls,1,1
1258,Cup,to play games with,4,4
1221,Cup,drink,1,1
1221,Cup,mix inside,1,1
1221,Cup,bake a mug cake,1,1
1221,Cup,build sand castles,4,4
1221,Cup,play different cup games,4,4
1205,Cup,plant holder,3,3
1205,Cup,drum,5,5
1205,Cup,prism,3,3
1138,Cup,putting liquids in,1,1
1138,Cup,to trap a bug,1,1
1138,Cup,to cook muffins or cupcakes in,4,4
1138,Cup,to put around your ears,3,3
1138,Cup,to catch something,1,1
1186,Cup,drink holder,1,1
1186,Cup,hide something under,1,1
1186,Cup,table for mice,3,3
1186,Cup,home for tiny kitten,4,4
1186,Cup,hat,3,3
1186,Cup,decoration,3,3
1186,Cup,gift,3,3
1147,Cup,holding a drink,1,1
1147,Cup,making music,4,4
1147,Cup,playing cup pong,4,4
1147,Cup,stacking,4,4
1147,Cup,making a conveyor belt,1,1
1147,Cup,a hat,3,3
1147,Cup,use for kids' arts and crafts,4,4
1094,Cup,to store liquid,1,1
1094,Cup,to drink from,1,1
1094,Cup,to trap a bug,1,1
1094,Cup,to measure things,1,1
1094,Cup,to cook things in,1,1
1162,Cup,drink/eat from it,1,1
1162,Cup,use it as storage,1,1
1162,Cup,use it as decoration,3,3
1162,Cup,baseball gear,3,3
1102,Cup,drinking,1,1
1102,Cup,making music,4,4
1102,Cup,eating cereal/snacks,1,1
1102,Cup,party hat,3,3
1102,Cup,telephone,1,1
1174,Cup,drink from it,1,1
1174,Cup,stack them,4,4
1174,Cup,position them as bowling pins,4,4
1180,Cup,drink,1,1
1180,Cup,hold,1,1
1180,Cup,put food in,1,1
1180,Cup,scoop water,1,1
1180,Cup,pour drink,1,1
1180,Cup,wash,1,1
1193,Cup,to hold liquid,1,1
1193,Cup,to use as a weight,4,4
1193,Cup,to capture a bug,1,1
1193,Cup,to speak into and alter your voice,4,4
1193,Cup,to suction,1,1
1209,Cup,drinking,1,1
1209,Cup,stacking,1,1
1209,Cup,beer pong,4,4
1209,Cup,pencil holder,1,1
1209,Cup,water cup for painting,4,4
1123,Cup,drinking,1,1
1123,Cup,measuring,1,1
1123,Cup,holding items/storage,1,1
1123,Cup,bra cup,4,4
1123,Cup,gift,3,3
1123,Cup,decoration,3,3
1228,Cup,drink water,1,1
1228,Cup,stand on,1,1
1228,Cup,dig a hole,1,1
1228,Cup,scoop up a liquid,1,1
1228,Cup,throw liquid,1,1
1228,Cup,hold change,1,1
1195,Cup,drinking out of,1,1
1195,Cup,stacking to make a pyramid,4,4
1195,Cup,playing cup pong,4,4
1195,Cup,making a little hut for insects,4,4
1192,Cup,fill,1,1
1192,Cup,drink,1,1
1192,Cup,capture insect,1,1
1192,Cup,store pencils/pens,1,1
1192,Cup,magnify audio  if glass,1,1
1192,Cup,make music,4,4
1087,Cup,drink something from it,1,1
1087,Cup,hold pennies in it,1,1
1087,Cup,play games with it,4,4
1087,Cup,spit in it,1,1
1087,Cup,use it as a hat,3,3
1087,Cup,paint something on it,4,4
1133,Cup,hold liquid,1,1
1133,Cup,hide something under,1,1
1133,Cup,trap a bug,1,1
1133,Cup,hear the ocean up to your ear,4,4
1133,Cup,catch something thrown,4,4
1133,Cup,as a plate,1,1
1230,Cup,drink out of it,1,1
1230,Cup,use it as to bake mug cakes,1,1
1230,Cup,projectile,1,1
1230,Cup,musical instrument,4,4
1129,Cup,hold a beverage,1,1
1129,Cup,catch an insect,1,1
1129,Cup,hold flowers,3,3
