id,stim,response,flexibility_1,flexibility_2
1094,Key,to open a door,1,1
1094,Key,to scratch something into the sidewalk,1,1
1094,Key,use to separate two things that are stuck together,1,1
1094,Key,scratch an itch,1,1
1093,Key,unlocking,1,1
1093,Key,locking,1,1
1093,Key,hiding,4,4
1093,Key,discovering,4,4
1093,Key,starting a car,1,1
1093,Key,turning off a car,1,1
1093,Key,music,4,4
1093,Key,put on a chain,3,3
1093,Key,jangling,4,4
1159,Key,open doors,1,1
1159,Key,jewelry,3,3
1159,Key,decoration,3,3
1195,Key,unlock door,1,1
1195,Key,cut something,1,1
1195,Key,melt into metal,1,1
1195,Key,dip in paint and paint something,4,4
1195,Key,decorate and give as a gift,3,3
1195,Key,use as a screwdriver,1,1
1141,Key,to open a door,1,1
1141,Key,to open an envelope,1,1
1141,Key,to dislodge items/objects from cracks,1,1
1141,Key,to scratch surface on a car or scratch card,1,1
1141,Key,to attack someone,2,2
1104,Key,unlocking,1,1
1104,Key,self defense,2,2
1104,Key,scratching something,1,1
1286,Key,open a house,1,1
1286,Key,use it as a knife,2,2
1286,Key,decoration,3,3
1205,Key,PIECE OF jewelry,3,3
1205,Key,USE TO CUT STRING,1,1
1205,Key,OPEN A SODA CAN,1,1
1205,Key,SCRATCH AN ITCH,1,1
1163,Key,open door,1,1
1163,Key,open car,1,1
1163,Key,open safe,1,1
1163,Key,open lock,1,1
1192,Key,open door,1,1
1192,Key,open a package,1,1
1192,Key,self defense,2,2
1087,Key,open door,1,1
1087,Key,scratch grey stuff on a new gift card,1,1
1087,Key,cut a string,1,1
1087,Key,necklace pendant,3,3
1176,Key,unlock things,1,1
1176,Key,cut open things,1,1
1176,Key,decoration art,3,3
1258,Key,used to unlock doors,1,1
1258,Key,associate this with the flying keys from harry potter,5,5
1258,Key,a key can be tied around a necklace,3,3
1258,Key,key to a diary,1,1
1258,Key,key rings are used to tie keys around,3,3
1186,Key,open house,1,1
1186,Key,clean nails,1,1
1186,Key,eat cake,1,1
1186,Key,decoration,3,3
1186,Key,gift,5,5
1186,Key,treasure hunt to find key,4,4
1186,Key,knife,2,2
1186,Key,put hole in something,1,1
1186,Key,weapon,2,2
1174,Key,open a door,1,1
1174,Key,open a safe,1,1
1133,Key,open a lock,1,1
1133,Key,use as a knife,2,2
1133,Key,self defense,2,2
1133,Key,peel a fruit,1,1
1133,Key,jewelry,3,3
1133,Key,decoration,3,3
1133,Key,arrow,2,2
1138,Key,opening a door,1,1
1138,Key,opening a can,1,1
1221,Key,unlock doors,1,1
1221,Key,necklace,3,3
1221,Key,decoration,3,3
1221,Key,symbol,5,5
1221,Key,lock notebook/diary,1,1
1221,Key,mailbox,1,1
1194,Key,open a door,1,1
1194,Key,scrape at a lottery card,1,1
1194,Key,open a taped up box,1,1
1147,Key,to unlock a door,1,1
1147,Key,to use as protection by holding in between knuckles when walking alone,2,2
1162,Key,open something,1,1
