id,stim,response,flexibility_1,flexibility_2
1159,Pencil,to write with,1,1
1159,Pencil,to point to things with,1,1
1159,Pencil,thing to throw,4,4
1159,Pencil,thing to erase marks with,1,1
1159,Pencil,thing to measure with,1,1
1104,Pencil,writing/drawing,4,4
1104,Pencil,twirling between fingers,4,4
1104,Pencil,straight edge,1,1
1104,Pencil,poking,2,2
1104,Pencil,tapping,4,4
1093,Pencil,writing,1,1
1093,Pencil,tapping,4,4
1093,Pencil,erasing,1,1
1093,Pencil,breaking,1,1
1093,Pencil,chewing,4,4
1093,Pencil,opening a letter,1,1
1141,Pencil,to write/draw,4,4
1141,Pencil,to poke holes,1,1
1141,Pencil,to keep a bun in place,3,3
1141,Pencil,to stab,2,2
1141,Pencil,to erase something,1,1
1141,Pencil,to use as a stick or building block,1,1
1141,Pencil,to twirl in fingers for entertainment,4,4
1176,Pencil,writing,1,1
1176,Pencil,stabbing a bug,2,2
1176,Pencil,making a decoration,3,3
1286,Pencil,writing,1,1
1286,Pencil,stabbing,2,2
1286,Pencil,structural foundation,1,1
1258,Pencil,write down answers,1,1
1258,Pencil,keep a place in a textbook,1,1
1258,Pencil,to put behind your ear,3,3
1258,Pencil,to chew the eraser,4,4
1221,Pencil,write,1,1
1221,Pencil,draw,4,4
1221,Pencil,throw at the ceiling,4,4
1221,Pencil,erase,1,1
1221,Pencil,chew on,4,4
1221,Pencil,break to let out aggression,2,2
1221,Pencil,weapon,2,2
1205,Pencil,door stop,1,1
1205,Pencil,straight edge,1,1
1205,Pencil,weapon,2,2
1205,Pencil,fire wood,1,1
1138,Pencil,writing,1,1
1138,Pencil,weapon,2,2
1138,Pencil,to build something,1,1
1186,Pencil,poke,1,1
1186,Pencil,write,1,1
1186,Pencil,firewood,1,1
1186,Pencil,pencil log cabins,4,4
1186,Pencil,bookmark,1,1
1186,Pencil,projectile,1,1
1186,Pencil,spinner,4,4
1147,Pencil,write,1,1
1147,Pencil,use as a compass,1,1
1147,Pencil,make a tower,4,4
1094,Pencil,to write things,1,1
1094,Pencil,to erase things,1,1
1094,Pencil,scrape grime out of tiny spaces that the point can get into,1,1
1162,Pencil,to write,1,1
1162,Pencil,to stab,2,2
1162,Pencil,to erase,1,1
1102,Pencil,writing,1,1
1102,Pencil,shading,4,4
1102,Pencil,drawing,4,4
1102,Pencil,chewing,4,4
1102,Pencil,breaking,1,1
1102,Pencil,projectile,1,1
1102,Pencil,erasing,1,1
1102,Pencil,drumsticks,4,4
1102,Pencil,fire,1,1
1174,Pencil,write,1,1
1174,Pencil,hit someone,2,2
1174,Pencil,reach something far away,1,1
1180,Pencil,write,1,1
1180,Pencil,draw,4,4
1180,Pencil,use to poke things,1,1
1180,Pencil,erase,1,1
1180,Pencil,store in a pencil case,1,1
1180,Pencil,use to part hair,1,1
1193,Pencil,writing,1,1
1193,Pencil,stabbing,2,2
1193,Pencil,erasing,1,1
1193,Pencil,poking,1,1
1193,Pencil,sketching,4,4
1193,Pencil,marking measurement,1,1
1209,Pencil,writing,1,1
1209,Pencil,throwing at the ceiling to see if they stick,4,4
1209,Pencil,drawing/sketching,4,4
1209,Pencil,erasing,1,1
1209,Pencil,drumming,4,4
1123,Pencil,drawing,4,4
1123,Pencil,making a list,1,1
1123,Pencil,math,1,1
1123,Pencil,sharpen,1,1
1123,Pencil,take notes,1,1
1123,Pencil,doodle,4,4
1123,Pencil,write a story,4,4
1228,Pencil,write,1,1
1228,Pencil,stab something,2,2
1228,Pencil,chisel,1,1
1228,Pencil,paperweight,3,3
1195,Pencil,to write,1,1
1195,Pencil,to draw,4,4
1195,Pencil,to stab someone,2,2
1195,Pencil,as a book marker,1,1
1195,Pencil,to clean the jack in your Phone,1,1
1192,Pencil,write,1,1
1192,Pencil,hold up hair,3,3
1192,Pencil,wedge out a stuck item,1,1
1192,Pencil,possible weapon,2,2
