id,stim,response,flexibility_1,flexibility_2,
1094,Rope,to climb with,1,1,
1094,Rope,to hang things,1,1,
1094,Rope,as a decoration,3,3,
1094,Rope,to make unique designs with,3,3,
1094,Rope,to tie different knots,4,4,
1093,Rope,tying,1,1,
1093,Rope,strangling,2,2,
1093,Rope,dangling,4,4,
1093,Rope,loosening,1,1,
1093,Rope,jumping,4,4,
1093,Rope,shaking,1,1,
1093,Rope,pulling,1,1,
1159,Rope,climb,4,4,
1159,Rope,use to jump off something with,1,1,
1159,Rope,connect things,1,1,
1159,Rope,use for a workout,4,4,
1159,Rope,use to wrap presents,3,3,
1159,Rope,decorative,3,3,
1159,Rope,tie knots,4,4,
1159,Rope,hold things together,1,1,
1195,Rope,tie a boat to a dock,1,1,
1195,Rope,use it for working out,4,4,
1195,Rope,for tying a knot,1,1,
1195,Rope,to swing,4,4,
1141,Rope,to exercise,4,4,
1141,Rope,to tie objects together,1,1,
1141,Rope,to hang objects,1,1,
1141,Rope,to use in a pulley,1,1,
1141,Rope,to drag objects,1,1,
1141,Rope,to secure objects to a surface,1,1,
1141,Rope,to attack someone/use as weapon,2,2,
1104,Rope,tying things together,1,1,
1104,Rope,working out,4,4,
1104,Rope,swinging,4,4,
1104,Rope,acting as a barrier,1,1,
1286,Rope,to climb,4,4,
1286,Rope,to tie something up,1,1,
1286,Rope,a belt,1,1,
1286,Rope,use it as a boarder,1,1,
1205,Rope,JUMP ROPE,4,4,
1163,Rope,to climb,4,4,
1163,Rope,to tie,1,1,
1163,Rope,to fasten,1,1,
1192,Rope,swing,4,4,
1192,Rope,secure a boat,1,1,
1192,Rope,hang items,1,1,
1192,Rope,tie bundles of paper,1,1,
1087,Rope,tie something,1,1,
1087,Rope,to hang something,1,1,
1087,Rope,to decorate a vase,3,3,
1087,Rope,to mark a perimeter,1,1,
1087,Rope,to jump rope,4,4,
1087,Rope,a weapon,2,2,
1176,Rope,tie things,1,1,
1176,Rope,swing from things,4,4,
1176,Rope,hold things together,1,1,
1176,Rope,climb up,1,1,
1258,Rope,jump rope,4,4,
1258,Rope,rope that is used to tie knots,1,1,
1258,Rope,rope are used to keep things in place,1,1,
1258,Rope,obstacle course ropes,4,4,
1258,Rope,the rope that is climbed during gym class to see how high you can get,4,4,
1186,Rope,tie,1,1,
1186,Rope,knot,1,1,
1186,Rope,jump rope,4,4,
1186,Rope,noose,2,2,
1186,Rope,lasso,1,1,
1186,Rope,climbing,4,4,
1186,Rope,hold down,1,1,
1186,Rope,hit with,2,2,
1186,Rope,sailing,4,4,
1186,Rope,tug o war,4,4,
1186,Rope,jewelry,3,3,
1174,Rope,pull someone out of a well,1,1,
1174,Rope,climb up,4,4,
1133,Rope,tie a knot,1,1,
1133,Rope,wear as a belt,3,3,
1133,Rope,shoe lace,3,3,
1133,Rope,use it to climb something,1,1,
1133,Rope,measure something's length,1,1,
1133,Rope,create boundaries for a,1,1,
1138,Rope,tying something up,1,1,
1138,Rope,rock climbing,4,4,
1138,Rope,lasso,1,1,
1138,Rope,storing things like a lanyard,1,1,
1138,Rope,jewelry,3,3,
1221,Rope,tie things,1,1,
1221,Rope,climb trees,4,4,
1221,Rope,harness,1,1,
1221,Rope,lasso,1,1,
1221,Rope,bridge,1,1,
1221,Rope,costume,3,3,
1221,Rope,satchel,1,1,
1221,Rope,tightrope to walk on,4,4,
1221,Rope,reel people in out in the water,1,1,
1194,Rope,tie things up,1,1,
1194,Rope,make a knot,1,1,
1194,Rope,go rock climbing,4,4,
1194,Rope,lasso something,1,1,
1147,Rope,walking on a tightrope,4,4,
1147,Rope,lasso,1,1,
1147,Rope,painting,4,4,
1147,Rope,climbing a rope in a gym,4,4,
1147,Rope,swinging from a tree,4,4,
1147,Rope,tug of war,4,4,
1147,Rope,pulling a tree out of the ground,1,1,
1147,Rope,making a harness,1,1,
1147,Rope,fishing net,1,1,
1162,Rope,hang something,1,1,
1162,Rope,save someone like in the ocean,1,1,
1162,Rope,tie someone up,1,1,
1162,Rope,pull something,1,1,
1162,Rope,play tug of war,4,4,
1162,Rope,play toy for dogs,4,4,
1102,Rope,knots,1,1,
1102,Rope,tying things,1,1,
1102,Rope,arm exercising,4,4,
1102,Rope,climbing,4,4,
1102,Rope,pulling,1,1,
1102,Rope,jump rope,4,4,
1230,Rope,tie something up,1,1,
1230,Rope,make a swing with it,4,4,
1230,Rope,catch a fish,1,1,
1230,Rope,use it to climb something,1,1,
1230,Rope,use it to tow something,1,1,
1230,Rope,use it to hang something,1,1,
1123,Rope,burn,1,1,
1123,Rope,knot,1,1,
1123,Rope,tie,1,1,
1129,Rope,tie something,1,1,
1129,Rope,use as a lasso,1,1,
1129,Rope,use for workout battle ropes,4,4,
1228,Rope,hang from,1,1,
1228,Rope,swing on,4,4,
1228,Rope,connect to others,1,1,
1228,Rope,tie things together,1,1,
1228,Rope,leash,1,1,
1228,Rope,weapon,2,2,
1193,Rope,tie up,1,1,
1193,Rope,hang from/belay down,1,1,
1193,Rope,whip,2,2,
1193,Rope,choke,2,2,
1193,Rope,climb with,1,1,
1193,Rope,bundle up,1,1,
1193,Rope,lasso,1,1,
1180,Rope,tie a knot,1,1,
1180,Rope,sailboat,1,1,
1180,Rope,pull something,1,1,
1180,Rope,stage lights,3,3,
1180,Rope,noose,2,2,
1180,Rope,life preserver,1,1,
1180,Rope,fraying to start a fire,1,1,
1180,Rope,hold things up,1,1,
1180,Rope,tent,1,1,
1209,Rope,jumping over,4,4,
1209,Rope,tying nots,1,1,
1209,Rope,rope swings,4,4,
1226,Rope,to tie a leash for a dog,1,1,
1226,Rope,to pull furniture,1,1,
1226,Rope,to tie up a tent,1,1,
1226,Rope,to fish with,1,1,
1226,Rope,to set and anchor,1,1,
1226,Rope,to kill someone,2,2,
1226,Rope,to harness a horse,1,1,
1121,Rope,climb,4,4,
1121,Rope,restrain,1,1,
1121,Rope,lift as a pulley,1,1,
1121,Rope,attach two objects,1,1,
1118,Rope,in a tree for a swing,4,4,
1118,Rope,to dock a boat,1,1,
1118,Rope,to strap someone in while hang gliding,1,1,
1118,Rope,for rock climbing,4,4,
1460,Rope,climbing,4,4,
1460,Rope,tying,1,1,
1460,Rope,lasso,1,1,
1460,Rope,hanging,1,1,
1460,Rope,whipping,2,2,
1460,Rope,clothing styling,3,3,
1460,Rope,sport,4,4,
1460,Rope,art,4,4,
1488,Rope,dangle object,1,1,
1488,Rope,hoist objects up,1,1,
1488,Rope,fasten objects in place,1,1,
1488,Rope,climbing goes with hoisting/lowering objects,1,1,
1488,Rope,tying knots,1,1,
1533,Rope,securing a boat in dock,1,1,
1533,Rope,pulling something very heavy on a sled,1,1,
1373,Rope,jumping robe,4,4,
1373,Rope,tie a knot,1,1,
1373,Rope,swing from a tree,4,4,
1373,Rope,zip line,4,4,
1373,Rope,tight rope,4,4,
1373,Rope,aid in rock climbing,4,4,
1373,Rope,tie something up,1,1,
1373,Rope,lasso,1,1,
1603,Rope,swing,4,4,
1603,Rope,ladder,1,1,
1603,Rope,knot,1,1,
1603,Rope,belt,3,3,
1599,Rope,to kill yourself,2,2,
1599,Rope,to tie something,1,1,
1599,Rope,to climb,4,4,
1599,Rope,to knot,1,1,
1599,Rope,to play tug of war,4,4,
1599,Rope,to use during sex,4,4,
1528,Rope,to tie things,1,1,
1528,Rope,to help someone climb,1,1,
1528,Rope,rock climbing,4,4,
1442,Rope,to climb on,1,1,
1442,Rope,to tie to the ceiling,1,1,
1442,Rope,to hang stuff with,1,1,
1442,Rope,to wrap around something,1,1,
1442,Rope,to swing on,4,4,
1442,Rope,to play jump rope with,4,4,
1442,Rope,to use as a tightrope,4,4,
1442,Rope,to attach to a vehicle and a skateboard or wagon or something,4,4,
1614,Rope,tying knots,1,1,
1614,Rope,climbing things,1,1,
1614,Rope,hanging yourself,2,2,
1503,Rope,connect to heavy things,1,1,
1503,Rope,hang something,1,1,
1503,Rope,use as a lasso,1,1,
1503,Rope,make a trap,1,1,
1503,Rope,use in tug of war,4,4,
1328,Rope,to tie your shoes together,1,1,
1328,Rope,to swing off of something,4,4,
1328,Rope,to use as a lasso,1,1,
1472,Rope,to hang,1,1,
1472,Rope,to whip,2,2,
1472,Rope,to tie,1,1,
1472,Rope,to climb,1,1,
1472,Rope,to walk on,4,4,
1472,Rope,to shred,1,1,
1472,Rope,to unwind,1,1,
1472,Rope,to squeeze,1,1,
1463,Rope,tying,1,1,
1463,Rope,twisting,1,1,
1463,Rope,holding,1,1,
1463,Rope,lining,1,1,
1463,Rope,weapon,2,2,
1463,Rope,knotting,1,1,
1463,Rope,lifting,1,1,
1463,Rope,connecting,1,1,
1463,Rope,weaving,4,4,
1531,Rope,climbing up a tree,4,4,
1531,Rope,working out,4,4,
1531,Rope,pulling freight,1,1,
1531,Rope,keeping a box closed,1,1,
1531,Rope,rounding up cattle,1,1,
1402,Rope,Tie something up,1,1,
1402,Rope,hang someone,2,2,
1402,Rope,tie off a boat,1,1,
1526,Rope,tie a knot,1,1,
1526,Rope,make a net,1,1,
1526,Rope,tug of war,4,4,
1526,Rope,climbing,1,1,
1526,Rope,hold things together,1,1,
1526,Rope,use as a straight line,1,1,
1440,Rope,jump rope,4,4,
1440,Rope,tying knots,1,1,
1440,Rope,sailing,4,4,
1440,Rope,lifting things,1,1,
1610,Rope,use to pull someone up from something,1,1,
1610,Rope,tie something,1,1,
1610,Rope,climb it,1,1,
1610,Rope,propel down from a higher place with it,1,1,
1320,Rope,tie things together,1,1,
1320,Rope,bracelet/necklace,3,3,
1320,Rope,hang something up,1,1,
1320,Rope,whip,2,2,
1382,Rope,tie things,1,1,
1382,Rope,climb a mountain,1,1,
1382,Rope,tie hair up,3,3,
1382,Rope,belt,3,3,
1382,Rope,headband,3,3,
1382,Rope,lasso,1,1,
1382,Rope,handcuffs,1,1,
1382,Rope,jump rope,4,4,
1458,Rope,tie things up,1,1,
1458,Rope,mark a distance,1,1,
1458,Rope,measure things,1,1,
1559,Rope,to pull a canoe,1,1,
1559,Rope,to make a swing,4,4,
1559,Rope,to tie something,1,1,
1559,Rope,to close a door,1,1,
1559,Rope,to pull someone out of something out of a hole,1,1,
1559,Rope,to  to hang something up eg laundry,1,1,
1347,Rope,Climbing,1,1,
1347,Rope,hold something up,1,1,
1347,Rope,tightrope,4,4,
1347,Rope,swinging on something,4,4,
1347,Rope,hanging from something,1,1,
1347,Rope,hanging upside down,4,4,
1347,Rope,leash,1,1,
1417,Rope,tie things,1,1,
1417,Rope,chew toy,4,4,
1417,Rope,belt,3,3,
1417,Rope,jewelry,3,3,
1547,Rope,tie something to another thing,1,1,
1547,Rope,pull something,1,1,
1547,Rope,tug of war,4,4,
1547,Rope,secure something,1,1,
1547,Rope,drag something,1,1,
1563,Rope,to tie a knot,1,1,
1563,Rope,to hold a door open,1,1,
1507,Rope,sailing,4,4,
1507,Rope,tying one's hair back,3,3,
1507,Rope,strangling someone,2,2,
1507,Rope,rock climbing,4,4,
1507,Rope,raising a flag,1,1,
1507,Rope,tying your trunk closed,1,1,
1622,Rope,tying,1,1,
1622,Rope,tug of war,4,4,
1622,Rope,shoelaces,3,3,
1622,Rope,mountain climbing,4,4,
1622,Rope,whips,2,2,
1622,Rope,hanging,1,1,
1622,Rope,bridges,1,1,
1622,Rope,jewelry,3,3,
1366,Rope,to tie,1,1,
1366,Rope,to climb with,1,1,
1366,Rope,to secure things together,1,1,
1366,Rope,to hang,1,1,
1366,Rope,a noose,2,2,
1366,Rope,tug of,4,4,
1413,Rope,jump rope,4,4,
1413,Rope,lasso,1,1,
1413,Rope,hold objects together,1,1,
1413,Rope,tightrope,4,4,
1413,Rope,hold someone while rock climbing,4,4,
1413,Rope,mast on a boat,1,1,
1413,Rope,tether ball rope,4,4,
1500,Rope,jump rope,4,4,
1500,Rope,hang pinata,4,4,
1500,Rope,measurement,1,1,
1500,Rope,lower a person,1,1,
1453,Rope,to hang things up,1,1,
1453,Rope,to climb somewhere,1,1,
1453,Rope,to tie things together,1,1,
1453,Rope,a measuring tool,1,1,
1453,Rope,a weapon,2,2,
1514,Rope,jump,4,4,
1514,Rope,pulley,1,1,
1514,Rope,tight rope,4,4,
1514,Rope,secure something,1,1,
1514,Rope,climb,1,1,
1514,Rope,marking,1,1,
1449,Rope,swing,4,4,
1449,Rope,jumping rope,4,4,
1449,Rope,working out rope swings,4,4,
1449,Rope,pull car out of mud,1,1,
1449,Rope,lasso,1,1,
1449,Rope,resistance band,4,4,
1449,Rope,to trip people,2,2,
1506,Rope,tie things together,1,1,
1506,Rope,tug of war,4,4,
1506,Rope,lasso,1,1,
1506,Rope,pendulum for swinging on,4,4,
1551,Rope,to make a bridge,1,1,
1551,Rope,to tow a car,1,1,
1551,Rope,tie a knot,1,1,
1551,Rope,use as a pulley to lift something,1,1,
