id,item,response,novelty_1,novelty_2
1094,Box,to store things,1,1
1094,Box,to build a fort,3,4
1094,Box,as an umbrella,3,4
1094,Box,to catch a bunny,3,4
1093,Box,standing on,2,2
1093,Box,putting items in,1,1
1093,Box,opening,1,1
1093,Box,closing,1,1
1093,Box,cutting,1,2
1093,Box,make a dollhouse,3,4
1093,Box,fill,1,1
1093,Box,sleep in,3,4
1159,Box,Put things in,1,1
1159,Box,sit in,2,4
1159,Box,play with,3,3
1159,Box,break apart for other uses,3,3
1159,Box,delivery things in,2,3
1159,Box,wrap,2,2
1195,Box,store something,1,1
1195,Box,stand on top of,2,2
1195,Box,sit on,2,2
1195,Box,sit in,2,2
1195,Box,use it to make art,3,3
1141,Box,to store items,1,1
1141,Box,to prop something up,2,2
1141,Box,to stand on,2,3
1141,Box,to live in,4,5
1141,Box,to use for boxcars,3,4
1104,Box,storing,5,1
1104,Box,building,2,2
1286,Box,can live in it,3,5
1286,Box,can store stuff in it,1,1
1286,Box,can use it as a trash,2,2
1205,Box,SPACE SHIP,5,5
1205,Box,HIDING SPOT,3,4
1205,Box,FIRE STARTER,4,4
1205,Box,WRITE STUFF ON,3,3
1205,Box,PUNCHING BAG,5,4
1205,Box,DRUM,3,4
1163,Box,to store,1,2
1163,Box,to hide,4,4
1163,Box,to organize,1,2
1163,Box,to ship,2,1
1192,Box,store items,1,1
1192,Box,stand on it,2,3
1192,Box,can be decorative,3,3
1087,Box,storage,1,1
1087,Box,home for ducks,4,4
1087,Box,piggy bank,5,4
1087,Box,playpen for children,4,3
1176,Box,storage,1,1
1176,Box,make a decoration,3,3
1176,Box,make a costume,4,4
1176,Box,trash bin,2,2
1258,Box,To hold stuff,1,1
1258,Box,cardboard,1,1
1258,Box,to package,2,1
1258,Box,to stand on to reach something,2,2
1258,Box,something new comes in it,2,1
1258,Box,shape of,2,2
1186,Box,container,1,2
1186,Box,cardboard,1,2
1186,Box,fort,3,3
1186,Box,carrying case for cat,4,3
1186,Box,timeout place,4,3
1186,Box,bed,3,3
1186,Box,conceal something underneath,3,3
1186,Box,jail,4,5
1174,Box,put something inside it,1,1
1174,Box,put over someones head,3,3
1133,Box,Put stuff inside,1,1
1133,Box,make a fort,3,3
1133,Box,put stuff on top,2,2
1133,Box,hide inside the box,4,3
1133,Box,let your cat use it,3,3
1133,Box,carry stuff,1,1
1133,Box,bowl,3,4
1133,Box,present,2,4
1138,Box,storing items,1,1
1138,Box,bed for a pet,2,3
1138,Box,to be worn as a hat,3,4
1138,Box,container for selling something,1,1
1138,Box,school project,3,3
1221,Box,things are packaged in it,2,1
1221,Box,childhood playtime with boxes,3,3
1221,Box,functional permanent storage,1,1
1221,Box,hide things,3,2
1221,Box,build things,2,2
1194,Box,hold items,1,1
1194,Box,weigh something down,3,3
1194,Box,a toy for kids,3,3
1194,Box,tear it up and create something,3,3
1147,Box,carrying books,2,1
1147,Box,making a play house,3,2
1147,Box,halloween costume,4,4
1147,Box,making a die,3,3
1147,Box,standing on top of it,2,2
1162,Box,hide in,4,3
