id,item,response,rating,creativity
1094,Brick,build a structure,1,1
1094,Brick,throw and break a window,3,2
1094,Brick,use as a stepping stool,3,3
1094,Brick,drop a brick over a small fire to snuff it out,4,4
1094,Brick,as a hammer,3,4
1093,Brick,building,1,1
1093,Brick,throwing,3,2
1093,Brick,propping a door open,2,3
1093,Brick,paving in a sidewalk,1,1
1093,Brick,engraving,3,3
1093,Brick,collecting,5,4
1093,Brick,cook with charcoal bricks,4,4
1159,Brick,Build,2,1
1159,Brick,weapon,3,3
1159,Brick,tool,3,2
1159,Brick,decoration,4,3
1159,Brick,a way to communicate,5,5
1195,Brick,to break a window,2,2
1195,Brick,to build a house,1,1
1195,Brick,to fix something,3,3
1195,Brick,to sit on,3,3
1195,Brick,as sandpaper,3,4
1195,Brick,to hit someone with,3,3
1141,Brick,to build foundation/wall,1,1
1141,Brick,to throw at something,3,2
1141,Brick,to use as weapon,3,2
1141,Brick,to prop up an item,2,3
1104,Brick,hiding a key,4,3
1104,Brick,building,1,1
1104,Brick,throwing through a window,3,2
1104,Brick,weighing something down,3,3
1286,Brick,houses,1,1
1286,Brick,throwing at people,3,2
1286,Brick,wall,1,1
1286,Brick,can prop stuff up,2,3
1205,Brick,PAPER WEIGHT,2,3
1205,Brick,WHEEL WEDGE,2,3
1205,Brick,DOOR STOP,2,3
1163,Brick,to build a house,1,1
1163,Brick,to throw,3,2
1163,Brick,to use as a weight,3,2
1192,Brick,building material for house,1,1
1192,Brick,can be used as a weapon,3,3
1192,Brick,can be used as material for a fire pit,4,3
1192,Brick,decorative item for gardens,3,4
1087,Brick,weapon,3,3
1087,Brick,for construction,1,1
1087,Brick,for a paper weight,2,2
1087,Brick,for decoration,3,4
1087,Brick,for a bug killer,4,3
1087,Brick,for playing catch,5,4
1176,Brick,landscaping,1,2
1176,Brick,building things,1,1
1176,Brick,Breaking things,2,2
1176,Brick,holding things,2,3
1258,Brick,to build building with,1,1
1258,Brick,to throw,3,2
1258,Brick,to prop something up against,2,2
1258,Brick,to create a wall between two people,1,1
1186,Brick,smack,2,2
1186,Brick,building,1,1
1186,Brick,home for mice,3,1
1186,Brick,container,4,4
1186,Brick,secret slot,4,3
1186,Brick,paperweight,2,3
1186,Brick,decoration,3,3
1186,Brick,cooking,2,3
1186,Brick,brick cheese,2,3
1174,Brick,make a house,1,1
1174,Brick,smash someones head,3,2
1174,Brick,use as pillow,5,4
1133,Brick,buildings,1,1
1133,Brick,painting on the brick,4,3
1133,Brick,throwing the brick,3,2
1133,Brick,using it to hammer something,3,3
1133,Brick,using it to hold paper down,2,3
1133,Brick,using it to prop something,2,3
1138,Brick,building a house,1,1
1138,Brick,paperweight,2,3
1138,Brick,to attack someone,3,2
1138,Brick,to be used in art,4,4
1221,Brick,build a house,1,1
1221,Brick,paperweight,2,3
1221,Brick,hate message to throw through a window,4,3
1221,Brick,toys,3,4
1221,Brick,cook on it if it gets hot enough in the sun,2,4
1221,Brick,line a park's exterior border,1,1
1194,Brick,build something,1,1
1194,Brick,weigh papers down,2,2
1194,Brick,break something,2,2
1194,Brick,use as a weight while working out,3,3
1147,Brick,to build a house,1,1
1147,Brick,to stand on to be taller,4,3
1147,Brick,to use as a paperweight,2,3
1147,Brick,to paint,3,1
1162,Brick,build house,1,1
1162,Brick,smash a window,2,2
1162,Brick,use it as a weight,2,2
1102,Brick,building houses,1,1
1102,Brick,hitting,2,2
1102,Brick,throwing,3,2
1102,Brick,stacking,2,1
1230,Brick,build a structure (house,1,1
1230,Brick,steps,1,1
1230,Brick,create a small animal trap,4,5
1230,Brick,a weapon,2,2
1230,Brick,a weight for holding something down or working out,2,3
1123,Brick,stone,1,3
1129,Brick,build things,1,1
1129,Brick,hold something (such as a tarp) down when it's windy,2,3
1228,Brick,break a window,2,2
1228,Brick,build a wall,1,1
1228,Brick,raise objects,2,2
1228,Brick,use as a weapon,2,2
1228,Brick,weigh down a,2,2
1193,Brick,to break,2,2
1193,Brick,to knock someone out,2,2
1193,Brick,to build,1,1
1193,Brick,to stand on,2,2
1193,Brick,to use as a writing surface,4,3
1193,Brick,to scrape against something,4,3
1193,Brick,to use as a weight,2,2
1180,Brick,wall,1,1
1180,Brick,lay down bricks,1,1
1180,Brick,hold down an object that will blow away,2,2
1180,Brick,throw a brick at something,3,2
1180,Brick,build a house,1,1
1209,Brick,wall,1,1
1209,Brick,house,1,1
1209,Brick,throwing at people in old times,3,2
1209,Brick,fire pits,2,3
1209,Brick,driveways,2,1
1226,Brick,to smash a window,2,2
1226,Brick,to build a house,1,1
1226,Brick,to build a wall,1,1
1226,Brick,to use as a door stop,2,3
1226,Brick,to use as a weigh or counterbalance,2,3
1226,Brick,to use as a projectile in a fight,3,3
1121,Brick,build a house,1,1
1121,Brick,break a window,2,2
1121,Brick,use as a paper weight,2,2
1121,Brick,use as stepping stool,3,2
1121,Brick,weapon,2,2
1118,Brick,build house,1,1
1118,Brick,weapon,2,2
1118,Brick,used in oven,3,4
1118,Brick,barricade,4,1
1118,Brick,can be painted on for art,3,3
1460,Brick,building,1,1
1460,Brick,weapon,2,2
1460,Brick,breaking into somewhere,2,2
1460,Brick,art piece,4,3
1488,Brick,build houses and other buildings,1,1
1488,Brick,as a weapon (to break glass/houses or injure people),2,2
1488,Brick,as an object to prop up other objects and get them to the ri,2,2
1533,Brick,material for a house,1,1
1533,Brick,door stop,2,2
1533,Brick,paper weight,2,2
1373,Brick,build a house,1,1
1373,Brick,break a window,2,2
1373,Brick,hurt someone,3,2
1373,Brick,test gravity,4,4
1373,Brick,break something (like a lock),2,1
1373,Brick,weigh paper down,2,2
1373,Brick,sanding,2,5
1603,Brick,house,1,1
1603,Brick,weapon,2,2
1603,Brick,paper weight,2,2
1599,Brick,To build a house,1,1
1599,Brick,to kill someone,3,2
1599,Brick,to use it as a means of trading,4,4
1528,Brick,building,1,1
1528,Brick,to break something,2,2
1528,Brick,hold something down,2,2
1528,Brick,hold a door open,2,1
1442,Brick,to build a house,1,1
1442,Brick,to use as a stepping stone,3,2
1442,Brick,to throw at someone,3,2
1442,Brick,to use as a weight,2,2
1442,Brick,to draw on,2,3
1442,Brick,to paint,3,3
1442,Brick,to bury,3,4
