id,item,response,rating,creativity
1159,Chair,to sit in,1,1
1159,Chair,to stand on top of,2,2
1159,Chair,to make a piece of art,4,3
1159,Chair,to decorate,3,3
1159,Chair,to play with,3,3
1104,Chair,sitting on,1,1
1104,Chair,weighing something down,2,3
1104,Chair,building a fort,5,3
1093,Chair,sitting,1,1
1093,Chair,standing,2,2
1093,Chair,propping a door open,2,3
1093,Chair,breaking,3,3
1093,Chair,building,3,3
1141,Chair,to sit on,1,1
1141,Chair,to stand on to reach a higher place,2,2
1141,Chair,to prop an item on,2,3
1141,Chair,to hold something up like a box,2,3
1141,Chair,to use as a weapon,3,4
1141,Chair,to prop up against  door to keep it closed,2,3
1176,Chair,sitting,1,1
1176,Chair,reaching high places,2,2
1176,Chair,hitting something,3,4
1176,Chair,musical chairs,4,3
1286,Chair,sitting,1,1
1286,Chair,putting clothes on,3,3
1286,Chair,stepping stool,2,2
1286,Chair,sleeping,4,3
1258,Chair,to sit on at the desk,1,1
1258,Chair,to stand on when something is high up,2,2
1258,Chair,to use as a throne at the dinner table,2,3
1221,Chair,sit in,1,1
1221,Chair,play on,3,3
1221,Chair,sleep on,4,3
1221,Chair,dog bed,3,3
1221,Chair,wheelchair for people who cannot walk,3,3
1205,Chair,step stool,2,2
1205,Chair,work out bench,5,3
1205,Chair,fire wood,4,4
1205,Chair,back cracker,5,3
1138,Chair,sitting,1,1
1138,Chair,using to elevate your height,2,4
1138,Chair,using to keep a door closed,2,3
1138,Chair,using to create a fort,4,3
1138,Chair,using as a weapon,3,3
1186,Chair,sit,1,1
1186,Chair,standing to get higher,2,2
1186,Chair,hit someone with,3,3
1186,Chair,legs can stake someone,4,3
1186,Chair,bed if it's big enough,4,3
1186,Chair,holds things,2,3
1147,Chair,sitting,1,1
1147,Chair,making a fort,4,3
1147,Chair,standing on top of,2,2
1094,Chair,to sit in,1,1
1094,Chair,to play musical chairs,4,3
1094,Chair,to dance with,4,3
1094,Chair,to furnish a room with,2,2
1162,Chair,sit on it,1,1
1162,Chair,use it as a stool,2,2
1162,Chair,put things on it for storage,2,3
1102,Chair,sitting,1,1
1102,Chair,throwing at people,4,3
1102,Chair,sleeping,4,3
1102,Chair,dancing prop,4,4
1102,Chair,bobsled/chariot,5,4
1102,Chair,barricade,4,4
1174,Chair,sit on it,1,1
1174,Chair,stepping,2,2
1180,Chair,sit,1,1
1180,Chair,decor,3,2
1180,Chair,hold a door open,2,3
1180,Chair,place at a table,2,3
1193,Chair,to sit in,1,1
1193,Chair,to stand on,2,2
1193,Chair,to smash something else,3,3
1193,Chair,to act as a weight,3,3
1209,Chair,sitting,1,1
1209,Chair,rocking,3,2
1209,Chair,standing on to reach high objects,2,2
1123,Chair,sitting,1,1
1123,Chair,standing,2,2
1123,Chair,decoration,3,2
1123,Chair,guests,2,4
1123,Chair,artwork,3,3
1123,Chair,gift,3,3
1123,Chair,prop,3,3
1123,Chair,studying,2,2
1123,Chair,dining,2,2
1123,Chair,lounging,2,2
1228,Chair,sit on,1,1
1228,Chair,stand on,2,2
1228,Chair,break a window,3,3
1228,Chair,hold a door closed,2,3
1228,Chair,tie something too,2,3
1228,Chair,sleep in,4,3
1195,Chair,sitting,1,1
1195,Chair,throwing around,3,3
1195,Chair,standing on,2,2
1195,Chair,burning for heat,4,3
1195,Chair,giving as a present,3,3
1192,Chair,sit,1,1
1192,Chair,stand on to reach an object,2,2
1192,Chair,decoration,3,2
1192,Chair,place objects on it,2,2
1087,Chair,to sit on,1,1
1087,Chair,to decorate the house,2,2
1087,Chair,to hold books,2,3
1087,Chair,build a fort with chairs,4,3
1087,Chair,a weapon,3,3
1087,Chair,use its legs to make firewood,4,3
1133,Chair,sit,1,1
1133,Chair,stand to get taller,2,2
1133,Chair,throw at something,4,2
1133,Chair,block a doorway,2,2
1133,Chair,hold a blanket in a blanket fort,4,2
1133,Chair,hide under,3,3
1230,Chair,sit on it,1,1
1230,Chair,stand on it,2,2
1230,Chair,use it as a table,3,3
1230,Chair,use it to support other things,2,3
1129,Chair,sit on,1,1
1129,Chair,stand on to reach things,2,2
1163,Chair,to sit,1,1
1194,Chair,to sit on,1,1
1194,Chair,to stand on top of,2,2
1194,Chair,to break through a door or window,3,3
1194,Chair,to protect yourself,3,2
1194,Chair,to stack things on top of,2,3
1194,Chair,to swivel around on,3,2
1194,Chair,for a game,3,3
1226,Chair,to sit on,1,1
1226,Chair,to use as a table,3,3
1226,Chair,to place objects on instead of a table,2,3
1226,Chair,to use as a ladder to put objects up on the wall,2,2
1226,Chair,to stand on when you see a rat in the kitchen,2,4
1121,Chair,sit in,1,1
1121,Chair,use to reach something high up,2,2
1118,Chair,to seat on,1,1
1118,Chair,block a door,2,3
1118,Chair,climb on top of,2,2
1118,Chair,to put things on,2,3
1118,Chair,to make a friend ship bracelet,3,5
1373,Chair,sitting,1,1
1373,Chair,stool,2,2
1373,Chair,block a door,2,3
1373,Chair,use as a cover,3,4
1373,Chair,games (musical chairs),4,3
1373,Chair,storage,3,3
1373,Chair,workout (wei,5,3
1533,Chair,to sit,1,1
1533,Chair,to stand,2,2
1533,Chair,to hold a door open,2,3
1533,Chair,to hang a coat,2,3
1488,Chair,to sit on,1,1
1488,Chair,to block doors,2,3
1488,Chair,to stand on to reach something,2,2
1488,Chair,to set something down on,2,3
1488,Chair,to recline,3,2
1488,Chair,to block something from view,2,4
1488,Chair,to sell to make money,4,4
1488,Chair,to cover up (like a hole),3,4
1460,Chair,sitting,1,1
1460,Chair,weapon,3,3
1460,Chair,sleeping,4,3
1460,Chair,art,3,3
1460,Chair,rocking a baby,3,2
1503,Chair,sit down,1,1
1503,Chair,use to get some elevation,2,2
1503,Chair,door stopper,2,3
1503,Chair,weapon,3,3
1603,Chair,sit,1,1
1603,Chair,step stool,2,2
1603,Chair,hit someone with,3,3
1603,Chair,firewood (if wooden),4,4
1603,Chair,bed,4,3
1328,Chair,to sit on,1,1
1328,Chair,to stand on top of to reach something high up,2,2
1328,Chair,to use as a weapon,3,3
1328,Chair,to burn to make a fire,4,4
1472,Chair,to sit,1,1
1472,Chair,to reach high places,2,2
1472,Chair,to fold,3,4
1472,Chair,to build a fort,4,3
1472,Chair,to use during kinky sex,5,4
1614,Chair,sitting in it,1,1
1614,Chair,using it as a weapon,3,3
1614,Chair,using it as a table,3,3
1614,Chair,turning it into a dog bed,3,3
1320,Chair,sitting,1,1
1320,Chair,step stool,2,2
1320,Chair,storage,2,3
1320,Chair,stilts,3,2
1320,Chair,table,3,3
1320,Chair,hide underneath,3,3
1463,Chair,sit in,1,1
1463,Chair,decoration,3,3
1463,Chair,break it down for scrap wood pieces for projects,4,4
1463,Chair,weapon,3,3
1463,Chair,firewood or burning material,4,3
1463,Chair,block doorways and doors from opening,2,3
1442,Chair,sit on,1,1
1442,Chair,paint,3,3
1442,Chair,stack,2,3
1442,Chair,throw,3,3
1442,Chair,burn,4,3
1442,Chair,decorate,3,3
1442,Chair,hide under,3,3
1413,Chair,sit in,1,1
1413,Chair,hold objects,2,3
1413,Chair,use as a barrier,4,3
1413,Chair,block a door,2,3
1413,Chair,hang coat,2,3
1413,Chair,hold on,2,3
1507,Chair,sitting in it,1,1
1507,Chair,holding your clothes,2,3
1507,Chair,standing on it to reach something,2,2
1507,Chair,beating someone to death,4,3
1563,Chair,to sit on,1,1
1563,Chair,to prop a door open,2,3
1563,Chair,to stand on to change a lightbulb,2,2
1563,Chair,to lock a door shut,2,3
1563,Chair,to cut into firewood,4,3
1622,Chair,throw,3,3
1622,Chair,sit,1,1
1622,Chair,musical chairs,4,3
1622,Chair,art,3,3
1622,Chair,wood,4,4
1622,Chair,recycle,4,4
1622,Chair,painting,3,3
1622,Chair,foot rest,2,2
1622,Chair,electrical killing device,5,4
1622,Chair,fixing lightbulbs,2,2
1622,Chair,gaming,2,2
1622,Chair,splinters,3,4
1622,Chair,rock in it,3,2
1622,Chair,stab a vamp,5,5
1547,Chair,sitting,1,1
1547,Chair,step stool for reaching things,2,2
1547,Chair,can hold up a fort,4,3
1514,Chair,sitting,1,1
1514,Chair,stacking,2,2
1514,Chair,playing musical chairs,4,3
1514,Chair,sleeping,4,3
1514,Chair,used in wrestling,5,4
1514,Chair,dancing,4,4
1528,Chair,to sit on,1,1
1528,Chair,for support,2,2
1528,Chair,can be climbed upon,2,2
1551,Chair,to sit on,1,1
1551,Chair,to lock a door,2,3
1551,Chair,to stand on to reach a high shelf,2,2
1551,Chair,to use to prop a door open,2,3
1366,Chair,sitting,1,1
1366,Chair,stepping stool,2,2
1366,Chair,weapon,3,3
1366,Chair,blocking the door,2,3
1366,Chair,pro wrestling entertainment,5,4
1366,Chair,making a  fort,4,3
1511,Chair,sitting in,1,1
1511,Chair,propping a door open,2,3
1511,Chair,decorating a room,3,3
1511,Chair,breaking to dramatize a movie scene,4,5
1599,Chair,To sit in,1,1
1599,Chair,to stand on,2,2
1599,Chair,to prop against a door,2,3
1599,Chair,to throw,3,3
1599,Chair,to break,3,3
1531,Chair,to sit in,1,1
1531,Chair,to stand on,2,2
1531,Chair,to decorate,3,3
1531,Chair,to block a door with,2,3
1531,Chair,to hold things,2,3
1382,Chair,sit in,1,1
1382,Chair,stand on to reach things up high,2,2
1382,Chair,back rest,2,2
1382,Chair,decoration,3,3
1382,Chair,bed,4,3
1382,Chair,table,3,3
1382,Chair,spinning,4,2
1382,Chair,weightlifting,4,3
1417,Chair,sit on,1,1
1417,Chair,rest things on,2,3
1417,Chair,step stool,2,2
1417,Chair,decor,3,3
1417,Chair,weapon,3,3
1417,Chair,hide behind,3,3
1453,Chair,to sit on,1,1
1453,Chair,to protect your back,2,3
1453,Chair,a weapon,3,3
1453,Chair,to stand on to reach something,2,2
1453,Chair,a drying rack for clothing,2,3
1440,Chair,sitting,1,1
1440,Chair,as a ladder,2,2
1440,Chair,stand on to see things,2,2
1440,Chair,use at dinner,2,3
1440,Chair,at an office,2,2
1440,Chair,at school,2,2
1440,Chair,stack chairs,2,3
1506,Chair,sit down,1,1
1506,Chair,hold stuff,2,3
1497,Chair,sitting,1,1
1497,Chair,smashing on something,3,3
1497,Chair,standing on to reach higher levels,2,2
1497,Chair,playing musical chairs,4,3
1458,Chair,sit on,1,1
1458,Chair,use as a ladder,2,2
1458,Chair,use to keep a door shut/open,2,3
1330,Chair,seat,1,1
1330,Chair,step stool,2,2
1330,Chair,decoration,3,3
1330,Chair,holding clothes or other things,2,3
1513,Chair,sit on,1,1
1513,Chair,stand on to reach high,2,2
1513,Chair,place coat on,2,3
1513,Chair,rocking,3,2
1559,Chair,sit on,1,1
1559,Chair,stand on to reach something high,2,2
1559,Chair,prop something against,2,3
1559,Chair,to hit something with,3,3
1559,Chair,to place boxes on,2,2
1559,Chair,to prop a door open,2,3
1425,Chair,sit on,1,1
1425,Chair,build a fort with,4,3
1425,Chair,stand on,2,2
1425,Chair,prop something open,2,3
1425,Chair,stick under door knob to lock door,2,3
1425,Chair,rest feet on,2,3
1449,Chair,to sit,1,1
1449,Chair,to use as a weapon,3,3
1449,Chair,standing to get something off a shelf,2,2
1347,Chair,To sit in,1,1
1347,Chair,to stand on to reach something,2,2
1347,Chair,to push someone around in,3,2
1347,Chair,to use to do work outs on,4,3
1347,Chair,to block someone from opening a door,2,3
1518,Chair,sit on,1,1
1518,Chair,stand on,2,2
1518,Chair,stack on top of each other,2,3
1610,Chair,sit in it,1,1
1610,Chair,put something on it,2,2
1610,Chair,lap dance,5,4
1610,Chair,stand on it to reach something,2,2
1610,Chair,use it to stomp on a bug,3,3
1610,Chair,crawl underneath it for an earthquake drill,3,3
1407,Chair,used as art,3,3
1407,Chair,used as decoration,3,3
1407,Chair,used to hold something in place,2,2
1407,Chair,used as a weapon,3,3
1450,Chair,sitting,1,1
1450,Chair,holding stuff,2,3
1450,Chair,step stool,2,2
1450,Chair,desk,3,3
1450,Chair,putting underneath door handle to prevent someone from getting in,3,3
1598,Chair,sit,1,1
1598,Chair,smash,3,3
1598,Chair,stand on,2,2
1543,Chair,sit on,1,1
1543,Chair,use as weapon,3,3
1543,Chair,prop open door,2,3
1543,Chair,put stuff on,2,3
1543,Chair,break stuff,3,3
1543,Chair,counter-weight for pulley,5,4
1543,Chair,shovel snow,4,5
1543,Chair,light on fire (tinder),4,4
1543,Chair,drum,4,4
1402,Chair,Sitting on it,1,1
1402,Chair,using it to reach something up high,2,2
1461,Chair,sitting,1,1
1461,Chair,used as a ladder,2,2
1461,Chair,projectile,3,3
1352,Chair,hold a door open,3,3
1352,Chair,stand on to hang something on the wall,2,3
1352,Chair,sit in,1,1
1352,Chair,use as a prop in a dance,4,3
1526,Chair,sit,1,1
1526,Chair,step on,2,1
1526,Chair,block off,2,2
1526,Chair,hide under,3,3
1526,Chair,protection,3,3
1362,Chair,use as a stepping stool,2,2
1362,Chair,sit,1,1
1362,Chair,sleep,4,3
1466,Chair,sit on,1,1
1466,Chair,play musical chairs,4,3
1466,Chair,use as a step stool,2,2
1466,Chair,place stuff down on it,2,3
1587,Chair,sit,1,1
1587,Chair,build a fort,4,3
1587,Chair,lock a door,2,3
1587,Chair,reach a high up place,2,2
1587,Chair,blunt weapon,3,3
1587,Chair,if it has wheels you can roll around,3,2
1587,Chair,rock back and forth,3,2
1587,Chair,sleep,4,3
1367,Chair,to sit on,1,1
1367,Chair,to step on,2,3
1367,Chair,to throw,3,3
1367,Chair,to use as a table,3,3
1367,Chair,to use as a leg rest,2,3
1367,Chair,decoration,3,3
1621,Chair,stand on it,2,2
1621,Chair,sit on it,1,1
1621,Chair,use as firewood,4,3
1621,Chair,roll around in it,3,2
1621,Chair,hang clothes on it,2,3
1334,Chair,sit in it,1,1
1334,Chair,climb it,2,2
1334,Chair,stand on it,2,2
1334,Chair,sleep on it,4,3
1500,Chair,sitting,1,1
1500,Chair,use as a stool,2,2
1500,Chair,place objects in it to hold,2,3
1500,Chair,decoration like at Cracker Barrel,3,3
1527,Chair,sit on,1,1
1527,Chair,stand on,2,2
1527,Chair,play musical chairs,4,3
1527,Chair,block a door,2,3
1527,Chair,make a fort,4,3
1372,Chair,Hold my clean clothes,2,3
1372,Chair,make a fort,4,3
1372,Chair,reach a high shelf,2,2
1372,Chair,prop open a door,2,3
1525,Chair,sit on,1,1
1525,Chair,stand on it to reach things,2,2
1525,Chair,keep a door closed,2,3
1525,Chair,save a parking space,5,5
1525,Chair,lean against,2,3
1464,Chair,sitting,1,1
1464,Chair,standing to reach a higher object,2,2
1464,Chair,sleeping,4,3
1464,Chair,building,3,3
1464,Chair,resting objects,2,3
