id,item,response,ratings,creativity
1159,Cup,drink things out of,1,1
1159,Cup,to trap bugs in,2,3
1159,Cup,to stack with,2,3
1159,Cup,to put food in,2,2
1159,Cup,to play games with,3,3
1159,Cup,to transport things in,3,3
1159,Cup,to roll around,3,3
1159,Cup,to use as a decoration,3,3
1104,Cup,measuring liquids,2,2
1104,Cup,drinking from,1,1
1104,Cup,creating a rhythm,4,3
1104,Cup,drawing a circle,4,3
1104,Cup,holding pencils,2,3
1093,Cup,drinking,1,1
1093,Cup,spilling,3,2
1093,Cup,placing pens,2,3
1093,Cup,breaking,3,2
1093,Cup,measuring,2,3
1141,Cup,to store a liquid,1,1
1141,Cup,to drink from,1,1
1141,Cup,to pour a liquid onto something,2,1
1141,Cup,to use as a weapon,3,3
1141,Cup,to use as a stand/infrastructure,3,4
1141,Cup,to mix liquids inside,2,2
1141,Cup,to trap a bug or mouse,3,3
1176,Cup,drinking,1,1
1176,Cup,trapping things,3,3
1176,Cup,holding items,2,3
1176,Cup,cup pyramid,3,3
1286,Cup,drinking,1,1
1286,Cup,pong,4,2
1286,Cup,cup stacking,3,2
1286,Cup,soup,2,2
1286,Cup,store food,2,2
1258,Cup,to drink out of,1,2
1258,Cup,put food in when out of bowls,2,2
1258,Cup,to play games with,3,3
1221,Cup,drink,1,1
1221,Cup,mix inside,2,2
1221,Cup,bake a mug cake,3,2
1221,Cup,build sand castles,3,4
1221,Cup,play different cup games,3,3
1205,Cup,plant holder,3,4
1205,Cup,drum,4,4
1205,Cup,prism,3,5
1138,Cup,putting liquids in,1,1
1138,Cup,to trap a bug,3,3
1138,Cup,to cook muffins or cupcakes in,3,1
1138,Cup,to put around your ears,4,4
1138,Cup,to catch something,3,3
1186,Cup,drink holder,1,1
1186,Cup,hide something under,3,3
1186,Cup,table for mice,5,4
1186,Cup,home for tiny kitten,5,4
1186,Cup,hat,4,5
1186,Cup,decoration,3,3
1186,Cup,gift,3,3
1147,Cup,holding a drink,1,1
1147,Cup,making music,3,3
1147,Cup,playing cup pong,4,2
1147,Cup,stacking,3,2
1147,Cup,making a conveyor belt,4,3
1147,Cup,a hat,4,5
1147,Cup,use for kids' arts and crafts,3,3
1094,Cup,to store liquid,1,1
1094,Cup,to drink from,1,1
1094,Cup,to trap a bug,3,3
1094,Cup,to measure things,2,3
1094,Cup,to cook things in,3,2
1162,Cup,drink/eat from it,1,1
1162,Cup,use it as storage,2,3
1162,Cup,use it as decoration,3,3
1162,Cup,baseball gear,4,4
1102,Cup,drinking,1,1
1102,Cup,making music,3,4
1102,Cup,eating cereal/snacks,2,2
1102,Cup,party hat,4,4
1102,Cup,telephone,4,4
1174,Cup,drink from it,1,1
1174,Cup,stack them,3,3
1174,Cup,position them as bowling pins,5,4
1180,Cup,drink,1,1
1180,Cup,hold,2,2
1180,Cup,put food in,2,2
1180,Cup,scoop water,2,2
