id,item,response,novelty_1,novelty_2
1094,Rope,to climb with,1,1
1094,Rope,to hang things,2,3
1094,Rope,as a decoration,3,3
1094,Rope,to make unique designs with,4,3
1094,Rope,to tie different knots,1,2
1093,Rope,tying,1,2
1093,Rope,strangling,3,2
1093,Rope,dangling,2,2
1093,Rope,loosening,2,2
1093,Rope,jumping,2,3
1093,Rope,shaking,2,3
1093,Rope,pulling,2,1
1159,Rope,climb,1,1
1159,Rope,travel,3,4
1159,Rope,use to jump off something with,2,1
1159,Rope,connect things,2,1
1159,Rope,use for a workout,3,3
1159,Rope,use to wrap presents,3,3
1159,Rope,decorative,3,3
1159,Rope,tie knots,1,2
1159,Rope,hold things together,1,3
1195,Rope,tie a boat to a dock,1,2
1195,Rope,use it for working out,3,3
1195,Rope,for tying a knot,1,2
1195,Rope,to swing,2,1
1141,Rope,to exercise,3,2
1141,Rope,to tie objects together,1,2
1141,Rope,to hang objects,2,1
1141,Rope,to use in a pulley,2,2
1141,Rope,to drag objects,2,2
1141,Rope,to secure objects to a surface,2,2
1141,Rope,to attack someone/use as weapon,3,4
1104,Rope,tying things together,1,2
1104,Rope,working out,3,3
1104,Rope,swinging,2,1
1104,Rope,acting as a barrier,3,3
1286,Rope,to climb,1,1
1286,Rope,to tie something up,1,2
1286,Rope,a belt,3,4
1286,Rope,use it as a boarder,3,2
1205,Rope,JUMP ROPE,2,3
1163,Rope,to climb,1,1
1163,Rope,to tie,1,2
1163,Rope,to fasten,2,3
1192,Rope,swing,2,1
1192,Rope,secure a boat,2,2
1192,Rope,hang items,2,2
1192,Rope,tie bundles of paper,1,2
1087,Rope,tie something,1,2
1087,Rope,to hang something,2,2
1087,Rope,to decorate a vase,3,4
1087,Rope,to mark a perimeter,3,3
1087,Rope,to jump rope,2,3
1087,Rope,a weapon,3,3
1176,Rope,tie things,1,2
1176,Rope,swing from things,2,2
1176,Rope,hold things together,2,2
1176,Rope,climb up,1,1
1258,Rope,jump rope,2,2
1258,Rope,rope that is used to tie knots,1,2
1258,Rope,rope are used to keep things in place,1,2
1258,Rope,obstacle course ropes,3,4
1258,Rope,the rope that is climbed during gym class to see how high you can get,2,1
1186,Rope,tie,1,2
1186,Rope,knot,1,2
1186,Rope,jump rope,2,3
1186,Rope,noose,3,3
1186,Rope,lasso,5,3
1186,Rope,climbing,1,1
1186,Rope,hold down,2,2
1186,Rope,hit with,3,2
1186,Rope,sailing,3,4
1186,Rope,tug o war,3,3
1186,Rope,jewelry,4,4
1174,Rope,pull someone out of a well,4,3
1174,Rope,climb up,1,1
1133,Rope,tie a knot,1,2
1133,Rope,wear as a belt,3,4
1133,Rope,shoe lace,3,4
