id,item,response,novelty_1,novelty_2
1159,Shoe,wear on feet,1,1
1159,Shoe,to put stuff in,3,3
1159,Shoe,to workout in,1,1
1159,Shoe,to use as a bug killer,2,3
1159,Shoe,to use as a decoration,3,4
1104,Shoe,putting on your feet,1,1
1104,Shoe,hitting a bug,2,3
1104,Shoe,dog toy,3,3
1093,Shoe,killing a bug,2,3
1093,Shoe,wearing on a foot,1,1
1093,Shoe,throwing over a power line,4,3
1093,Shoe,selling,3,4
1093,Shoe,throwing,2,3
1141,Shoe,to wear on foot,1,1
1141,Shoe,to use as a weight,3,4
1141,Shoe,to store things in,3,3
1141,Shoe,to throw at someone,2,3
1141,Shoe,to tie together and sling it on a wire,5,3
1176,Shoe,Running,1,1
1176,Shoe,Swatting bugs,2,2
1286,Shoe,walking,1,1
1286,Shoe,comfort,2,3
1286,Shoe,style,2,2
1258,Shoe,to wear when going outside,1,1
1258,Shoe,to store socks in after a run,3,3
1258,Shoe,to squash bugs inside the house,2,2
1258,Shoe,to put at the door when entering the house,2,3
1258,Shoe,wear house shoes around the house to keep my feet warm,1,2
1221,Shoe,wear on feet,1,1
1221,Shoe,horseshoe for throwing,5,3
1221,Shoe,shoes to leave on porch to detract intruders,4,5
1205,Shoe,pillow,5,5
1205,Shoe,door stop,3,4
1205,Shoe,glove,4,5
1205,Shoe,place mark,4,4
1205,Shoe,memorial,5,4
1205,Shoe,store,3,3
1138,Shoe,to wear on your feet,1,1
1138,Shoe,to sell (for profit),3,4
1138,Shoe,as a weapon,3,4
1138,Shoe,as a doorstop,3,3
1186,Shoe,footwear,1,1
1186,Shoe,shoe tower,5,5
1186,Shoe,mouse home,5,5
1186,Shoe,bacteria grower,5,5
1147,Shoe,wearing on feet,1,1
1147,Shoe,paperweight,3,3
1147,Shoe,dog toy,3,3
1094,Shoe,to protect feet,2,1
1094,Shoe,to smash bugs,2,2
1094,Shoe,to walk in,1,1
1162,Shoe,use it to walk,1,1
1162,Shoe,use it as a blunt object,3,4
1162,Shoe,use the lace to tie something,4,4
1102,Shoe,running,1,1
1102,Shoe,hitting,3,3
1102,Shoe,kicking,2,2
1102,Shoe,tying,2,2
1102,Shoe,phone prop,4,4
1102,Shoe,dog food bowl,4,4
1174,Shoe,wear them,1,1
1174,Shoe,swat a fly,2,2
1174,Shoe,sell them,3,4
1180,Shoe,wear,1,1
1180,Shoe,walk around,1,1
1180,Shoe,make an outfit look good,3,3
1180,Shoe,kill a bug,2,2
1180,Shoe,run,1,1
1180,Shoe,clean,3,4
1193,Shoe,to kill a bug,2,2
1193,Shoe,to walk in,1,1
1193,Shoe,to hold keys,4,4
1193,Shoe,to change height,4,3
1193,Shoe,to warm up your feet,2,3
1193,Shoe,to repel water,3,5
1193,Shoe,to use as a weight,3,4
1193,Shoe,to protect feet from incoming dangers,2,2
1209,Shoe,running/walking,1,1
1209,Shoe,killing bugs,2,2
1209,Shoe,throwing at people,3,3
1209,Shoe,I saw a guy drink out of one once,4,2
1123,Shoe,walking,1,2
1123,Shoe,running,1,2
1123,Shoe,fashion,3,2
1123,Shoe,warmth,2,3
1123,Shoe,protection,2,2
1123,Shoe,dancing,2,2
1228,Shoe,wear on on feet,1,1
1228,Shoe,squish a bug,2,2
1228,Shoe,float down river,4,4
1195,Shoe,to throw,3,3
1195,Shoe,to run in,1,1
1195,Shoe,to make mulch,4,5
1195,Shoe,to show off in,3,4
1195,Shoe,to sell,3,3
1192,Shoe,wear it,1,1
1192,Shoe,kill insects,2,2
1087,Shoe,make puppets out of it,4,5
1087,Shoe,put on feet,1,1
1087,Shoe,hold liquid in them,4,3
1087,Shoe,give them to dog as chew toy,3,3
1087,Shoe,fly killer,2,2
1133,Shoe,wear on foot,1,1
1133,Shoe,tie laces and hang on something,3,3
1133,Shoe,use as decoration,3,4
1133,Shoe,hide something inside,3,3
1133,Shoe,decorate the outside with paint,4,2
1133,Shoe,kill a bug,2,2
1230,Shoe,wear it,1,1
1230,Shoe,provide warmth,2,2
1230,Shoe,use it as a cup,4,4
1230,Shoe,use it as a flower pot,3,4
1230,Shoe,use the rubber for wood chips,5,5
1230,Shoe,use the laces as rope,4,5
1230,Shoe,trip wire with laces tied together,4,4
1129,Shoe,wear on your feet,1,1
1129,Shoe,kill a bug,2,2
1163,Shoe,to wear,1,1
1163,Shoe,to dance,2,2
1163,Shoe,to walk,1,1
1194,Shoe,wear it,1,1
1194,Shoe,use it to break open a window,3,4
1194,Shoe,kill a bug,2,2
1194,Shoe,fill it up with things,3,3
1226,Shoe,To wear on the feet,1,1
1226,Shoe,as a projectile,3,5
1226,Shoe,to use the laces as a belt,3,4
1226,Shoe,to use as a doorstop,3,3
1226,Shoe,to use as a house for pet mice,4,4
1226,Shoe,to use as an air freshener,4,4
1121,Shoe,protect feet,2,1
1121,Shoe,squash bug,2,2
1121,Shoe,hit someone,3,3
1121,Shoe,resell to profit,3,4
1121,Shoe,match with outfit,3,2
1118,Shoe,to protect feet,2,1
1118,Shoe,to hang on a telephone line,4,2
1118,Shoe,for walking/running,1,1
1373,Shoe,paper weight,3,3
1373,Shoe,weapon,3,3
1373,Shoe,wear,1,1
1373,Shoe,pot a plant inside,3,4
1373,Shoe,symbol,5,5
1533,Shoe,to wear,1,1
1533,Shoe,to hold open a door,3,3
1533,Shoe,to kill a spider,2,2
1533,Shoe,to display,3,4
1488,Shoe,put on feet for protection,2,1
1488,Shoe,use as container for things,3,3
1488,Shoe,use as part of art project,3,4
1488,Shoe,drink out of (would have to be a VERY clean shoe,4,4
1460,Shoe,protect feet,2,1
1460,Shoe,style/showing off,3,2
1460,Shoe,killing bugs,2,2
1460,Shoe,self defense/weapon,3,3
1460,Shoe,gain height,4,3
1503,Shoe,protect feet,2,1
1503,Shoe,throw at something,3,2
1503,Shoe,chew toy for a dog,3,2
1503,Shoe,contain liquid,4,3
1603,Shoe,protection,2,2
1603,Shoe,bug killer,2,2
1603,Shoe,foot warmer,2,3
1603,Shoe,keeps foot dry,2,3
1328,Shoe,to put on your feet,1,1
1328,Shoe,to use as self defense,3,3
1328,Shoe,to kill a bug,2,2
1328,Shoe,to kick a ball,2,2
1328,Shoe,to walk,1,1
1328,Shoe,to run,1,1
1472,Shoe,to wear,1,1
1472,Shoe,to tear,3,3
1472,Shoe,to run,1,1
1472,Shoe,to throw,3,2
1472,Shoe,to stop a leak,4,4
1472,Shoe,to kick,1,2
1614,Shoe,wearing it,1,1
1614,Shoe,turning it into a mouse home,5,4
1320,Shoe,put on my feet,1,1
1320,Shoe,gloves,4,4
1320,Shoe,storage,3,4
1320,Shoe,a hat,4,5
1320,Shoe,house for a small animal,4,4
1320,Shoe,a cup,5,2
1320,Shoe,spoon,5,5
1320,Shoe,shovel,5,4
1463,Shoe,foot protection,2,2
1463,Shoe,stomp dirt,3,2
1463,Shoe,dig,4,4
1463,Shoe,protect hands,4,4
1442,Shoe,wear,1,1
1442,Shoe,take the laces out of and use to tie things,3,4
1442,Shoe,tie to a tree,3,3
1442,Shoe,throw,3,2
1442,Shoe,fill with dirt,3,4
1442,Shoe,sell,3,3
1442,Shoe,spray paint,2,3
1442,Shoe,wash,2,2
1413,Shoe,wear on your feet,1,1
1413,Shoe,store objects,3,3
1413,Shoe,kill a bug,2,2
1413,Shoe,throw at something,3,2
1413,Shoe,prop up an object,3,3
1507,Shoe,covering your feet,1,1
1507,Shoe,hiding something,3,3
1507,Shoe,throwing it at someone,3,2
1507,Shoe,making noise,3,3
1563,Shoe,to put on your feet,1,1
1563,Shoe,to hold a door open,3,2
1563,Shoe,to grow plants in,4,4
1563,Shoe,to use as a bottle opener,5,4
1563,Shoe,to decorate a room,3,3
1622,Shoe,throwing object,3,2
1622,Shoe,doorstop,3,3
1622,Shoe,to wear,1,1
1622,Shoe,paperweight,3,3
1622,Shoe,measurement device,5,4
1622,Shoe,recycle,4,4
1622,Shoe,art,3,3
1622,Shoe,running,1,2
1622,Shoe,style,3,2
1547,Shoe,protects foot,2,1
1547,Shoe,throwing,3,3
1547,Shoe,can add height for a person,4,2
1547,Shoe,fashion,3,2
1514,Shoe,walking,1,1
1514,Shoe,throwing,3,3
1514,Shoe,potting a plant,3,3
1514,Shoe,drawing on the shoe,3,3
1514,Shoe,collect,3,3
1514,Shoe,decoration,3,3
1528,Shoe,for wearing,1,1
1528,Shoe,warmth,2,2
1528,Shoe,fly swat,2,2
1528,Shoe,running,1,1
1528,Shoe,walking,1,1
1528,Shoe,climbing,2,1
1528,Shoe,to wear in the water,1,3
1551,Shoe,to wear on your foot,1,1
1551,Shoe,to prop open a door,3,3
1551,Shoe,to throw at someone,3,2
1366,Shoe,walking,1,1
1366,Shoe,running,1,1
1366,Shoe,protection,2,1
1366,Shoe,kills bugs,2,2
1366,Shoe,to play catch with,3,3
1366,Shoe,kicking a soccer ball,2,2
1511,Shoe,wearing to not get feet dirty,1,1
1511,Shoe,killing a bug,2,2
1511,Shoe,throwing to dislodge an object that is stuck up high,3,3
1511,Shoe,propping a door open,3,3
1511,Shoe,kicking someone,3,3
1511,Shoe,looking cute,2,2
1599,Shoe,to wear,1,1
1599,Shoe,to design,3,3
1599,Shoe,to collect,3,3
1599,Shoe,to use as a weapon,3,3
1531,Shoe,wearing,1,1
1531,Shoe,walking,1,1
1531,Shoe,killing bugs with,2,2
1531,Shoe,hiding things,3,3
1531,Shoe,for painting,3,3
1531,Shoe,collecting,3,3
1531,Shoe,running,1,2
1382,Shoe,protect feet,2,1
1382,Shoe,drink out of,4,4
1382,Shoe,gloves,4,4
1382,Shoe,bed for small animals,4,3
1382,Shoe,stinky air freshener,5,3
1382,Shoe,footprint maker,4,4
1382,Shoe,flower pot,3,3
1417,Shoe,kill bugs,2,2
1417,Shoe,foot protection,2,1
1417,Shoe,decor,3,3
1417,Shoe,weapon,3,3
1453,Shoe,To protect your feet,2,1
1453,Shoe,keep warm,2,2
1453,Shoe,a weapon,3,3
1453,Shoe,a projectile,3,3
1453,Shoe,to hold things,2,3
1440,Shoe,walking,1,1
1440,Shoe,running,1,1
1440,Shoe,keep your feet warm,2,2
1506,Shoe,swat flies,2,3
1506,Shoe,wear places,1,1
1506,Shoe,door stop,3,3
1497,Shoe,fashion,3,2
1497,Shoe,punish people,3,3
1497,Shoe,foot protection,2,1
1458,Shoe,put on feet,1,1
1458,Shoe,use as a cup,4,4
1458,Shoe,kill bugs,2,2
1458,Shoe,keep paper from flying away,3,3
1458,Shoe,keep door open,3,3
1330,Shoe,for your feet,1,1
1330,Shoe,plant holder,3,4
1330,Shoe,chew toy for dog,3,3
1330,Shoe,piece of art,3,3
1513,Shoe,put on,1,1
1513,Shoe,ground skin barrier,3,1
1513,Shoe,mountain climbing,2,2
