id,rating,creativity,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1094,1,1,to store things,store things,Box,box,1.01635,1.07313,0.90745,0.94789,1.25812,1.04059,0.10492
1094,3,4,to build a fort,build fort,Box,box,1.02406,0.9625,0.99679,1.0124,1.12745,1.02464,0.09326
1094,3,4,as an umbrella,umbrella,Box,box,0.79271,0.84168,0.86173,0.8421,0.95703,0.85905,-0.10172
1094,3,4,to catch a bunny,catch bunny,Box,box,0.9845,1.05335,1.00394,1.056,1.0594999999999999,1.03146,0.08421
1093,2,2,standing on,standing,Box,box,0.7635000000000001,0.90615,0.94337,1.1616,0.79047,0.91302,-0.09459
1093,1,1,putting items in,putting items,Box,box,1.05612,1.02841,0.93182,0.9257299999999999,1.27109,1.04263,0.12255
1093,1,1,opening,opening,Box,box,0.81137,0.85193,0.89674,0.84175,0.69811,0.81998,-0.1147
1093,1,1,closing,closing,Box,box,0.89919,0.91007,0.95747,1.0403,0.87446,0.9363,-0.01685
1093,1,2,cutting,cutting,Box,box,0.84921,0.8765000000000001,0.90192,1.09557,0.84783,0.91421,-0.05938
1093,3,4,make a dollhouse,make dollhouse,Box,box,1.02649,0.98441,1.10588,1.06289,0.74656,0.98525,0.07547
1093,1,1,fill,fill,Box,box,0.81187,0.86604,0.8681099999999999,0.86095,0.7223999999999999,0.82587,-0.11334
1093,3,4,sleep in,sleep,Box,box,0.87143,1.01029,1.00564,1.11986,0.85834,0.97311,-0.00265
1159,1,1,Put things in,put things,Box,box,1.0546,0.97162,0.96526,0.98013,1.25037,1.0444,0.11802
1159,2,4,sit in,sit,Box,box,0.77194,1.0229,0.93361,1.02038,0.79483,0.90873,-0.07772
1159,3,3,play with,play,Box,box,0.79447,0.87274,0.93887,0.91243,0.74368,0.85244,-0.10313
1159,3,3,break apart for other uses,break apart uses,Box,box,0.9796,1.00293,1.01131,0.95192,0.74954,0.93906,0.03197
1159,2,3,delivery things in,delivery things,Box,box,1.05462,1.05488,0.9451,1.0314,1.21741,1.06068,0.12771
1159,2,2,wrap,wrap,Box,box,0.7534,0.87279,0.7395,0.85222,0.77885,0.79935,-0.15975
1195,1,1,store something,store something,Box,box,0.95527,1.10554,0.97859,0.87688,1.25167,1.03359,0.08774
1195,2,2,stand on top of,stand top,Box,box,1.03912,0.9195,1.03007,1.08418,1.07801,1.03018,0.09719
1195,2,2,sit on,sit,Box,box,0.77194,1.0229,0.93361,1.02038,0.79483,0.90873,-0.07772
1195,2,2,sit in,sit,Box,box,0.77194,1.0229,0.93361,1.02038,0.79483,0.90873,-0.07772
1195,3,3,use it to make art,use make art,Box,box,0.96702,0.94606,1.06751,1.00175,0.74758,0.94598,0.02787
1141,1,1,to store items,store items,Box,box,1.07515,1.00278,0.91871,0.99853,1.22275,1.04358,0.1233
1141,2,2,to prop something up,prop something,Box,box,1.11904,1.04664,1.0526200000000001,0.85917,1.0842,1.03233,0.155
1141,2,3,to stand on,stand,Box,box,0.7968500000000001,0.98897,0.86826,1.00779,0.80322,0.89302,-0.08241
1141,4,5,to live in,live,Box,box,0.85302,0.99304,0.8684000000000001,1.03876,0.76763,0.90417,-0.05523
1141,3,4,to use for boxcars,use boxcars,Box,box,0.90063,0.93665,1.03892,0.80514,0.77809,0.89189,-0.01955
1104,5,1,storing,storing,Box,box,0.85544,0.77247,0.93283,0.9896,0.855,0.88107,-0.07331
1104,2,2,building,building,Box,box,0.80545,0.85632,0.84048,1.03969,0.78273,0.86493,-0.10745
1286,3,5,can live in it,can live,Box,box,0.98262,0.97588,0.90234,1.07773,1.22399,1.03251,0.07155
1286,1,1,can store stuff in it,can store stuff,Box,box,0.7697499999999999,0.90111,0.86443,0.99311,0.7166600000000001,0.84901,-0.12382
1286,2,2,can use it as a trash,can use trash,Box,box,0.75497,0.96311,0.9764,0.94355,0.76726,0.88106,-0.09637
1205,5,5,SPACE SHIP,space ship,Box,box,1.06811,1.02636,1.05265,0.9541,1.13991,1.04823,0.1363
1205,3,4,HIDING SPOT,hiding spot,Box,box,0.98411,1.014,1.06986,1.00127,1.05721,1.02529,0.08613
1205,4,4,FIRE STARTER,fire starter,Box,box,1.01115,1.02874,0.9964,0.98577,1.11486,1.02738,0.09543
1205,3,3,WRITE STUFF ON,write stuff on,Box,box,0.7197100000000001,1.01502,1.01489,0.98395,0.69506,0.88573,-0.10503
1205,5,4,PUNCHING BAG,punching bag,Box,box,0.99313,1.05893,1.03955,1.07506,1.09217,1.05177,0.10104
1205,3,4,DRUM,drum,Box,box,0.82837,0.89804,0.91015,0.96106,0.7309300000000001,0.86571,-0.08544
1163,1,2,to store,store,Box,box,0.7075,0.75577,0.8360799999999999,0.99341,0.6559900000000001,0.78975,-0.19433
1163,4,4,to hide,hide,Box,box,0.69337,0.84987,0.90478,0.90869,0.84697,0.84074,-0.15377
1163,1,2,to organize,organize,Box,box,0.92984,0.92601,1.02684,0.99779,1.01061,0.97822,0.02874
1163,2,1,to ship,ship,Box,box,0.84154,0.91359,0.90789,0.97052,0.8307100000000001,0.89285,-0.06389
1192,1,1,store items,store items,Box,box,1.07515,1.00278,0.91871,0.99853,1.22275,1.04358,0.1233
1192,2,3,stand on it,stand,Box,box,0.7968500000000001,0.98897,0.86826,1.00779,0.80322,0.89302,-0.08241
1192,3,3,can be decorative,can decorative,Box,box,1.02271,0.92611,0.96012,0.98552,1.15034,1.00896,0.08079
1087,1,1,storage,storage,Box,box,0.77012,0.73776,0.89035,1.01653,0.71,0.82495,-0.1475
1087,4,4,home for ducks,home ducks,Box,box,0.97222,1.03294,1.04651,0.9913,1.09601,1.0278,0.08318
1087,5,4,piggy bank,piggy bank,Box,box,1.01924,1.01237,0.93842,0.94968,0.99132,0.98221,0.06958
1087,4,3,playpen for children,playpen children,Box,box,1.00409,0.93617,0.99713,0.92766,0.88126,0.94926,0.04475
1176,1,1,storage,storage,Box,box,0.77012,0.73776,0.89035,1.01653,0.71,0.82495,-0.1475
1176,3,3,make a decoration,make decoration,Box,box,1.00652,0.94297,1.02117,0.94121,1.1345,1.00927,0.08249
1176,4,4,make a costume,make costume,Box,box,1.02364,0.8902,0.98424,0.92732,1.15069,0.99522,0.07649
1176,2,2,trash bin,trash bin,Box,box,0.99766,1.0890900000000001,0.97084,0.92893,1.03891,1.00509,0.08259
1258,1,1,To hold stuff,to hold stuff,Box,box,0.77423,0.98218,0.98872,0.98079,0.71184,0.88755,-0.08551
1258,1,1,cardboard,cardboard,Box,box,0.5146,0.49183,0.70034,0.5997399999999999,0.58188,0.57768,-0.3944
1258,2,1,to package,package,Box,box,0.6279699999999999,0.6089,0.76042,0.66534,0.68245,0.66902,-0.28855
1258,2,2,to stand on to reach something,stand reach something,Box,box,0.84914,0.94614,0.94174,0.79696,0.6837,0.84354,-0.07406
1258,2,1,something new comes in it,something new comes,Box,box,0.87571,0.96567,1.05319,1.00171,0.71275,0.92181,-0.02282
1258,2,2,shape of,shape,Box,box,0.8354900000000001,0.91843,0.87802,0.98362,0.75867,0.87485,-0.07959
1186,1,2,container,container,Box,box,0.6589700000000001,0.7753,0.71334,0.92802,0.72097,0.75932,-0.23402
1186,1,2,cardboard,cardboard,Box,box,0.5146,0.49183,0.70034,0.5997399999999999,0.58188,0.57768,-0.3944
1186,3,3,fort,fort,Box,box,0.91954,0.95528,0.93495,0.995,0.72951,0.90686,-0.02192
1186,4,3,carrying case for cat,carrying case cat,Box,box,0.93268,0.96495,0.98832,1.05181,0.75479,0.93851,0.00222
1186,4,3,timeout place,timeout place,Box,box,0.96365,0.97634,0.9658,1.00347,1.17279,1.01641,0.06365
1186,3,3,bed,bed,Box,box,0.74756,0.89961,0.858,1.01096,0.75585,0.8544,-0.13122
1186,3,3,conceal something underneath,conceal something underneath,Box,box,0.90555,0.8479,0.95221,0.98854,0.87463,0.91377,-0.02808
1186,4,5,jail,jail,Box,box,0.7749,0.91838,0.92578,1.01736,0.90602,0.90849,-0.08305
1174,1,1,put something inside it,put something inside,Box,box,0.61355,0.82258,0.86666,0.9653,0.7196199999999999,0.79754,-0.21942
1174,3,3,put over someones head,put someones head,Box,box,0.7765,1.04606,0.95145,0.99627,1.27045,1.00815,-0.01244
1133,1,1,Put stuff inside,put stuff inside,Box,box,0.65498,0.88426,0.9315599999999999,0.83009,0.71665,0.80351,-0.1821
1133,3,3,make a fort,make fort,Box,box,0.99723,0.92117,0.97699,1.02346,1.12345,1.00846,0.06844
1133,2,2,put stuff on top,put stuff top,Box,box,0.68733,0.96617,1.00683,0.99763,0.6559200000000001,0.86278,-0.13597
1133,4,3,hide inside the box,hide inside box,Box,box,0.49314,0.78148,0.66893,0.7594,0.67571,0.67573,-0.34084
1133,3,3,let your cat use it,let cat use,Box,box,0.80413,0.97141,0.96383,1.01796,0.75685,0.90284,-0.06926
1133,1,1,carry stuff,carry stuff,Box,box,0.95115,0.9085,0.99584,1.03944,1.20994,1.02097,0.05684
1133,3,4,bowl,bowl,Box,box,0.70824,0.87993,0.86571,0.96353,0.79791,0.84306,-0.15103
1133,2,4,present,present,Box,box,0.81703,0.91343,1.00402,0.97016,0.8544700000000001,0.91182,-0.0562
1138,1,1,storing items,storing items,Box,box,1.02186,0.99975,0.92918,0.94493,1.1059,1.00032,0.08044
1138,2,3,bed for a pet,bed pet,Box,box,0.87755,0.92942,1.00959,1.02823,1.15591,1.00014,0.01788
1138,3,4,to be worn as a hat,worn hat,Box,box,1.08286,0.98231,0.9388,1.0098799999999999,1.01056,1.00488,0.1026
1138,1,1,container for selling something,container selling something,Box,box,0.83631,1.0556,0.96906,1.0497,0.80682,0.9435,-0.02914
1138,3,3,school project,school project,Box,box,1.04665,1.02161,0.89874,1.03126,1.21498,1.04265,0.10887
1221,2,1,things are packaged in it,things packaged,Box,box,1.00642,1.05481,0.95292,0.88263,1.21037,1.02143,0.09594
1221,3,3,childhood playtime with boxes,childhood playtime boxes,Box,box,0.8276399999999999,1.03502,0.9129700000000001,0.88511,1.10977,0.9541,-0.01955
1221,1,1,functional permanent storage,functional permanent storage,Box,box,0.97794,0.93042,0.99432,1.01351,0.7522,0.93368,0.01848
1221,3,2,hide things,hide things,Box,box,1.08912,1.01971,1.00531,0.95624,1.17619,1.04931,0.14178
1221,2,2,build things,build things,Box,box,1.11185,0.98336,0.9588,0.99415,1.23499,1.05663,0.14749
1194,1,1,hold items,hold items,Box,box,1.11487,0.873,1.00596,0.92237,1.26532,1.0363,0.1382
1194,3,3,weigh something down,weigh something,Box,box,1.00708,0.97115,1.03147,1.04216,1.16432,1.04324,0.09821
1194,3,3,a toy for kids,toy kids,Box,box,1.07827,1.00344,0.93794,0.99023,1.20258,1.04249,0.12574
1194,3,3,tear it up and create something,tear create something,Box,box,0.93936,0.98274,0.96094,1.01867,0.7564299999999999,0.93163,0.00238
1147,2,1,carrying books,carrying books,Box,box,1.00542,0.98345,1.0039,0.95525,1.22001,1.03361,0.09683
1147,3,2,making a play house,making play house,Box,box,0.7478400000000001,1.0104899999999999,0.92363,0.86612,0.7139599999999999,0.85241,-0.11151
1147,4,4,halloween costume,halloween costume,Box,box,1.01033,0.94406,0.95296,1.01779,1.03585,0.9922,0.06417
1147,3,3,making a die,making die,Box,box,0.92041,1.09503,0.92209,1.02689,1.19793,1.03247,0.05842
1147,2,2,standing on top of it,standing top,Box,box,1.01921,0.89429,1.05259,0.98892,1.08241,1.00748,0.08234
1162,4,3,hide in,hide,Box,box,0.69337,0.84987,0.90478,0.90869,0.84697,0.84074,-0.15377
1162,1,1,store something,store something,Box,box,0.95527,1.10554,0.97859,0.87688,1.25167,1.03359,0.08774
1162,2,2,use it as a stool,use stool,Box,box,0.89716,0.9698,1.0702,1.0382,1.09507,1.01409,0.03956
1102,1,1,storage,storage,Box,box,0.77012,0.73776,0.89035,1.01653,0.71,0.82495,-0.1475
1102,1,1,packing,packing,Box,box,0.6456500000000001,0.80275,0.75846,0.94832,0.76323,0.78368,-0.22175
1102,4,4,cardboard robots,cardboard robots,Box,box,1.00212,0.92828,0.98221,1.04664,1.00688,0.99323,0.06044
1102,3,3,decorating,decorating,Box,box,0.8924300000000001,0.86695,0.9786,0.99867,0.85015,0.91736,-0.02909
1102,2,3,recycling,recycling,Box,box,0.85733,0.78294,0.85597,0.97738,0.85673,0.86607,-0.08495
1102,5,4,thinking outside of it,thinking outside,Box,box,1.06435,1.03825,0.96924,1.03864,1.21755,1.06561,0.1346
1102,2,2,presents,presents,Box,box,0.75188,0.83611,0.89494,1.04976,0.78555,0.86365,-0.12802
1230,2,1,ship something,ship something,Box,box,0.92682,1.05077,1.05258,0.93125,1.19574,1.03143,0.07283
1230,1,1,store something,store something,Box,box,0.95527,1.10554,0.97859,0.87688,1.25167,1.03359,0.08774
1230,2,2,use it as a step stool,use step stool,Box,box,0.8811599999999999,0.99095,0.99761,1.04122,0.78225,0.93864,-0.01545
1230,4,4,dance on it,dance,Box,box,0.90935,1.00687,0.98521,1.08362,0.81892,0.96079,0.00619
1230,3,3,use it as a table,use table,Box,box,1.03051,0.99704,0.92176,0.85518,1.2521900000000001,1.01134,0.09611
1123,1,1,cardboard,cardboard,Box,box,0.5146,0.49183,0.70034,0.5997399999999999,0.58188,0.57768,-0.3944
1123,2,1,shipping,shipping,Box,box,0.8074,0.83596,0.8789,0.95129,0.79266,0.85324,-0.10618
1123,2,1,mail,mail,Box,box,0.7361500000000001,0.71155,0.82408,0.8371999999999999,0.6075699999999999,0.74331,-0.20298
