id,rating,creativity,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1159,1,1,to sit in,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30458
1159,2,2,to stand on top of,stand top,Chair,chair,1.05905,1.02163,1.11245,0.9744,1.15397,1.0643,0.21807000000000001
1159,4,3,to make a piece of art,make piece art,Chair,chair,0.85759,0.9793499999999999,1.04098,0.98406,0.74543,0.92148,0.07184
1159,3,3,to decorate,decorate,Chair,chair,0.8584700000000001,0.85429,0.96212,1.01204,0.93484,0.92435,0.03721
1159,3,3,to play with,play,Chair,chair,0.7749699999999999,0.94431,0.94171,0.99802,0.86842,0.90549,0.01482
1104,1,1,sitting on,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34181
1104,2,3,weighing something down,weighing something,Chair,chair,1.10142,1.0087,0.93607,0.87572,1.11534,1.00745,0.16449
1104,5,3,building a fort,building fort,Chair,chair,0.9504,1.02186,0.92591,0.96752,1.10965,0.99507,0.11595
1093,1,1,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34181
1093,2,2,standing,standing,Chair,chair,0.6584099999999999,0.75055,0.71419,0.9067000000000001,0.60756,0.72748,-0.18053
1093,2,3,propping a door open,propping door open,Chair,chair,0.94975,1.00287,0.95214,1.07643,1.1095,1.01814,0.12904
1093,3,3,breaking,breaking,Chair,chair,0.89362,1.0259,0.96634,1.06571,0.85773,0.96186,0.09306
1093,3,3,building,building,Chair,chair,0.8515699999999999,0.88978,0.87022,1.0493999999999999,0.78929,0.89005,0.00552
1141,1,1,to sit on,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30458
1141,2,2,to stand on to reach a higher place,stand reach higher place,Chair,chair,1.14241,1.03548,0.98109,1.00124,1.22285,1.07661,0.22239
1141,2,3,to prop an item on,prop item,Chair,chair,1.10716,0.9901,0.97383,0.97297,1.10144,1.0291,0.18116
1141,2,3,to hold something up like a box,hold something like box,Chair,chair,1.06946,0.96874,1.06104,0.94921,1.19083,1.04786,0.19415
1141,3,4,to use as a weapon,use weapon,Chair,chair,0.93882,0.99185,1.0615,0.9166300000000001,1.22135,1.02603,0.15077
1141,2,3,to prop up against  door to keep it closed,prop door keep closed,Chair,chair,0.9008,0.97323,1.1135,0.85379,1.18018,1.0043,0.1376
1176,1,1,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34181
1176,2,2,reaching high places,reaching high places,Chair,chair,0.95973,0.95915,1.03848,0.91246,0.7644299999999999,0.92685,0.09951
1176,3,4,hitting something,hitting something,Chair,chair,1.06941,1.05315,0.93075,0.99551,1.19285,1.04833,0.18076
1176,4,3,musical chairs,musical chairs,Chair,chair,1.07659,0.90073,1.16218,0.8752800000000001,1.13076,1.02911,0.19744
1286,1,1,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34181
1286,3,3,putting clothes on,putting clothes,Chair,chair,1.10138,0.95374,0.92563,0.91084,1.25926,1.03017,0.16435
1286,2,2,stepping stool,stepping stool,Chair,chair,1.05765,1.02684,0.98396,0.99324,1.05835,1.02401,0.17271
1286,4,3,sleeping,sleeping,Chair,chair,0.72357,0.83951,0.92415,0.86486,0.76989,0.8244,-0.05841
1258,1,1,to sit on at the desk,sit desk,Chair,chair,1.02633,1.03853,0.98898,0.98085,1.23893,1.05472,0.18141
1258,2,2,to stand on when something is high up,stand something high,Chair,chair,0.77565,0.99355,0.87572,1.07423,0.73626,0.89108,0.00224
1258,2,3,to use as a throne at the dinner table,use throne dinner table,Chair,chair,0.95459,0.92094,0.97631,0.8721,1.17558,0.9799,0.1044
1221,1,1,sit in,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30458
1221,3,3,play on,play,Chair,chair,0.7749699999999999,0.94431,0.94171,0.99802,0.86842,0.90549,0.01482
1221,4,3,sleep on,sleep,Chair,chair,0.6859,0.84745,0.89348,0.88417,0.71799,0.8058,-0.08297
1221,3,3,dog bed,dog bed,Chair,chair,1.01607,0.98338,1.00203,0.92301,1.14599,1.0141,0.15319
1221,3,3,wheelchair for people who cannot walk,wheelchair people walk,Chair,chair,0.8011699999999999,0.91476,0.96181,1.00338,0.80023,0.89627,0.01727
1205,2,2,step stool,step stool,Chair,chair,0.967,1.04805,0.98249,0.92198,1.10952,1.00581,0.14166
