id,rating,creativity,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1159,1,1,drink things out of,drink things,Cup,cup,1.00898,0.99312,0.92786,0.85844,1.22987,1.00365,0.07605
1159,2,3,to trap bugs in,trap bugs,Cup,cup,1.04465,0.92238,0.95697,0.95587,1.09579,0.99513,0.08788
1159,2,3,to stack with,stack,Cup,cup,0.93031,0.86421,0.96848,0.86841,0.99368,0.92502,-0.00602
1159,2,2,to put food in,put food,Cup,cup,1.00391,1.01563,0.94188,0.99839,1.23168,1.0383,0.10366
1159,3,3,to play games with,play games,Cup,cup,0.98729,1.03893,0.95548,0.97349,1.05904,1.00285,0.08786
1159,3,3,to transport things in,transport things,Cup,cup,1.00065,1.04934,0.96476,1.0187,1.1277,1.03223,0.11118
1159,3,3,to roll around,roll around,Cup,cup,1.02718,1.03193,1.02744,1.00841,1.14709,1.04841,0.13282
1159,3,3,to use as a decoration,use decoration,Cup,cup,0.97108,0.9131,1.07466,0.89458,1.14611,0.99991,0.06388
1104,2,2,measuring liquids,measuring liquids,Cup,cup,0.9985,1.09618,1.08006,1.00322,1.06103,1.0478,0.13808
1104,1,1,drinking from,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1104,4,3,creating a rhythm,creating rhythm,Cup,cup,1.00714,1.05018,0.99843,0.88567,1.13176,1.01464,0.10133
1104,4,3,drawing a circle,drawing circle,Cup,cup,0.99324,1.0549,0.98188,0.99182,1.11144,1.02666,0.10684
1104,2,3,holding pencils,holding pencils,Cup,cup,0.97107,1.00488,1.03839,1.01286,1.01773,1.00899,0.08997
1093,1,1,drinking,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1093,3,2,spilling,spilling,Cup,cup,0.71986,0.78312,0.82158,0.78678,0.94043,0.81035,-0.18377
1093,2,3,placing pens,placing pens,Cup,cup,0.98032,1.07036,0.9772,0.97174,1.09795,1.01951,0.09911
1093,3,2,breaking,breaking,Cup,cup,0.85278,1.0213,0.9001,0.93697,0.81056,0.90434,-0.02164
1093,2,3,measuring,measuring,Cup,cup,0.90758,0.85541,0.96927,0.89373,0.88898,0.90299,-0.02354
1141,1,1,to store a liquid,store liquid,Cup,cup,0.99878,0.94818,0.89086,0.99175,1.09096,0.98411,0.06247
1141,1,1,to drink from,drink,Cup,cup,0.51746,0.64113,0.83099,0.68732,0.74989,0.68536,-0.35451
1141,2,1,to pour a liquid onto something,pour liquid onto something,Cup,cup,0.84928,1.1007,1.01543,0.89437,1.15064,1.00208,0.03705
1141,3,3,to use as a weapon,use weapon,Cup,cup,0.85324,0.93931,1.01208,1.00587,1.16681,0.99546,0.01458
1141,3,4,to use as a stand/infrastructure,use stand infrastructure,Cup,cup,0.95266,0.97475,0.94992,0.98168,0.83498,0.9388,0.03743
1141,2,2,to mix liquids inside,mix liquids inside,Cup,cup,0.93339,0.87812,0.92478,1.03794,0.96298,0.94744,0.01453
1141,3,3,to trap a bug or mouse,trap bug mouse,Cup,cup,0.95592,1.05925,1.05821,1.02497,0.83837,0.98734,0.08952
1176,1,1,drinking,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1176,3,3,trapping things,trapping things,Cup,cup,1.03884,1.02708,0.98243,0.88594,1.07474,1.00181,0.10498
1176,2,3,holding items,holding items,Cup,cup,1.03252,0.95496,0.9588,1.07215,1.24667,1.05302,0.11865
1176,3,3,cup pyramid,cup pyramid,Cup,cup,1.13839,1.06401,1.03899,0.94059,0.83236,1.00287,0.17007
1286,1,1,drinking,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1286,4,2,pong,pong,Cup,cup,0.84876,0.90163,0.86371,0.96204,0.87942,0.89111,-0.0536
1286,3,2,cup stacking,cup stacking,Cup,cup,0.94631,0.9926,0.98579,1.19683,1.03157,1.03062,0.0925
1286,2,2,soup,soup,Cup,cup,0.68357,0.80695,0.88621,0.63814,0.796,0.76217,-0.2168
1286,2,2,store food,store food,Cup,cup,1.04371,1.0548,0.96256,1.04582,1.17034,1.05545,0.14207
1258,1,2,to drink out of,drink,Cup,cup,0.51746,0.64113,0.83099,0.68732,0.74989,0.68536,-0.35451
1258,2,2,put food in when out of bowls,put food bowls,Cup,cup,0.88664,1.00055,0.98362,0.93717,0.79885,0.92137,0.00658
1258,3,3,to play games with,play games,Cup,cup,0.98729,1.03893,0.95548,0.97349,1.05904,1.00285,0.08786
1221,1,1,drink,drink,Cup,cup,0.51746,0.64113,0.83099,0.68732,0.74989,0.68536,-0.35451
1221,2,2,mix inside,mix inside,Cup,cup,0.96862,1.03217,1.06176,0.91529,1.05099,1.00577,0.08773
1221,3,2,bake a mug cake,bake mug cake,Cup,cup,0.75156,0.81678,0.86462,0.78367,0.9949,0.84231,-0.14641
1221,3,4,build sand castles,build sand castles,Cup,cup,0.95411,0.91031,0.99351,1.00641,0.89587,0.95204,0.03799
1221,3,3,play different cup games,play different cup games,Cup,cup,1.05958,1.17896,0.87543,1.08586,1.11582,1.06313,0.16805
1205,3,4,plant holder,plant holder,Cup,cup,1.04229,1.05561,0.96028,1.06434,1.0572,1.03594,0.13609
1205,4,4,drum,drum,Cup,cup,0.83758,0.9412,0.86793,0.9387,0.9171,0.9005,-0.04932
1205,3,5,prism,prism,Cup,cup,0.89585,0.90607,0.90707,1.02842,0.99595,0.94667,-7.00E-04
1138,1,1,putting liquids in,putting liquids,Cup,cup,1.09321,1.00417,0.94085,0.97574,1.06972,1.01674,0.13299
1138,3,3,to trap a bug,trap bug,Cup,cup,0.99803,0.89921,0.97973,0.99226,1.06397,0.98664,0.06506
1138,3,1,to cook muffins or cupcakes in,cook muffins cupcakes,Cup,cup,0.77843,0.8351,0.80862,0.79244,0.97483,0.83788,-0.13852
1138,4,4,to put around your ears,put around ears,Cup,cup,0.83588,1.02538,1.04798,1.03167,0.74252,0.93669,0.00957
1138,3,3,to catch something,catch something,Cup,cup,0.97687,1.00471,0.97035,0.97339,1.13565,1.01219,0.08164
1186,1,1,drink holder,drink holder,Cup,cup,0.98984,1.13304,1.04124,0.88079,1.1249,1.03396,0.12106
1186,3,3,hide something under,hide something,Cup,cup,0.95523,0.99438,1.00146,1.11681,1.07461,1.0285,0.09147
1186,5,4,table for mice,table mice,Cup,cup,1.05674,0.9614,1.01904,1.06331,1.06603,1.0333,0.13119
1186,5,4,home for tiny kitten,home tiny kitten,Cup,cup,0.88392,0.97057,0.93179,0.99112,0.96754,0.94899,0.00703
1186,4,5,hat,hat,Cup,cup,0.78818,0.91783,0.92454,0.90017,0.7754,0.86122,-0.08609
1186,3,3,decoration,decoration,Cup,cup,0.90522,0.95958,0.91519,1.03347,0.95655,0.954,0.01789
1186,3,3,gift,gift,Cup,cup,0.82735,0.97415,0.97094,0.96591,0.93485,0.93464,-0.02035
1147,1,1,holding a drink,holding drink,Cup,cup,0.9349,1.04351,0.94563,0.84414,1.15658,0.98495,0.04628
1147,3,3,making music,making music,Cup,cup,1.04475,0.99628,0.96263,0.96008,1.15385,1.02352,0.11302
1147,4,2,playing cup pong,playing cup pong,Cup,cup,0.68033,0.82518,0.73268,0.86414,1.00142,0.82075,-0.19514
1147,3,2,stacking,stacking,Cup,cup,0.9782,0.84594,0.9787,0.8878,1.04426,0.94698,0.02303
1147,4,3,making a conveyor belt,making conveyor belt,Cup,cup,0.84514,0.8954,0.99447,0.97649,1.03367,0.94903,-0.01839
1147,4,5,a hat,hat,Cup,cup,0.78818,0.91783,0.92454,0.90017,0.7754,0.86122,-0.08609
1147,3,3,use for kids' arts and crafts,use kids arts crafts,Cup,cup,0.98003,0.9724,0.98771,0.9445,1.16117,1.00916,0.07563
1094,1,1,to store liquid,store liquid,Cup,cup,0.99878,0.94818,0.89086,0.99175,1.09096,0.98411,0.06247
1094,1,1,to drink from,drink,Cup,cup,0.51746,0.64113,0.83099,0.68732,0.74989,0.68536,-0.35451
1094,3,3,to trap a bug,trap bug,Cup,cup,0.99803,0.89921,0.97973,0.99226,1.06397,0.98664,0.06506
1094,2,3,to measure things,measure things,Cup,cup,1.00082,1.10635,1.10441,0.97008,1.19798,1.07593,0.15117
1094,3,2,to cook things in,cook things,Cup,cup,1.08248,0.90283,0.94829,0.95517,1.18416,1.01459,0.10707
1162,1,1,drink/eat from it,drink eat,Cup,cup,0.99564,1.08046,0.97321,1.10829,1.1701,1.06554,0.13504
1162,2,3,use it as storage,use storage,Cup,cup,0.92259,1.01151,0.88351,1.01239,1.156,0.9972,0.04495
1162,3,3,use it as decoration,use decoration,Cup,cup,0.97108,0.9131,1.07466,0.89458,1.14611,0.99991,0.06388
1162,4,4,baseball gear,baseball gear,Cup,cup,1.03132,0.98435,0.93911,1.013,1.1372,1.021,0.10514
1102,1,1,drinking,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1102,3,4,making music,making music,Cup,cup,1.04475,0.99628,0.96263,0.96008,1.15385,1.02352,0.11302
1102,2,2,eating cereal/snacks,eating cereal snacks,Cup,cup,0.80034,0.85931,0.99889,0.87172,0.93113,0.89228,-0.07384
1102,4,4,party hat,party hat,Cup,cup,1.04011,1.03731,0.98515,0.91329,1.11929,1.01903,0.11615
1102,4,4,telephone,telephone,Cup,cup,0.84052,0.96442,0.96629,0.97628,0.95171,0.93984,-0.01408
1174,1,1,drink from it,drink,Cup,cup,0.51746,0.64113,0.83099,0.68732,0.74989,0.68536,-0.35451
1174,3,3,stack them,stack,Cup,cup,0.93031,0.86421,0.96848,0.86841,0.99368,0.92502,-0.00602
1174,5,4,position them as bowling pins,position bowling pins,Cup,cup,1.0103,1.03556,0.96212,0.94272,0.62382,0.9149,0.0656
1180,1,1,drink,drink,Cup,cup,0.51746,0.64113,0.83099,0.68732,0.74989,0.68536,-0.35451
1180,2,2,hold,hold,Cup,cup,0.75278,0.93731,0.95552,0.96569,0.81009,0.88428,-0.08112
1180,2,2,put food in,put food,Cup,cup,1.00391,1.01563,0.94188,0.99839,1.23168,1.0383,0.10366
1180,2,2,scoop water,scoop water,Cup,cup,1.04575,0.95261,1.00395,0.97731,0.9751,0.99094,0.10058
1180,1,1,pour drink,pour drink,Cup,cup,0.92519,1.0704,0.99364,1.099,1.12425,1.0425,0.09459
1180,2,2,wash,wash,Cup,cup,0.74064,0.92952,0.88175,0.73476,0.95715,0.84876,-0.12947
1193,1,1,to hold liquid,hold liquid,Cup,cup,1.01889,0.96771,0.96935,1.03554,1.09494,1.01729,0.10073
1193,3,3,to use as a weight,use weight,Cup,cup,0.9546,1.13522,1.01555,1.01785,1.1487,1.05438,0.12063
1193,3,3,to capture a bug,capture bug,Cup,cup,1.01301,0.95679,0.94952,0.86134,1.09119,0.97437,0.06381
1193,4,4,to speak into and alter your voice,speak alter voice,Cup,cup,1.04212,1.0107,1.0462,0.99842,0.81119,0.98173,0.11409
1193,3,3,to suction,suction,Cup,cup,0.68846,0.75575,0.88558,0.8363,0.84305,0.80183,-0.194
1209,1,1,drinking,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1209,3,2,stacking,stacking,Cup,cup,0.9782,0.84594,0.9787,0.8878,1.04426,0.94698,0.02303
1209,4,3,beer pong,beer pong,Cup,cup,0.98034,1.04453,0.97471,1.05657,0.87205,0.98564,0.08927
1209,2,2,pencil holder,pencil holder,Cup,cup,0.99283,1.01997,0.9757,0.87681,0.98298,0.96966,0.06971
1209,2,2,water cup for painting,water cup painting,Cup,cup,0.82306,1.02606,0.89797,1.03497,0.73855,0.90412,-0.02646
1123,1,1,drinking,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1123,2,2,measuring,measuring,Cup,cup,0.90758,0.85541,0.96927,0.89373,0.88898,0.90299,-0.02354
1123,2,2,holding items/storage,holding items storage,Cup,cup,0.87357,0.96305,1.00785,0.91589,0.85616,0.9233,-0.00465
1123,4,4,bra cup,bra cup,Cup,cup,0.83065,1.05957,0.90101,0.87702,0.96305,0.92626,-0.02182
1123,3,3,gift,gift,Cup,cup,0.82735,0.97415,0.97094,0.96591,0.93485,0.93464,-0.02035
1123,3,3,decoration,decoration,Cup,cup,0.90522,0.95958,0.91519,1.03347,0.95655,0.954,0.01789
1228,1,1,drink water,drink water,Cup,cup,0.87218,1.01629,0.98076,1.07324,1.14125,1.01674,0.0471
1228,3,4,stand on,stand,Cup,cup,0.81464,0.90162,0.87099,0.8574,0.76389,0.84171,-0.09429
1228,3,3,dig a hole,dig hole,Cup,cup,0.98037,0.9818,0.91909,0.88092,1.03016,0.95847,0.04586
1228,2,2,scoop up a liquid,scoop liquid,Cup,cup,1.00038,0.995,0.985,0.96154,0.87289,0.96296,0.07442
1228,2,2,throw liquid,throw liquid,Cup,cup,0.99646,0.99236,0.91136,1.12182,0.99233,1.00287,0.09
1228,2,3,hold change,hold change,Cup,cup,0.95484,0.92268,1.0185,0.99547,1.15744,1.00979,0.06298
1195,1,1,drinking out of,drinking,Cup,cup,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,-0.24249
1195,3,4,stacking to make a pyramid,stacking make pyramid,Cup,cup,0.93316,1.0318,0.95474,1.02261,1.00047,0.98856,0.06072
1195,4,3,playing cup pong,playing cup pong,Cup,cup,0.68033,0.82518,0.73268,0.86414,1.00142,0.82075,-0.19514
1195,4,3,making a little hut for insects,making little hut insects,Cup,cup,1.06136,1.04062,0.89796,0.96671,1.17096,1.02752,0.12281
1192,1,2,fill,fill,Cup,cup,0.79434,0.79246,0.9334,0.74382,0.81474,0.81575,-0.13514
1192,1,1,drink,drink,Cup,cup,0.51746,0.64113,0.83099,0.68732,0.74989,0.68536,-0.35451
1192,3,3,capture insect,capture insect,Cup,cup,0.8886,0.94747,0.89192,0.97675,1.12316,0.96558,0.00416
1192,2,3,store pencils/pens,store pencils pens,Cup,cup,0.86567,0.96873,0.94114,0.89473,1.06107,0.94627,-0.00959
1192,4,5,magnify audio  if glass,magnify audio glass,Cup,cup,0.96535,0.93744,0.95625,0.97838,1.10319,0.98812,0.05371
1192,3,4,make music,make music,Cup,cup,1.07677,0.97285,0.97549,1.01711,1.16512,1.04147,0.13592
1087,1,1,drink something from it,drink something,Cup,cup,1.00563,1.07542,0.97907,0.9777,1.21339,1.05024,0.12309
1087,2,3,hold pennies in it,hold pennies,Cup,cup,1.01079,1.0247,0.97421,1.02555,1.1556,1.03817,0.11496
1087,3,3,play games with it,play games,Cup,cup,0.98729,1.03893,0.95548,0.97349,1.05904,1.00285,0.08786
1087,2,2,spit in it,spit,Cup,cup,0.75679,0.86333,0.96053,0.8812,0.96633,0.88564,-0.09951
1087,4,4,use it as a hat,use hat,Cup,cup,0.93325,0.96813,1.09841,1.03665,1.16748,1.04078,0.08626
1087,2,3,paint something on it,paint something,Cup,cup,1.03176,0.91559,0.98502,1.04071,1.10166,1.01495,0.09828
1133,1,1,hold liquid,hold liquid,Cup,cup,1.01889,0.96771,0.96935,1.03554,1.09494,1.01729,0.10073
1133,3,3,hide something under,hide something,Cup,cup,0.95523,0.99438,1.00146,1.11681,1.07461,1.0285,0.09147
1133,3,3,trap a bug,trap bug,Cup,cup,0.99803,0.89921,0.97973,0.99226,1.06397,0.98664,0.06506
1133,4,5,hear the ocean up to your ear,hear ocean ear,Cup,cup,0.87136,0.8828,0.92133,1.02187,0.77815,0.8951,-0.03299
1133,4,2,catch something thrown,catch something thrown,Cup,cup,0.89206,0.91588,0.97584,1.01402,0.73781,0.90712,-0.00663
1133,3,3,as a plate,plate,Cup,cup,0.72887,0.80581,0.78133,0.66884,0.73646,0.74426,-0.21328
