id,novelty_1,novelty_2,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1094,1,1,build a structure,build structure,Brick,brick,1.04816,0.99066,1.0395,1.04503,1.11838,1.04835,0.09817
1094,3,2,throw and break a window,throw break window,Brick,brick,0.81308,0.96334,0.98875,0.95989,0.8006,0.90513,-0.00879
1094,3,3,use as a stepping stool,use stepping stool,Brick,brick,0.95635,0.88973,0.93905,0.91332,0.81483,0.90266,-0.02285
1094,4,4,drop a brick over a small fire to snuff it out,drop brick small fire snuff,Brick,brick,0.66796,1.00688,1.05756,1.09136,1.21151,1.00705,0.06749
1094,3,4,as a hammer,hammer,Brick,brick,0.72563,0.84975,0.7923,0.97131,0.89504,0.84681,-0.10577
1093,1,1,building,building,Brick,brick,0.60702,0.70089,0.54039,0.40187,0.40225,0.53048,-0.36378
1093,3,2,throwing,throwing,Brick,brick,0.76731,0.81881,0.93459,1.01815,0.84864,0.8775,-0.0513
1093,2,3,propping a door open,propping door open,Brick,brick,0.85863,0.963,0.96261,1.06453,1.14105,0.99796,0.03985
1093,1,1,paving in a sidewalk,paving sidewalk,Brick,brick,1.13007,1.04253,0.88947,0.91213,1.13592,1.02202,0.05103
1093,3,3,engraving,engraving,Brick,brick,0.99669,0.81319,0.83854,0.99083,0.79655,0.88716,-0.06442
1093,5,4,collecting,collecting,Brick,brick,0.91825,1.0145,0.96537,1.05133,0.94646,0.97918,0.03393
1093,4,4,cook with charcoal bricks,cook charcoal bricks,Brick,brick,0.83566,0.86116,0.86683,0.68971,0.74063,0.7988,-0.10474
1159,2,1,Build,build,Brick,brick,0.68043,0.81555,0.80979,0.70277,0.69889,0.74149,-0.16209
1159,3,3,weapon,weapon,Brick,brick,0.85011,0.96659,0.9662,1.03924,0.96281,0.95699,0.01624
1159,3,2,tool,tool,Brick,brick,0.90589,0.89268,0.9508,1.07559,0.85408,0.93581,-0.00474
1159,4,3,decoration,decoration,Brick,brick,0.854,0.8456,0.79746,0.904,0.65896,0.812,-0.121
1159,5,5,a way to communicate,way communicate,Brick,brick,0.97536,0.93326,0.8709,0.97514,1.13914,0.97876,0.00743
1195,2,2,to break a window,break window,Brick,brick,0.96992,0.9811,0.94302,0.99641,1.14205,1.0065,0.04566
1195,1,1,to build a house,build house,Brick,brick,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.03335
1195,3,3,to fix something,fix something,Brick,brick,1.00391,1.02345,1.0214,0.91939,1.10167,1.01396,0.07633
1195,3,3,to sit on,sit,Brick,brick,0.7834,0.99287,0.89576,1.071,0.82878,0.91436,-0.0296
1195,3,4,as sandpaper,sandpaper,Brick,brick,0.78588,0.80447,0.78287,0.98977,0.95244,0.86309,-0.09983
1195,3,3,to hit someone with,hit someone,Brick,brick,0.97299,0.98604,0.95454,1.00842,1.11241,1.00688,0.04898
1141,1,1,to build foundation/wall,build foundation wall,Brick,brick,0.79338,0.84843,0.97768,0.82603,0.82434,0.85397,-0.04695
1141,3,2,to throw at something,throw something,Brick,brick,0.93449,0.85396,0.93528,1.07218,1.07654,0.97449,0.01352
1141,3,2,to use as weapon,use weapon,Brick,brick,1.02496,0.92882,0.99053,1.10169,1.16228,1.04166,0.0754
1141,2,3,to prop up an item,prop item,Brick,brick,1.06399,1.00692,0.9739,0.95715,1.09696,1.01978,0.06695
1104,4,3,hiding a key,hiding key,Brick,brick,1.01813,1.02033,0.93973,0.94576,1.14636,1.01406,0.05432
1104,1,1,building,building,Brick,brick,0.60702,0.70089,0.54039,0.40187,0.40225,0.53048,-0.36378
1104,3,2,throwing through a window,throwing window,Brick,brick,1.02654,1.02775,1.03701,0.99374,1.19923,1.05685,0.10573
1104,3,3,weighing something down,weighing something,Brick,brick,1.00529,0.99196,0.984,0.93215,1.11694,1.00607,0.05944
1286,1,1,houses,houses,Brick,brick,0.69084,0.82263,0.6266,0.62176,0.43706,0.63978,-0.27023
1286,3,2,throwing at people,throwing people,Brick,brick,0.98414,0.94165,1.03234,0.99883,1.14837,1.02107,0.07618
1286,1,1,wall,wall,Brick,brick,0.49978,0.51635,0.5833,0.37912,0.58773,0.51326,-0.37608
1286,2,3,can prop stuff up,can prop stuff,Brick,brick,0.90141,1.00047,0.86127,0.91658,1.00466,0.93688,-0.0173
1205,2,3,PAPER WEIGHT,paper weight,Brick,brick,1.08063,0.92728,0.95949,1.00282,1.11712,1.01747,0.05626
1205,2,3,WHEEL WEDGE,wheel wedge,Brick,brick,1.08601,1.09635,1.04176,0.94189,0.98146,1.02949,0.09706
1205,2,3,DOOR STOP,door stop,Brick,brick,0.94383,0.88492,1.01083,1.05276,1.15782,1.01003,0.05791
1163,1,1,to build a house,build house,Brick,brick,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.03335
1163,3,2,to throw,throw,Brick,brick,0.73642,0.87254,0.9312,1.05915,0.90466,0.90079,-0.03657
1163,3,2,to use as a weight,use weight,Brick,brick,1.0955,0.94977,1.05847,0.96398,1.14299,1.04214,0.1003
1192,1,1,building material for house,building material house,Brick,brick,0.83337,0.94619,0.88773,1.13312,0.82004,0.92409,-0.02883
1192,3,3,can be used as a weapon,can used weapon,Brick,brick,0.89739,0.95292,0.953,0.93651,0.82046,0.91206,-0.01179
1192,4,3,can be used as material for a fire pit,can used material fire pit,Brick,brick,0.89519,0.97566,0.96665,0.97725,0.81198,0.92535,2.00E-04
1192,3,4,decorative item for gardens,decorative item gardens,Brick,brick,0.94558,0.98782,0.94897,0.95284,0.81989,0.93102,0.00168
1087,3,3,weapon,weapon,Brick,brick,0.85011,0.96659,0.9662,1.03924,0.96281,0.95699,0.01624
1087,1,1,for construction,construction,Brick,brick,0.66938,0.76774,0.68015,0.41014,0.59057,0.6236,-0.26427
1087,2,2,for a paper weight,paper weight,Brick,brick,1.08063,0.92728,0.95949,1.00282,1.11712,1.01747,0.05626
1087,3,4,for decoration,decoration,Brick,brick,0.854,0.8456,0.79746,0.904,0.65896,0.812,-0.121
1087,4,3,for a bug killer,bug killer,Brick,brick,0.9869,0.9877,0.99486,1.05638,1.10843,1.02685,0.07111
1087,5,4,for playing catch,playing catch,Brick,brick,1.04348,0.98999,0.92094,1.00864,1.06911,1.00643,0.04188
1176,1,2,landscaping,landscaping,Brick,brick,0.82314,0.71518,0.77332,0.69342,0.68003,0.73702,-0.17646
1176,1,1,building things,building things,Brick,brick,1.00823,1.01455,0.89778,0.9176,1.15768,0.99917,0.03423
1176,2,2,Breaking things,breaking things,Brick,brick,1.0404,0.94577,1.04158,0.94609,1.10108,1.01498,0.07795
1176,2,3,holding things,holding things,Brick,brick,1.04356,1.00264,0.91764,1.05508,1.11229,1.02624,0.05273
1258,1,1,to build building with,build building,Brick,brick,0.97293,0.92191,0.98465,0.9736,1.13039,0.9967,0.0478
1258,3,2,to throw,throw,Brick,brick,0.73642,0.87254,0.9312,1.05915,0.90466,0.90079,-0.03657
1258,2,2,to prop something up against,prop something,Brick,brick,1.06785,0.99975,1.08476,1.02528,1.04964,1.04546,0.10989
1258,1,1,to create a wall between two people,create wall two people,Brick,brick,1.03482,1.04261,0.95775,0.86387,1.18613,1.01704,0.0648
1186,2,2,smack,smack,Brick,brick,0.73397,0.87851,0.93508,0.9804,0.93794,0.89318,-0.03787
1186,1,1,building,building,Brick,brick,0.60702,0.70089,0.54039,0.40187,0.40225,0.53048,-0.36378
1186,3,1,home for mice,home mice,Brick,brick,1.05771,0.99617,1.05987,1.05443,1.09563,1.05276,0.10659
1186,4,4,container,container,Brick,brick,0.87301,0.93639,0.87841,1.09038,0.81023,0.91768,-0.03366
1186,4,3,secret slot,secret slot,Brick,brick,1.00134,0.96473,1.03842,1.11388,1.08773,1.04122,0.08896
1186,2,3,paperweight,paperweight,Brick,brick,0.77578,0.83424,0.78682,1.03976,0.88425,0.86417,-0.09795
1186,3,3,decoration,decoration,Brick,brick,0.854,0.8456,0.79746,0.904,0.65896,0.812,-0.121
1186,2,3,cooking,cooking,Brick,brick,0.86487,0.94059,0.88705,1.03012,0.83736,0.912,-0.03326
1186,2,3,brick cheese,brick cheese,Brick,brick,0.96501,1.11309,0.81216,0.96013,0.98189,0.96646,-0.00494
1174,1,1,make a house,make house,Brick,brick,1.07242,0.96499,0.99247,1.08304,1.15088,1.05276,0.08659
1174,3,2,smash someones head,smash someones head,Brick,brick,0.78065,0.88027,0.96189,0.9844,1.16553,0.95455,0.00818
1174,5,4,use as pillow,use pillow,Brick,brick,1.13579,0.88659,0.98932,0.94572,0.97622,0.98673,0.04574
1133,1,1,buildings,buildings,Brick,brick,0.68264,0.79491,0.58348,0.55441,0.42432,0.60795,-0.30127
1133,4,3,painting on the brick,painting brick,Brick,brick,1.09745,1.04681,1.06411,1.15292,0.93559,1.05938,0.11318
1133,3,2,throwing the brick,throwing brick,Brick,brick,0.99416,0.98924,0.91558,0.81058,1.17513,0.97694,0.02621
1133,3,3,using it to hammer something,using hammer something,Brick,brick,0.83244,0.93441,0.96655,1.06566,0.81662,0.92314,-0.00756
1133,2,3,using it to hold paper down,using hold paper,Brick,brick,0.9916,0.97383,0.94325,0.92323,0.84949,0.93628,0.00454
1133,2,3,using it to prop something,using prop something,Brick,brick,0.97825,0.96934,0.85197,1.09158,0.99634,0.9775,7.90E-04
1138,1,1,building a house,building house,Brick,brick,0.84918,1.03531,0.93432,0.96233,1.11167,0.97856,0.02715
1138,2,3,paperweight,paperweight,Brick,brick,0.77578,0.83424,0.78682,1.03976,0.88425,0.86417,-0.09795
1138,3,2,to attack someone,attack someone,Brick,brick,0.96362,0.90418,1.08706,0.92843,1.15147,1.00695,0.08105
1138,4,4,to be used in art,used art,Brick,brick,1.03728,1.01035,1.08091,1.04423,1.15604,1.06576,0.12072
1221,1,1,build a house,build house,Brick,brick,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.03335
1221,2,3,paperweight,paperweight,Brick,brick,0.77578,0.83424,0.78682,1.03976,0.88425,0.86417,-0.09795
1221,4,3,hate message to throw through a window,hate message throw window,Brick,brick,0.96283,1.137,0.94532,1.11189,1.19746,1.0709,0.09186
1221,3,4,toys,toys,Brick,brick,0.85396,0.929,0.94979,1.09746,0.90163,0.94637,0.00172
1221,2,4,cook on it if it gets hot enough in the sun,cook gets hot enough sun,Brick,brick,0.90799,1.02981,0.96896,1.08172,0.82497,0.96269,0.02456
1221,1,1,line a park's exterior border,line park exterior border,Brick,brick,0.9563,1.05215,1.00151,1.02724,1.16946,1.04133,0.08555
1194,1,1,build something,build something,Brick,brick,1.09015,0.93072,0.96991,0.85254,1.16053,1.00077,0.05314
1194,2,2,weigh papers down,weigh papers,Brick,brick,0.92924,1.05222,1.04003,1.048,1.07049,1.028,0.08627
1194,2,2,break something,break something,Brick,brick,0.96192,0.85327,1.04109,1.01906,1.12217,0.9995,0.05891
1194,3,3,use as a weight while working out,use weight working,Brick,brick,0.90326,0.9147,0.92926,0.92472,0.83706,0.9018,-0.02616
1147,1,1,to build a house,build house,Brick,brick,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.03335
1147,4,3,to stand on to be taller,stand taller,Brick,brick,1.02873,1.01869,1.01265,1.05954,1.01848,1.02762,0.07909
1147,2,3,to use as a paperweight,use paperweight,Brick,brick,1.01905,0.99233,0.98725,0.96061,0.86588,0.96502,0.03466
1147,3,1,to paint,paint,Brick,brick,0.74671,0.80619,0.75842,0.92713,0.66836,0.78136,-0.15585
1162,1,1,build house,build house,Brick,brick,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.03335
1162,2,2,smash a window,smash window,Brick,brick,1.00537,1.05338,1.06006,0.91341,1.14243,1.03493,0.10139
1162,2,2,use it as a weight,use weight,Brick,brick,1.0955,0.94977,1.05847,0.96398,1.14299,1.04214,0.1003
1102,1,1,building houses,building houses,Brick,brick,0.95598,1.00878,0.97058,0.93977,1.08309,0.99164,0.04654
1102,2,2,hitting,hitting,Brick,brick,0.69492,0.80027,0.83133,0.9433,0.84236,0.82244,-0.11343
1102,3,2,throwing,throwing,Brick,brick,0.76731,0.81881,0.93459,1.01815,0.84864,0.8775,-0.0513
1102,2,1,stacking,stacking,Brick,brick,0.8238,0.80642,0.90116,0.99103,0.88447,0.88138,-0.0563
1230,1,1,build a structure house,build structure house,Brick,brick,0.87825,0.96481,0.91732,1.0239,0.81444,0.91974,-0.01857
1230,1,1,steps,steps,Brick,brick,0.80825,0.9137,0.90664,0.95275,0.79018,0.8743,-0.05229
1230,4,5,create a small animal trap,create small animal trap,Brick,brick,1.11084,0.91417,0.97431,0.95182,1.19983,1.03019,0.06936
1230,2,2,a weapon,weapon,Brick,brick,0.85011,0.96659,0.9662,1.03924,0.96281,0.95699,0.01624
1230,2,3,a weight for holding something down or working out,weight holding something working,Brick,brick,1.04294,1.03357,1.02858,0.90874,1.15606,1.03398,0.09242
1123,1,3,stone,stone,Brick,brick,0.61223,0.72645,0.54191,0.63105,0.39184,0.5807,-0.33687
1129,1,1,build things,build things,Brick,brick,1.17607,0.99301,0.93622,0.91711,1.14607,1.0337,0.06869
1129,2,3,hold something such as a tarp down when it's windy,hold something tarp windy,Brick,brick,1.07258,0.9719,0.98793,1.01578,0.90552,0.99074,0.04939
1228,2,2,break a window,break window,Brick,brick,0.96992,0.9811,0.94302,0.99641,1.14205,1.0065,0.04566
1228,1,1,build a wall,build wall,Brick,brick,0.97859,0.9455,1.02955,1.02584,1.11625,1.01915,0.07363
1228,2,2,raise objects,raise objects,Brick,brick,1.00369,1.03458,1.03288,0.97041,1.12568,1.03345,0.09066
1228,2,2,use as a weapon,use weapon,Brick,brick,1.02496,0.92882,0.99053,1.10169,1.16228,1.04166,0.0754
1228,2,2,weigh down a,weigh,Brick,brick,0.91273,0.8911,0.90119,0.97289,0.95683,0.92695,-0.0205
1193,2,2,to break,break,Brick,brick,0.80909,0.92735,0.97246,0.95477,0.91749,0.91623,-0.00834
1193,2,2,to knock someone out,knock someone,Brick,brick,0.97563,0.97712,1.08411,0.88799,1.07728,1.00043,0.08192
1193,1,1,to build,build,Brick,brick,0.68043,0.81555,0.80979,0.70277,0.69889,0.74149,-0.16209
1193,2,2,to stand on,stand,Brick,brick,0.80287,0.96906,0.88517,0.94966,0.7819,0.87773,-0.05265
1193,4,3,to use as a writing surface,use writing surface,Brick,brick,0.88809,0.99024,0.89736,1.05147,0.89252,0.94394,-0.00792
1193,4,3,to scrape against something,scrape something,Brick,brick,1.04917,1.04958,1.06333,0.91447,0.88769,0.99285,0.07722
1193,2,2,to use as a weight,use weight,Brick,brick,1.0955,0.94977,1.05847,0.96398,1.14299,1.04214,0.1003
1180,1,1,wall,wall,Brick,brick,0.49978,0.51635,0.5833,0.37912,0.58773,0.51326,-0.37608
1180,1,1,lay down bricks,lay bricks,Brick,brick,1.12172,0.97427,0.94426,1.07753,1.05873,1.0353,0.06508
1180,2,2,hold down an object that will blow away,hold object will blow away,Brick,brick,0.96499,1.02074,0.99615,0.89392,0.81223,0.93761,0.02217
1180,3,2,throw a brick at something,throw brick something,Brick,brick,0.55112,0.91901,0.84706,1.04349,0.76874,0.82588,-0.1065
1180,1,1,build a house,build house,Brick,brick,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.03335
1209,1,1,wall,wall,Brick,brick,0.49978,0.51635,0.5833,0.37912,0.58773,0.51326,-0.37608
1209,1,1,house,house,Brick,brick,0.65988,0.82071,0.69071,0.85592,0.63317,0.73208,-0.20356
1209,3,2,throwing at people in old times,throwing people old times,Brick,brick,0.97215,1.02216,1.04699,0.93667,1.18497,1.03259,0.0932
1209,2,3,fire pits,fire pits,Brick,brick,0.98866,0.95815,1.09072,1.03273,1.12264,1.03858,0.10256
1209,2,1,driveways,driveways,Brick,brick,0.74908,0.7215,0.68946,0.82609,0.71781,0.74079,-0.20129
1226,2,2,to smash a window,smash window,Brick,brick,1.00537,1.05338,1.06006,0.91341,1.14243,1.03493,0.10139
1226,1,1,to build a house,build house,Brick,brick,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.03335
1226,1,1,to build a wall,build wall,Brick,brick,0.97859,0.9455,1.02955,1.02584,1.11625,1.01915,0.07363
