id,novelty_1,novelty_2,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1094,1,1,to open a door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04212
1094,3,3,to scratch something into the sidewalk,scratch something sidewalk,Key,key,1.0226,0.96624,1.03,1.13652,0.71791,0.97465,0.06074
1094,3,4,use to separate two things that are stuck together,use separate two things stuck together,Key,key,0.98782,0.97968,0.99077,0.96344,1.33179,1.0507,0.0412
1094,3,3,scratch an itch,scratch itch,Key,key,0.92134,1.05422,0.94818,0.9073,0.96332,0.95887,-9.60E-04
1093,1,1,unlocking,unlocking,Key,key,0.58123,0.55512,0.74388,0.86419,0.75956,0.7008,-0.33545
1093,1,1,locking,locking,Key,key,0.64657,0.69607,0.82316,0.87099,0.84131,0.77562,-0.24801
1093,5,3,hiding,hiding,Key,key,0.69076,0.8064,0.84593,0.95165,0.83761,0.82647,-0.18795
1093,4,5,discovering,discovering,Key,key,0.77019,0.86015,0.87886,0.97857,0.83939,0.86543,-0.12863
1093,1,2,starting a car,starting car,Key,key,0.96883,1.11883,0.97603,0.97372,1.29952,1.06739,0.06166
1093,1,2,turning off a car,turning car,Key,key,0.99751,1.09845,1.02951,0.91709,1.33149,1.07481,0.07936
1093,3,5,music,music,Key,key,0.83154,0.94839,0.95753,0.90333,0.85143,0.89844,-0.06673
1093,3,4,put on a chain,put chain,Key,key,0.957,1.00875,0.98558,1.00074,1.32211,1.05484,0.03685
1093,2,5,jangling,jangling,Key,key,0.75067,0.68192,0.87512,1.03892,0.95531,0.86039,-0.16976
1159,1,1,open doors,open doors,Key,key,0.93745,1.04888,1.07998,1.03097,1.29673,1.0788,0.06653
1159,3,4,jewelry,jewelry,Key,key,0.7568,0.84099,0.98246,0.96132,0.92771,0.89386,-0.10874
1159,3,4,decoration,decoration,Key,key,0.93845,0.88005,0.95936,1.04825,1.00878,0.96698,-0.01498
1195,1,1,unlock door,unlock door,Key,key,0.97084,1.01924,1.03137,0.99621,1.18833,1.0412,0.05292
1195,2,3,cut something,cut something,Key,key,1.01791,0.98149,1.04075,1.05736,1.35588,1.09068,0.07948
1195,4,5,melt into metal,melt metal,Key,key,0.90916,1.00212,1.0659,1.10329,1.11765,1.03962,0.0406
1195,5,4,dip in paint and paint something,dip paint paint something,Key,key,0.96131,0.94295,0.99238,0.89684,1.38109,1.03491,0.01613
1195,4,5,decorate and give as a gift,decorate give gift,Key,key,0.87039,0.81403,1.07111,1.09996,0.79631,0.93036,-0.03095
1195,3,4,use as a screwdriver,use screwdriver,Key,key,0.93573,1.11863,1.04794,0.95622,0.84729,0.98116,0.04947
1141,1,1,to open a door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04212
1141,1,2,to open an envelope,open envelope,Key,key,0.97259,1.06162,1.03019,0.9305,1.25654,1.05029,0.05879
1141,2,4,to dislodge items/objects from cracks,dislodge items objects cracks,Key,key,1.03641,0.92376,1.03233,1.1297,0.99418,1.02328,0.06641
1141,3,3,to scratch surface on a car or scratch card,scratch surface car scratch card,Key,key,0.90275,1.01206,0.95284,1.05679,0.63286,0.91146,-0.01351
1141,3,3,to attack someone,attack someone,Key,key,0.93769,1.04355,1.05165,0.98019,1.36409,1.07543,0.05445
1104,1,1,unlocking,unlocking,Key,key,0.58123,0.55512,0.74388,0.86419,0.75956,0.7008,-0.33545
1104,3,3,self defense,self defense,Key,key,0.90444,1.11954,1.00879,0.97466,1.25756,1.053,0.04163
1104,3,3,scratching something,scratching something,Key,key,0.98008,0.96545,1.01367,1.02378,0.92501,0.9816,0.03289
1286,1,1,open a house,open house,Key,key,0.87848,1.07399,1.02832,0.99546,1.26341,1.04793,0.02747
1286,3,3,use it as a knife,use knife,Key,key,0.99422,1.03864,1.0517,0.95012,1.37315,1.08157,0.07498
1286,3,3,decoration,decoration,Key,key,0.93845,0.88005,0.95936,1.04825,1.00878,0.96698,-0.01498
1205,3,3,PIECE OF jewelry,piece of jewelry,Key,key,0.89829,1.09579,0.90347,0.99295,0.59468,0.89704,-0.01758
1205,2,3,USE TO CUT STRING,use to cut string,Key,key,1.04411,0.88832,1.00277,0.9046,1.36054,1.04007,0.04218
1205,2,5,OPEN A SODA CAN,open soda can,Key,key,0.89547,0.96473,1.00759,0.98955,0.67338,0.90614,-0.01827
1205,3,3,SCRATCH AN ITCH,scratch an itch,Key,key,1.00208,0.92979,0.96963,1.03651,0.95354,0.97831,0.02407
1163,1,1,open door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04212
1163,1,1,open car,open car,Key,key,0.94242,1.04073,0.97867,1.05253,1.2726,1.05739,0.0399
1163,1,1,open safe,open safe,Key,key,0.93971,1.03102,1.05968,0.93231,1.33838,1.06022,0.04861
1163,1,1,open lock,open lock,Key,key,0.98004,0.97918,1.01782,1.05755,1.13969,1.03486,0.04846
1192,1,1,open door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04212
1192,1,2,open a package,open package,Key,key,1.06608,0.95576,0.96769,1.06026,1.31037,1.07203,0.07261
1192,3,3,self defense,self defense,Key,key,0.90444,1.11954,1.00879,0.97466,1.25756,1.053,0.04163
1087,1,1,open door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04212
1087,3,3,scratch grey stuff on a new gift card,scratch grey stuff new gift card,Key,key,0.92278,1.09929,0.94767,1.00123,1.31602,1.0574,0.03263
1087,2,3,cut a string,cut string,Key,key,1.03898,0.98931,0.96331,0.918,1.29219,1.04036,0.05179
1087,3,3,necklace pendant,necklace pendant,Key,key,0.97759,1.13296,1.02663,1.02136,0.85232,1.00217,0.07217
1176,1,1,unlock things,unlock things,Key,key,1.07288,0.99364,1.12976,0.94477,1.23652,1.07551,0.11491
1176,2,3,cut open things,cut open things,Key,key,0.88163,1.02368,0.94576,1.10497,0.57116,0.90544,-0.01898
1176,3,3,decoration art,decoration art,Key,key,1.0023,0.97633,1.00247,0.95128,1.23571,1.03362,0.04527
1258,1,1,used to unlock doors,used unlock doors,Key,key,0.88014,0.80609,0.96789,1.0009,0.60421,0.85185,-0.07474
1258,5,5,associate this with the flying keys from harry potter,associate flying keys harry potter,Key,key,0.95157,1.1254,1.0221,1.10497,0.70675,0.98216,0.06155
1258,3,3,a key can be tied around a necklace,key can tied around necklace,Key,key,0.84777,0.94751,0.90471,0.9485,0.59343,0.84838,-0.07898
