id,novelty_1,novelty_2,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1159,1,1,to write with,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1159,3,2,to point to things with,point things,Pencil,pencil,0.91529,1.03075,1.01425,1.01055,1.05013,1.00419,0.12331
1159,3,2,thing to throw,thing throw,Pencil,pencil,0.87097,0.99875,1.07563,0.94975,0.97495,0.97401,0.0991
1159,1,2,thing to erase marks with,thing erase marks,Pencil,pencil,0.94492,0.93798,0.95913,1.13652,0.91122,0.97795,0.06352
1159,4,3,thing to measure with,thing measure,Pencil,pencil,1.01733,1.03663,0.93835,0.95618,1.0813,1.00596,0.13694
1104,1,1,writing/drawing,writing drawing,Pencil,pencil,1.07793,1.05892,0.90221,0.96318,1.12608,1.02566,0.16061
1104,3,3,twirling between fingers,twirling fingers,Pencil,pencil,0.95114,0.96979,1.00262,0.89134,1.04208,0.97139,0.10993
1104,4,3,straight edge,straight edge,Pencil,pencil,1.01255,1.01305,0.98631,0.98543,0.9581,0.99109,0.11255
1104,2,3,poking,poking,Pencil,pencil,0.8107,0.82697,0.83134,1.01846,0.72652,0.8428,-0.09251
1104,3,3,tapping,tapping,Pencil,pencil,0.86348,0.80884,0.83571,0.99276,0.85491,0.87114,-0.04556
1093,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1093,3,3,tapping,tapping,Pencil,pencil,0.86348,0.80884,0.83571,0.99276,0.85491,0.87114,-0.04556
1093,1,2,erasing,erasing,Pencil,pencil,0.7737,0.79703,0.83385,0.85561,0.86551,0.82514,-0.07753
1093,3,3,breaking,breaking,Pencil,pencil,0.94579,0.98364,1.03946,1.06641,0.98474,1.00401,0.11448
1093,3,3,chewing,chewing,Pencil,pencil,0.73759,0.87253,0.85354,0.98942,0.75936,0.84249,-0.08965
1093,2,3,opening a letter,opening letter,Pencil,pencil,1.14143,0.90176,0.87656,0.97492,1.04316,0.98757,0.11646
1141,1,1,to write/draw,write draw,Pencil,pencil,1.0158,1.02467,1.04182,0.98658,1.09489,1.03275,0.1704
1141,2,3,to poke holes,poke holes,Pencil,pencil,1.01587,1.0436,1.01291,0.94641,1.10415,1.02459,0.16631
1141,4,3,to keep a bun in place,keep bun place,Pencil,pencil,0.84685,0.97184,0.98633,1.0472,1.03266,0.97698,0.08007
1141,2,3,to stab,stab,Pencil,pencil,0.76732,0.84259,0.86454,1.0762,0.88356,0.88684,-0.04576
1141,1,2,to erase something,erase something,Pencil,pencil,0.96082,1.12866,1.00608,1.00803,1.08652,1.03802,0.16388
1141,5,4,to use as a stick or building block,use stick building block,Pencil,pencil,0.96754,1.06844,1.03595,0.95634,1.06391,1.01844,0.15388
1141,4,3,to twirl in fingers for entertainment,twirl fingers entertainment,Pencil,pencil,0.92232,0.96799,0.94874,1.01076,1.13311,0.99658,0.11558
1176,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1176,3,3,stabbing a bug,stabbing bug,Pencil,pencil,0.84696,0.96189,1.01726,0.97593,1.06863,0.97413,0.09408
1176,4,3,making a decoration,making decoration,Pencil,pencil,0.99593,0.91337,0.98525,1.03146,1.05206,0.99561,0.11504
1286,1,1,writing,writing,Pencil,pencil,0.61653,0.66458,0.70338,0.88821,0.74424,0.72339,-0.22101
1286,2,3,stabbing,stabbing,Pencil,pencil,0.85071,0.88371,0.89352,1.05575,0.9331,0.92336,0.00801
1286,4,4,structural foundation,structural foundation,Pencil,pencil,1.01857,1.09364,0.9063,1.07421,1.10301,1.03915,0.15065
1258,1,1,write down answers,write answers,Pencil,pencil,1.01411,0.99496,0.94483,1.08899,1.08464,1.02551,0.13637
1258,4,3,keep a place in a textbook,keep place textbook,Pencil,pencil,0.87382,0.92445,0.95631,0.91605,0.95101,0.92433,0.04053
1258,3,3,to put behind your ear,put behind ear,Pencil,pencil,0.92227,1.00481,1.06468,0.91566,0.87672,0.95683,0.08307
1258,3,3,to chew the eraser,chew eraser,Pencil,pencil,1.06364,1.06796,1.02832,1.01006,0.93903,1.0218,0.14696
1258,5,3,to borrow all the time,borrow time,Pencil,pencil,0.94865,0.94867,0.95722,0.97772,1.06738,0.97993,0.10208
1221,1,1,write,write,Pencil,pencil,0.623,0.68548,0.75387,0.82991,0.76592,0.73164,-0.19629
1221,1,1,draw,draw,Pencil,pencil,0.61407,0.76352,0.73195,0.38514,0.79112,0.65716,-0.20267
1221,3,3,throw at the ceiling,throw ceiling,Pencil,pencil,1.08373,1.09351,1.02528,1.00721,1.04231,1.05041,0.18539
1221,1,2,erase,erase,Pencil,pencil,0.75435,0.83367,0.79557,0.90237,0.83141,0.82347,-0.09439
1221,3,3,chew on,chew,Pencil,pencil,0.74243,0.91,0.84835,0.92767,0.83092,0.85187,-0.0652
1221,4,3,break to let out aggression,break let aggression,Pencil,pencil,1.0506,0.94635,0.92353,0.88392,0.91489,0.94386,0.07429
