id,novelty_1,novelty_2,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1094,1,1,to climb with,climb,Rope,rope,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,-0.28333
1094,2,3,to hang things,hang things,Rope,rope,1.06316,1.04354,0.97047,0.98586,1.10792,1.03419,0.17006
1094,3,3,as a decoration,decoration,Rope,rope,0.88733,0.95334,0.88736,1.00763,0.88772,0.92468,0.0207
1094,4,3,to make unique designs with,make unique designs,Rope,rope,0.974,0.90674,1.04841,1.0386,0.88666,0.97088,0.08675
1094,1,2,to tie different knots,tie different knots,Rope,rope,0.88316,0.94245,1.00882,0.91205,0.96189,0.94167,0.06728
1093,1,2,tying,tying,Rope,rope,0.55332,0.60753,0.70139,0.88345,0.68301,0.68574,-0.26046
1093,3,2,strangling,strangling,Rope,rope,0.75183,0.68607,0.74526,1.04881,0.85181,0.81676,-0.11668
1093,2,2,dangling,dangling,Rope,rope,0.53652,0.6413,0.64232,0.73285,0.50062,0.61072,-0.34252
1093,2,2,loosening,loosening,Rope,rope,0.75619,0.7826,0.7344,0.77427,0.84373,0.77824,-0.12828
1093,2,3,jumping,jumping,Rope,rope,0.64873,0.72521,0.68915,0.56684,0.55123,0.63623,-0.28383
1093,2,3,shaking,shaking,Rope,rope,0.79124,0.89778,0.84147,0.93716,0.80317,0.85416,-0.05986
1093,2,1,pulling,pulling,Rope,rope,0.69754,0.81565,0.72677,0.64199,0.60127,0.69664,-0.22071
1159,1,1,climb,climb,Rope,rope,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,-0.28333
1159,3,4,travel,travel,Rope,rope,0.96111,1.04832,0.9802,1.04357,0.94342,0.99532,0.10625
1159,2,1,use to jump off something with,use jump something,Rope,rope,0.75353,0.87618,0.96853,0.99522,0.87414,0.89352,-0.0088
1159,2,1,connect things,connect things,Rope,rope,1.02112,1.04459,0.98037,0.92661,1.07248,1.00903,0.1468
1159,3,3,use for a workout,use workout,Rope,rope,1.02538,1.05244,1.00655,1.04674,1.10157,1.04654,0.17709
1159,3,3,use to wrap presents,use wrap presents,Rope,rope,0.98597,0.93423,0.94061,1.03032,0.90467,0.95916,0.06606
1159,3,3,decorative,decorative,Rope,rope,0.87709,0.92443,0.88069,1.04079,0.78079,0.90076,-0.01687
1159,1,2,tie knots,tie knots,Rope,rope,0.91629,1.04631,0.9431,0.96013,1.06317,0.9858,0.10887
1159,1,3,hold things together,hold things together,Rope,rope,0.76367,0.97092,0.88031,0.99267,0.86263,0.89404,-0.01869
1195,1,2,tie a boat to a dock,tie boat dock,Rope,rope,0.76683,0.84691,0.87332,0.84501,0.81383,0.82918,-0.07179
1195,3,3,use it for working out,use working,Rope,rope,0.96186,1.02152,0.96677,0.96107,1.11669,1.00558,0.13852
1195,1,2,for tying a knot,tying knot,Rope,rope,0.90409,0.96919,0.96315,1.01425,1.02672,0.97548,0.09172
1195,2,1,to swing,swing,Rope,rope,0.62637,0.83023,0.75626,0.65175,0.74018,0.72096,-0.18685
1141,3,2,to exercise,exercise,Rope,rope,0.83136,0.8672,0.93012,0.79905,0.83269,0.85208,-0.03245
1141,1,2,to tie objects together,tie objects together,Rope,rope,0.8158,0.93669,0.92769,0.91513,0.85407,0.88988,-0.00681
1141,2,1,to hang objects,hang objects,Rope,rope,0.97055,0.95467,1.0179,0.86422,1.1931,1.00009,0.15628
1141,2,2,to use in a pulley,use pulley,Rope,rope,0.83912,0.98747,1.06356,0.9406,0.90289,0.94673,0.0675
1141,2,2,to drag objects,drag objects,Rope,rope,1.03802,1.06089,0.97784,1.03192,1.12895,1.04752,0.17948
1141,2,2,to secure objects to a surface,secure objects surface,Rope,rope,0.97751,0.89536,0.94738,1.05172,0.89987,0.95437,0.05908
1141,3,4,to attack someone/use as weapon,attack someone use weapon,Rope,rope,0.90308,1.06735,1.07225,0.96424,1.12018,1.02542,0.16617
1104,1,2,tying things together,tying things together,Rope,rope,0.81603,0.94763,0.92242,0.94501,0.84277,0.89477,-0.00667
1104,3,3,working out,working,Rope,rope,0.86003,0.96613,0.96403,1.0032,0.88616,0.93591,0.03903
1104,2,1,swinging,swinging,Rope,rope,0.61194,0.77606,0.71817,0.7712,0.63209,0.70189,-0.23238
1104,3,3,acting as a barrier,acting barrier,Rope,rope,0.92537,1.05449,0.96561,1.07849,1.01429,1.00765,0.11704
1286,1,1,to climb,climb,Rope,rope,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,-0.28333
1286,1,2,to tie something up,tie something,Rope,rope,1.04944,1.06148,0.90772,0.90557,0.99484,0.98381,0.11087
1286,3,4,a belt,belt,Rope,rope,0.64283,0.76162,0.79092,0.83192,0.68721,0.7429,-0.18324
1286,3,2,use it as a boarder,use boarder,Rope,rope,0.97607,1.07136,0.97996,0.99496,0.9728,0.99903,0.1183
1205,2,3,JUMP ROPE,jump rope,Rope,rope,1.0028,0.874,0.9195,0.98699,1.0154,0.95974,0.07957
