id,item,response
1094,Box,to store things
1094,Box,to build a fort
1094,Box,as an umbrella
1094,Box,to catch a bunny
1093,Box,standing on
1093,Box,putting items in
1093,Box,opening
1093,Box,closing
1093,Box,cutting
1093,Box,make a dollhouse
1093,Box,fill
1093,Box,sleep in
1159,Box,Put things in
1159,Box,sit in
1159,Box,play with
1159,Box,break apart for other uses
1159,Box,delivery things in
1159,Box,wrap
1195,Box,store something
1195,Box,stand on top of
1195,Box,sit on
1195,Box,sit in
1195,Box,use it to make art
1141,Box,to store items
1141,Box,to prop something up
1141,Box,to stand on
1141,Box,to live in
1141,Box,to use for boxcars
1104,Box,storing
1104,Box,building
1286,Box,can live in it
1286,Box,can store stuff in it
1286,Box,can use it as a trash
1205,Box,SPACE SHIP
1205,Box,HIDING SPOT
1205,Box,FIRE STARTER
1205,Box,WRITE STUFF ON
1205,Box,PUNCHING BAG
1205,Box,DRUM
1163,Box,to store
1163,Box,to hide
1163,Box,to organize
1163,Box,to ship
1192,Box,store items
1192,Box,stand on it
1192,Box,can be decorative
1087,Box,storage
1087,Box,home for ducks
1087,Box,piggy bank
1087,Box,playpen for children
1176,Box,storage
1176,Box,make a decoration
1176,Box,make a costume
1176,Box,trash bin
1258,Box,To hold stuff
1258,Box,cardboard
1258,Box,to package
1258,Box,to stand on to reach something
1258,Box,something new comes in it
1258,Box,shape of
1186,Box,container
1186,Box,cardboard
1186,Box,fort
1186,Box,carrying case for cat
1186,Box,timeout place
1186,Box,bed
1186,Box,conceal something underneath
1186,Box,jail
1186,Box,diara
1174,Box,put something inside it
1174,Box,put over someones head
1174,Box,h
1133,Box,Put stuff inside
1133,Box,make a fort
1133,Box,put stuff on top
1133,Box,hide inside the box
1133,Box,let your cat use it
1133,Box,carry stuff
1133,Box,bowl
1133,Box,present
1133,Box,make a
1138,Box,storing items
1138,Box,bed for a pet
1138,Box,to be worn as a hat
1138,Box,container for selling something
1138,Box,school project
1221,Box,things are packaged in it
1221,Box,childhood playtime with boxes
1221,Box,functional permanent storage
1221,Box,hide things
1221,Box,build things
1194,Box,hold items
1194,Box,weigh something down
1194,Box,a toy for kids
1194,Box,tear it up and create something
1194,Box,u
1147,Box,carrying books
1147,Box,making a play house
1147,Box,halloween costume
1147,Box,making a die
1147,Box,standing on top of it
1162,Box,hide in
1162,Box,store something
1162,Box,use it as a stool
1102,Box,storage
1102,Box,packing
1102,Box,cardboard robots
1102,Box,decorating
1102,Box,recycling
1102,Box,thinking outside of it
1102,Box,presents
1230,Box,ship something
1230,Box,store something
1230,Box,use it as a step-stool
1230,Box,break-dance on it
1230,Box,use it as a table
1123,Box,cardboard
1123,Box,shipping
1123,Box,mail
1123,Box,ring
1123,Box,brown
1123,Box,cable
1129,Box,hold things
1129,Box,use as a stool
1228,Box,build a fort
1228,Box,store things
1228,Box,stack things
1228,Box,burn
1228,Box,hide in
1228,Box,make an animal bed
1193,Box,To hold items
1193,Box,to build a fort
1193,Box,to use as a sail
1193,Box,to capture someone/something
1193,Box,to hide in
1193,Box,to rip up and burn
1193,Box,to break your fall
1180,Box,storage
1180,Box,stool
1180,Box,chair
1180,Box,send
1180,Box,hold an animal
1209,Box,building a fort
1209,Box,shipping packages
1209,Box,storage
1209,Box,halloween costume
1209,Box,presents
1209,Box,arts and crafts
1209,Box,packaging food and other items
1226,Box,holding groceries
1226,Box,a fort
1226,Box,for lighting a fire
1226,Box,as a hat
