id,item,response
1159,Chair,to sit in
1159,Chair,to stand on top of
1159,Chair,to make a piece of art
1159,Chair,to decorate
1159,Chair,to play with
1104,Chair,sitting on
1104,Chair,weighing something down
1104,Chair,building a fort
1093,Chair,sitting
1093,Chair,standing
1093,Chair,propping a door open
1093,Chair,breaking
1093,Chair,building
1141,Chair,to sit on
1141,Chair,to stand on to reach a higher place
1141,Chair,to prop an item on
1141,Chair,to hold something up like a box
1141,Chair,to use as a weapon
1141,Chair,to prop up against  door to keep it closed
1176,Chair,sitting
1176,Chair,reaching high places
1176,Chair,hitting something
1176,Chair,musical chairs
1286,Chair,sitting
1286,Chair,putting clothes on
1286,Chair,stepping stool
1286,Chair,sleeping
1258,Chair,to sit on at the desk
1258,Chair,to stand on when something is high up
1258,Chair,to use as a throne at the dinner table
1258,Chair,to swive
1221,Chair,sit in
1221,Chair,play on
1221,Chair,sleep on
1221,Chair,dog bed
1221,Chair,wheelchair for people who cannot walk
1205,Chair,step stool
1205,Chair,work out bench
1205,Chair,fire wood
1205,Chair,back cracker
1138,Chair,sitting
1138,Chair,using to elevate your height
1138,Chair,using to keep a door closed
1138,Chair,using to create a fort
1138,Chair,using as a weapon
1186,Chair,sit
1186,Chair,standing to get higher
1186,Chair,hit someone with
1186,Chair,legs can stake someone
1186,Chair,bed if it's big enough
1186,Chair,holds things
1186,Chair,receiver of spilled fo
1147,Chair,sitting
1147,Chair,making a fort
1147,Chair,standing on top of
1094,Chair,to sit in
1094,Chair,to play musical chairs
1094,Chair,to dance with
1094,Chair,to furnish a room with
1162,Chair,sit on it
1162,Chair,use it as a stool
1162,Chair,put things on it for storage
1102,Chair,sitting
1102,Chair,throwing at people
1102,Chair,sleeping
1102,Chair,dancing prop
1102,Chair,bobsled/chariot
1102,Chair,barricade
1174,Chair,sit on it
1174,Chair,stepping
1180,Chair,sit
1180,Chair,decor
1180,Chair,hold a door open
1180,Chair,place at a table
1180,Chair,use
1193,Chair,to sit in
1193,Chair,to stand on
1193,Chair,to smash something else
1193,Chair,to act as a weight
1209,Chair,sitting
1209,Chair,rocking
1209,Chair,standing on to reach high objects
1123,Chair,sitting
1123,Chair,standing
1123,Chair,decoration
1123,Chair,guests
1123,Chair,artwork
1123,Chair,gift
1123,Chair,prop
1123,Chair,studying
1123,Chair,dining
1123,Chair,lounging
1228,Chair,sit on
1228,Chair,stand on
1228,Chair,break a window
1228,Chair,hold a door closed
1228,Chair,tie something too
1228,Chair,sleep in
1195,Chair,sitting
1195,Chair,throwing around
1195,Chair,standing on
1195,Chair,burning for heat
1195,Chair,giving as a present
1195,Chair,making use of a
1192,Chair,sit
1192,Chair,stand on to reach an object
1192,Chair,decoration
1192,Chair,place objects on it
1087,Chair,to sit on
1087,Chair,to decorate the house
1087,Chair,to hold books
1087,Chair,build a fort with chairs
1087,Chair,a weapon
1087,Chair,use its legs to make firewood
1133,Chair,sit
1133,Chair,stand to get taller
1133,Chair,throw at something
1133,Chair,block a doorway
1133,Chair,hold a blanket in a blanket fort
1133,Chair,hide under
1133,Chair,pu
1230,Chair,sit on it
1230,Chair,stand on it
1230,Chair,use it as a table
1230,Chair,use it to support other things
1129,Chair,sit on
1129,Chair,stand on to reach things
1163,Chair,to sit
1194,Chair,to sit on
1194,Chair,to stand on top of
1194,Chair,to break through a door or window
1194,Chair,to protect yourself
1194,Chair,to stack things on top of
1194,Chair,to swivel around on
1194,Chair,for a game
1226,Chair,to sit on
1226,Chair,to use as a table
