id,item,response
1159,Cup,drink things out of
1159,Cup,to trap bugs in
1159,Cup,to stack with
1159,Cup,to put food in
1159,Cup,to play games with
1159,Cup,to transport things in
1159,Cup,to roll around
1159,Cup,to use as a decoration
1104,Cup,measuring liquids
1104,Cup,drinking from
1104,Cup,creating a rhythm
1104,Cup,drawing a circle
1104,Cup,holding pencils
1093,Cup,drinking
1093,Cup,spilling
1093,Cup,placing pens
1093,Cup,breaking
1093,Cup,measuring
1141,Cup,to store a liquid
1141,Cup,to drink from
1141,Cup,to pour a liquid onto something
1141,Cup,to use as a weapon
1141,Cup,to use as a stand/infrastructure
1141,Cup,to mix liquids inside
1141,Cup,to trap a bug or mouse
1176,Cup,drinking
1176,Cup,trapping things
1176,Cup,holding items
1176,Cup,cup pyramid
1286,Cup,drinking
1286,Cup,pong
1286,Cup,cup stacking
1286,Cup,soup
1286,Cup,store food
1258,Cup,to drink out of
1258,Cup,put food in when out of bowls
1258,Cup,to play games with
1221,Cup,drink
1221,Cup,mix inside
1221,Cup,bake a mug cake
1221,Cup,build sand castles
1221,Cup,play different cup games
1205,Cup,plant holder
1205,Cup,drum
1205,Cup,prism
1138,Cup,putting liquids in
1138,Cup,to trap a bug
1138,Cup,to cook muffins or cupcakes in
1138,Cup,to put around your ears
1138,Cup,to catch something
1186,Cup,drink holder
1186,Cup,hide something under
1186,Cup,table for mice
1186,Cup,home for tiny kitten
1186,Cup,shards for a knife
1186,Cup,hat
1186,Cup,decoration
1186,Cup,gift
1147,Cup,holding a drink
1147,Cup,making music
1147,Cup,playing cup pong
1147,Cup,stacking
1147,Cup,making a conveyor belt
1147,Cup,a hat
1147,Cup,use for kids' arts and crafts
1094,Cup,to store liquid
1094,Cup,to drink from
1094,Cup,to trap a bug
1094,Cup,to measure things
1094,Cup,to cook things in
1162,Cup,drink/eat from it
1162,Cup,use it as storage
1162,Cup,use it as decoration
1162,Cup,baseball gear
1102,Cup,drinking
1102,Cup,making music
1102,Cup,eating cereal/snacks
1102,Cup,party hat
1102,Cup,telephone
1174,Cup,drink from it
1174,Cup,stack them
1174,Cup,position them as bowling pins
1180,Cup,drink
1180,Cup,hold
1180,Cup,put food in
1180,Cup,scoop water
1180,Cup,pour drink
1180,Cup,wash
1193,Cup,to hold liquid
1193,Cup,to use as a weight
1193,Cup,to capture a bug
1193,Cup,to speak into and alter your voice
