id,item,response,rating,creativity
1094,Key,to open a door,1,1
1094,Key,to scratch something into the sidewalk,3,3
1094,Key,use to separate two things that are stuck together,3,4
1094,Key,scratch an itch,3,3
1093,Key,unlocking,1,1
1093,Key,locking,1,1
1093,Key,hiding,5,3
1093,Key,discovering,4,5
1093,Key,starting a car,1,2
1093,Key,turning off a car,1,2
1093,Key,music,3,5
1093,Key,put on a chain,3,4
1093,Key,jangling,2,5
1159,Key,open doors,1,1
1159,Key,jewelry,3,4
1159,Key,decoration,3,4
1195,Key,unlock door,1,1
1195,Key,cut something,2,3
1195,Key,melt into metal,4,5
1195,Key,dip in paint and paint something,5,4
1195,Key,decorate and give as a gift,4,5
1195,Key,use as a screwdriver,3,4
1141,Key,to open a door,1,1
1141,Key,to open an envelope,1,2
1141,Key,to dislodge items/objects from cracks,2,4
1141,Key,to scratch surface (on a car or scratch card),3,3
1141,Key,to attack someone,3,3
1104,Key,unlocking,1,1
1104,Key,self defense,3,3
1104,Key,scratching something,3,3
1286,Key,open a house,1,1
1286,Key,use it as a knife,3,3
1286,Key,decoration,3,3
1205,Key,PIECE OF jewelry,3,3
1205,Key,USE TO CUT STRING,2,3
1205,Key,OPEN A SODA CAN,2,5
1205,Key,SCRATCH AN ITCH,3,3
1163,Key,open door,1,1
1163,Key,open car,1,1
1163,Key,open safe,1,1
1163,Key,open lock,1,1
1192,Key,open door,1,1
1192,Key,open a package,1,2
1192,Key,self defense,3,3
1087,Key,open door,1,1
1087,Key,scratch grey stuff on a new gift card,3,3
1087,Key,cut a string,2,3
1087,Key,necklace pendant,3,3
1176,Key,unlock things,1,1
1176,Key,cut open things,2,3
1176,Key,decoration art,3,3
1258,Key,used to unlock doors,1,1
1258,Key,associate this with the flying keys from harry potter,5,5
1258,Key,a key can be tied around a necklace,3,3
1258,Key,key to a diary,1,4
1258,Key,key rings are used to tie keys around,2,3
1186,Key,open house,1,1
1186,Key,clean nails,3,5
1186,Key,eat cake,5,5
1186,Key,decoration,3,3
1186,Key,gift,3,4
1186,Key,treasure hunt to find key,3,4
1186,Key,knife,3,3
1186,Key,put hole in something,2,3
1186,Key,weapon,3,3
1174,Key,open a door,1,1
1174,Key,open a safe,1,1
1133,Key,open a lock,1,1
1133,Key,use as a knife,3,3
1133,Key,self defense,3,3
1133,Key,peel a fruit,4,3
1133,Key,jewelry,3,3
1133,Key,decoration,3,3
1133,Key,arrow,5,5
1138,Key,opening a door,1,1
1138,Key,opening a can,2,1
1221,Key,unlock doors,1,1
1221,Key,necklace,3,3
1221,Key,decoration,3,3
1221,Key,symbol,4,5
1221,Key,lock notebook/diary,1,4
1221,Key,mailbox,1,3
1194,Key,open a door,1,1
1194,Key,scrape at a lottery card,3,3
1194,Key,open a taped up box,2,1
1147,Key,to unlock a door,1,1
1147,Key,to use as protection by holding in between knuckles when walking alone,3,3
1162,Key,open something,2,1
1162,Key,scratch something,3,3
1162,Key,read a map,4,4
1102,Key,locking/opening doors,1,1
1102,Key,playing piano,5,5
1102,Key,melting it,4,5
1230,Key,unlock something,1,1
1230,Key,put it on a chain,3,3
1230,Key,use it it open a can,2,4
1230,Key,start a car,1,1
1230,Key,password for a computer,3,5
1123,Key,ring,4,4
1123,Key,hole,2,3
1123,Key,lock,1,1
1129,Key,unlock door,1,1
1129,Key,cut open a package,2,3
1129,Key,scratch of the back of a gift card,3,3
1228,Key,unlock a lock,1,1
1228,Key,cut open plastic,2,3
1228,Key,stab something,3,3
1228,Key,scrape off paint,3,3
1228,Key,make noise,4,4
1193,Key,to scratch something,3,3
1193,Key,open a door,1,1
1193,Key,conduct electricity,4,5
1193,Key,to act as a weight,3,5
1193,Key,to jingle,4,3
1180,Key,unlock,1,1
1180,Key,scratch,3,3
1180,Key,chain,3,3
1180,Key,necklace,3,3
1209,Key,open doors,1,1
1209,Key,scrape a car,3,3
1209,Key,protection against attackers,3,3
1209,Key,necklace,3,3
1226,Key,a can opener,2,4
1226,Key,its regular door opening function,1,1
1226,Key,to scratch off paint (ie a cars paint),3,3
1226,Key,to protect from an attacker,3,3
1226,Key,to engrave,3,3
1226,Key,to open plastic,2,3
1226,Key,to open a letter/ gift,2,3
1121,Key,open door,1,1
1121,Key,start a car,1,1
1121,Key,disable a trap,4,4
1121,Key,act as a paper weight,3,4
1121,Key,used to teach how enzymes work,5,5
