id,item,response
1159,Pencil,to write with
1159,Pencil,to point to things with
1159,Pencil,thing to throw
1159,Pencil,thing to erase marks with
1159,Pencil,thing to measure with
1104,Pencil,writing/drawing
1104,Pencil,twirling between fingers
1104,Pencil,straight edge
1104,Pencil,poking
1104,Pencil,tapping
1093,Pencil,writing
1093,Pencil,tapping
1093,Pencil,erasing
1093,Pencil,breaking
1093,Pencil,chewing
1093,Pencil,opening a letter
1093,Pencil,balanci
1141,Pencil,to write/draw
1141,Pencil,to poke holes
1141,Pencil,to keep a bun in place
1141,Pencil,to stab
1141,Pencil,to erase something
1141,Pencil,to use as a stick or building block
1141,Pencil,to twirl in fingers for entertainment
1176,Pencil,writing
1176,Pencil,stabbing a bug
1176,Pencil,making a decoration
1286,Pencil,writing
1286,Pencil,stabbing
1286,Pencil,structural foundation
1258,Pencil,write down answers
1258,Pencil,keep a place in a textbook
1258,Pencil,to put behind your ear
1258,Pencil,to chew the eraser
1258,Pencil,to borrow all the time
1258,Pencil,to lose every 5 seconds
1221,Pencil,write
1221,Pencil,draw
1221,Pencil,throw at the ceiling
1221,Pencil,erase
1221,Pencil,chew on
1221,Pencil,break to let out aggression
1221,Pencil,weapon
1205,Pencil,hole puncher
1205,Pencil,door stop
1205,Pencil,straight edge
1205,Pencil,weapon
1205,Pencil,fire wood
1138,Pencil,writing
1138,Pencil,weapon
1138,Pencil,to build something
1186,Pencil,poke
1186,Pencil,write
1186,Pencil,firewood
1186,Pencil,pencil log cabins
1186,Pencil,bookmark
1186,Pencil,projectile
1186,Pencil,spinner
1147,Pencil,write
1147,Pencil,use as a compass
1147,Pencil,make a tower
1094,Pencil,to write things
1094,Pencil,to erase things
1094,Pencil,scrape grime out of tiny spaces that the point can get into
1162,Pencil,to write
1162,Pencil,to stab
1162,Pencil,to erase
1102,Pencil,writing
1102,Pencil,shading
1102,Pencil,drawing
1102,Pencil,chewing
1102,Pencil,breaking
1102,Pencil,projectile
1102,Pencil,erasing
1102,Pencil,drumsticks
1102,Pencil,chopsticks
1102,Pencil,fire
1174,Pencil,write
1174,Pencil,hit someone
1174,Pencil,reach something far away
1180,Pencil,write
1180,Pencil,draw
1180,Pencil,use to poke things
1180,Pencil,erase
1180,Pencil,store in a pencil case
1180,Pencil,use to part hair
1193,Pencil,writing
1193,Pencil,stabbing
1193,Pencil,erasing
1193,Pencil,poking
1193,Pencil,sketching
1193,Pencil,rolling
1193,Pencil,marking measurement
1209,Pencil,writing
1209,Pencil,throwing at the ceiling to see if they stick
1209,Pencil,drawing/sketching
1209,Pencil,erasing
1209,Pencil,drumming
1123,Pencil,drawing
1123,Pencil,making a list
1123,Pencil,math
1123,Pencil,sharpen
1123,Pencil,take notes
1123,Pencil,doodle
1123,Pencil,write a story
1228,Pencil,write
1228,Pencil,stab something
1228,Pencil,chisel
1228,Pencil,paperweight
1195,Pencil,to write
1195,Pencil,to draw
1195,Pencil,to stab someone
1195,Pencil,as a book marker
1195,Pencil,to clean the jack in your iPhone
1192,Pencil,write
1192,Pencil,hold up hair
1192,Pencil,wedge out a stuck item
1192,Pencil,possible weapon
1087,Pencil,writing
1087,Pencil,weapon
1087,Pencil,scratching metal part of new gift card
1087,Pencil,poking a hole in a balloon
1087,Pencil,paper weight
1087,Pencil,can make art with it (statue)
1087,Pencil,ca
1133,Pencil,write
1133,Pencil,drum stick
1133,Pencil,a magic wand
1133,Pencil,a unit of measurement
1133,Pencil,scratch something
1133,Pencil,stab something
1133,Pencil,like a
1230,Pencil,write/draw
1230,Pencil,stir something
1230,Pencil,projectile
1230,Pencil,erase
1230,Pencil,measure a quantity
1129,Pencil,write
1163,Pencil,to write
1163,Pencil,to twirl
1163,Pencil,to poke
1163,Pencil,to bite
1194,Pencil,write with it
1194,Pencil,erase things
