id,item,response
1094,Rope,to climb with
1094,Rope,to hang things
1094,Rope,as a decoration
1094,Rope,to make unique designs with
1094,Rope,to tie different knots
1093,Rope,tying
1093,Rope,strangling
1093,Rope,dangling
1093,Rope,loosening
1093,Rope,jumping
1093,Rope,shaking
1093,Rope,pulling
1159,Rope,climb
1159,Rope,travel
1159,Rope,use to jump off something with
1159,Rope,connect things
1159,Rope,use for a workout
1159,Rope,use to wrap presents
1159,Rope,decorative
1159,Rope,tie knots
1159,Rope,hold things together
1195,Rope,tie a boat to a dock
1195,Rope,use it for working out
1195,Rope,for tying a knot
1195,Rope,to swing
1141,Rope,to exericse
1141,Rope,to tie objects together
1141,Rope,to hang objects
1141,Rope,to use in a pulley
1141,Rope,to drag objects
1141,Rope,to secure objects to a surface
1141,Rope,to attack someone/use as weapon
1104,Rope,tying things together
1104,Rope,working out
1104,Rope,swinging
1104,Rope,acting as a barrier
1286,Rope,to climb
1286,Rope,to tie something up
1286,Rope,a belt
1286,Rope,use it as a boarder
1205,Rope,JUMP ROP
1163,Rope,to climb
1163,Rope,to tie
1163,Rope,to fasten
1192,Rope,swing
1192,Rope,secure a boat
1192,Rope,hang items
1192,Rope,tie bundles of paper
1087,Rope,tie something
1087,Rope,to hang something
1087,Rope,to decorate a vase
1087,Rope,to mark a perimeter
1087,Rope,to jump rope
1087,Rope,a weapon
1176,Rope,tie things
1176,Rope,swing from things
1176,Rope,hold things together
1176,Rope,climb up
1258,Rope,jumprope
1258,Rope,rope that is used to tie knots
1258,Rope,rope are used to keep things in place
1258,Rope,obstacle course ropes
1258,Rope,the rope that is climbed during gym class to see how high you can get
1186,Rope,tie
1186,Rope,knot
1186,Rope,jump rope
1186,Rope,noose
1186,Rope,lasso
1186,Rope,climbing
1186,Rope,hold down
1186,Rope,hit with
1186,Rope,sailing
1186,Rope,tug o war
1186,Rope,jewelry
1174,Rope,pull someone out of a well
1174,Rope,climb up
1174,Rope,s
1133,Rope,tie a knot
1133,Rope,wear as a belt
1133,Rope,shoe lace
1133,Rope,use it to climb something
1133,Rope,measure something's length
1133,Rope,create boundaries for a
1138,Rope,tying something up
1138,Rope,rock climbing
1138,Rope,lasso
1138,Rope,storing things like a lanyard
1138,Rope,jewelry
1221,Rope,tie things
1221,Rope,climb trees
1221,Rope,harness
1221,Rope,lasso
1221,Rope,bridge
1221,Rope,costume
1221,Rope,satchel
1221,Rope,tightrope to walk on
1221,Rope,reel people in out in the water
1194,Rope,tie things up
1194,Rope,make a knot
1194,Rope,go rock climbing
1194,Rope,lasso something
1194,Rope,brai
1147,Rope,walking on a tightrope
1147,Rope,lasso
1147,Rope,painting
1147,Rope,climbing a rope in a gym
1147,Rope,swinging from a tree
1147,Rope,tug of war
1147,Rope,pulling a tree out of the ground
1147,Rope,making a harness
1147,Rope,fishing net
1162,Rope,hang something
1162,Rope,save someone (like in the ocean)
1162,Rope,tie someone up
1162,Rope,pull something
1162,Rope,play tug-of-war
1162,Rope,playtoy for dogs
1102,Rope,knots
1102,Rope,tying things
1102,Rope,arm exercising
1102,Rope,climbing
1102,Rope,pulling
1102,Rope,jumprope
1230,Rope,tie something up
1230,Rope,make a swing with it
1230,Rope,catch a fish
1230,Rope,use it to climb something
1230,Rope,make a zipline
1230,Rope,use it to tow something
1230,Rope,use it to hang something
1123,Rope,burn
1123,Rope,knot
1123,Rope,tie
1123,Rope,bur
1129,Rope,tie something
1129,Rope,use as a lasso
1129,Rope,use for workout (battle ropes)
1228,Rope,hang from
1228,Rope,swing on
1228,Rope,connect to others
1228,Rope,tie things together
1228,Rope,leash
1228,Rope,weapon
1193,Rope,tie up
1193,Rope,hang from/belay down
1193,Rope,whip
1193,Rope,choke
1193,Rope,climb with
1193,Rope,bundle up
1193,Rope,lasso
1180,Rope,tie a knot
1180,Rope,sailboat
1180,Rope,pull something
1180,Rope,stage lights
1180,Rope,noose
1180,Rope,life preserver
1180,Rope,fraying to start a fire
1180,Rope,hold things up
1180,Rope,tent
1209,Rope,jumping over
1209,Rope,tying nots
1209,Rope,rope swings
1226,Rope,to tie a leash for a dog
1226,Rope,to pull furniture
1226,Rope,to tie up a tent
1226,Rope,to fish with
1226,Rope,to set and anchor
1226,Rope,to kill someone
1226,Rope,to harness a horse
1121,Rope,climb
1121,Rope,restrain
1121,Rope,lift as a pulley
1121,Rope,attach two objects
1118,Rope,in a tree for a swing
1118,Rope,to dock a boat
1118,Rope,to strap someone in while hang gliding
1118,Rope,for rock climbing
1460,Rope,climbing
1460,Rope,tying
1460,Rope,lasso
1460,Rope,hanging
1460,Rope,whipping
1460,Rope,clothing styling
1460,Rope,sport
1460,Rope,art
1488,Rope,dangle object
1488,Rope,hoist objects up
1488,Rope,fasten objects in place
1488,Rope,climbing (goes with hoisting/lowering objects)
1488,Rope,tying knots
1533,Rope,securing a boat in dock
1533,Rope,pulling something very heavy on a sle
1373,Rope,jumping robe
1373,Rope,tie a knot
1373,Rope,swing from a tree
1373,Rope,zip line
1373,Rope,tight rope
1373,Rope,aid in rock climbing
1373,Rope,tie something up
1373,Rope,lasso
1603,Rope,swing
1603,Rope,ladder
