id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1159,to sit in,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1159,to stand on top of,stand top,Chair,chair,1.05905,1.02163,1.11245,0.9744,1.15397,1.0643,0.21617
1159,to make a piece of art,make piece art,Chair,chair,0.85759,0.9793499999999999,1.04098,0.98406,0.74543,0.92148,0.071
1159,to decorate,decorate,Chair,chair,0.8584700000000001,0.85429,0.96212,1.01204,0.93484,0.92435,0.03584
1159,to play with,play,Chair,chair,0.7749699999999999,0.94431,0.94171,0.99802,0.86842,0.90549,0.01449
1104,sitting on,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1104,weighing something down,weighing something,Chair,chair,1.10142,1.0087,0.93607,0.87572,1.11534,1.00745,0.16031
1104,building a fort,building fort,Chair,chair,0.9504,1.02186,0.92591,0.96752,1.10965,0.99507,0.11392
1093,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1093,standing,standing,Chair,chair,0.6584099999999999,0.75055,0.71419,0.9067000000000001,0.60756,0.72748,-0.1825
1093,propping a door open,propping door open,Chair,chair,0.94975,1.00287,0.95214,1.07643,1.1095,1.01814,0.1274
1093,breaking,breaking,Chair,chair,0.89362,1.0259,0.96634,1.06571,0.85773,0.96186,0.09176
1093,building,building,Chair,chair,0.8515699999999999,0.88978,0.87022,1.0493999999999999,0.78929,0.89005,0.0034
1141,to sit on,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1141,to stand on to reach a higher place,stand reach higher place,Chair,chair,1.14241,1.03548,0.98109,1.00124,1.22285,1.07661,0.21864
1141,to prop an item on,prop item,Chair,chair,1.10716,0.9901,0.97383,0.97297,1.10144,1.0291,0.17734
1141,to hold something up like a box,hold something like box,Chair,chair,1.06946,0.96874,1.06104,0.94921,1.19083,1.04786,0.19158
1141,to use as a weapon,use weapon,Chair,chair,0.93882,0.99185,1.0615,0.9166300000000001,1.22135,1.02603,0.14998
1141,to prop up against  door to keep it closed,prop door keep closed,Chair,chair,0.9008,0.97323,1.1135,0.85379,1.18018,1.0043,0.13741
1176,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1176,reaching high places,reaching high places,Chair,chair,0.95973,0.95915,1.03848,0.91246,0.7644299999999999,0.92685,0.09712
1176,hitting something,hitting something,Chair,chair,1.06941,1.05315,0.93075,0.99551,1.19285,1.04833,0.17756
1176,musical chairs,musical chairs,Chair,chair,1.07659,0.90073,1.16218,0.8752800000000001,1.13076,1.02911,0.19504
1286,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1286,putting clothes on,putting clothes,Chair,chair,1.10138,0.95374,0.92563,0.91084,1.25926,1.03017,0.16032
1286,stepping stool,stepping stool,Chair,chair,1.05765,1.02684,0.98396,0.99324,1.05835,1.02401,0.16968
1286,sleeping,sleeping,Chair,chair,0.72357,0.83951,0.92415,0.86486,0.76989,0.8244,-0.05905
1258,to sit on at the desk,sit desk,Chair,chair,1.02633,1.03853,0.98898,0.98085,1.23893,1.05472,0.17925
1258,to stand on when something is high up,stand something high,Chair,chair,0.77565,0.99355,0.87572,1.07423,0.73626,0.89108,0.00142
1258,to use as a throne at the dinner table,use throne dinner table,Chair,chair,0.95459,0.92094,0.97631,0.8721,1.17558,0.9799,0.10231
1258,to swive,swive,Chair,chair,NA,NA,NA,NA,NA,NaN,NA
1221,sit in,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1221,play on,play,Chair,chair,0.7749699999999999,0.94431,0.94171,0.99802,0.86842,0.90549,0.01449
1221,sleep on,sleep,Chair,chair,0.6859,0.84745,0.89348,0.88417,0.71799,0.8058,-0.08341
1221,dog bed,dog bed,Chair,chair,1.01607,0.98338,1.00203,0.92301,1.14599,1.0141,0.15074
1221,wheelchair for people who cannot walk,wheelchair people walk,Chair,chair,0.8011699999999999,0.91476,0.96181,1.00338,0.80023,0.89627,0.01652
1205,step stool,step stool,Chair,chair,0.967,1.04805,0.98249,0.92198,1.10952,1.00581,0.13983
1205,work out bench,work bench,Chair,chair,0.98146,1.11395,0.99378,0.9917,1.1265100000000001,1.04148,0.17392
1205,fire wood,fire wood,Chair,chair,0.88491,1.03093,1.04222,0.9979,1.14019,1.01923,0.13438
1205,back cracker,back cracker,Chair,chair,0.98482,1.03682,1.08306,0.95657,0.78793,0.96984,0.1466
1138,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1138,using to elevate your height,using elevate height,Chair,chair,0.86187,0.96364,0.96358,0.85771,0.8598399999999999,0.90133,0.04349
1138,using to keep a door closed,using keep door closed,Chair,chair,0.95116,0.96284,0.9428,0.86391,1.23221,0.99058,0.10619
1138,using to create a fort,using create fort,Chair,chair,1.0506199999999999,0.96727,0.99113,1.00827,0.83687,0.97083,0.13389
1138,using as a weapon,using weapon,Chair,chair,0.97536,1.04306,1.04263,0.90072,1.21604,1.03556,0.16855
1186,sit,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1186,standing to get higher,standing get higher,Chair,chair,0.87738,0.94299,0.97927,1.07575,0.72734,0.92055,0.05679
1186,hit someone with,hit someone,Chair,chair,0.99982,0.96601,0.9295100000000001,1.01053,1.14747,1.01067,0.12646
1186,legs can stake someone,legs can stake someone,Chair,chair,0.99894,0.9736,0.87996,0.94859,1.2147999999999999,1.00318,0.11333
1186,bed if it's big enough,bed big enough,Chair,chair,0.79809,1.05899,0.9454400000000001,1.04585,0.77317,0.92431,0.0489
1186,holds things,holds things,Chair,chair,0.97424,1.03497,0.9307799999999999,1.01129,1.2152,1.0333,0.14197
1186,receiver of spilled fo,receiver spilled fo,Chair,chair,1.07517,0.94925,0.99637,0.89878,1.11753,1.00742,0.15659
1147,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1147,making a fort,making fort,Chair,chair,1.0627,1.01821,0.97659,1.01116,1.04662,1.02306,0.1676
1147,standing on top of,standing top,Chair,chair,1.13477,0.94933,1.06384,1.00344,1.14169,1.05861,0.21164
1094,to sit in,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1094,to play musical chairs,play musical chairs,Chair,chair,0.76803,0.95903,0.82482,0.87061,0.78175,0.84085,-0.0412
1094,to dance with,dance,Chair,chair,0.78895,1.00385,0.93046,0.8906499999999999,0.79912,0.88261,0.01431
1094,to furnish a room with,furnish room,Chair,chair,1.06438,1.01565,0.96361,0.977,1.01518,1.00716,0.15717
1162,sit on it,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1162,use it as a stool,use stool,Chair,chair,0.97295,0.99983,0.9584,0.91975,1.09754,0.98969,0.12073
1162,put things on it for storage,put things storage,Chair,chair,0.90473,0.9601999999999999,0.98251,1.0165,0.80734,0.93426,0.07425
1102,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1102,throwing at people,throwing people,Chair,chair,0.90978,1.06484,1.00656,1.14392,1.1551,1.05604,0.15663
1102,sleeping,sleeping,Chair,chair,0.72357,0.83951,0.92415,0.86486,0.76989,0.8244,-0.05905
1102,dancing prop,dancing prop,Chair,chair,1.07605,1.03797,0.99637,0.99418,1.07435,1.03578,0.18473
1102,bobsled/chariot,bobsled chariot,Chair,chair,1.03456,0.99254,1.03701,1.04295,1.01966,1.02534,0.16992
1102,barricade,barricade,Chair,chair,0.87094,0.83651,0.9071,1.09007,0.93028,0.92698,0.02582
1174,sit on it,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1174,stepping,stepping,Chair,chair,0.85082,0.97488,0.78886,0.91952,0.69949,0.84671,-0.02145
1180,sit,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1180,decor,decor,Chair,chair,0.80933,0.8148,0.9642,0.97223,0.88808,0.88973,6e-5
1180,hold a door open,hold door open,Chair,chair,0.82485,1.01014,0.94004,1.01038,0.7361599999999999,0.90431,0.03736
1180,place at a table,place table,Chair,chair,0.93392,0.96355,1.00749,0.99701,1.19628,1.01965,0.12948
1180,use,use,Chair,chair,0.80203,0.88131,0.94763,0.9912,0.80319,0.88507,0.00294
1193,to sit in,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1193,to stand on,stand,Chair,chair,0.68312,0.79377,0.83161,0.90393,0.73805,0.7901,-0.11355
1193,to smash something else,smash something else,Chair,chair,0.86355,1.00707,0.89162,1.03745,0.7735,0.91464,0.04189
1193,to act as a weight,act weight,Chair,chair,1.05827,1.03708,1.06453,0.9707,1.19059,1.06423,0.20822
1209,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1209,rocking,rocking,Chair,chair,0.60249,0.58595,0.75924,0.44449000000000005,0.61304,0.60104,-0.27526
1209,standing on to reach high objects,standing reach high objects,Chair,chair,1.06856,0.88015,1.06751,0.99393,1.22156,1.04634,0.17776
1123,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1123,standing,standing,Chair,chair,0.6584099999999999,0.75055,0.71419,0.9067000000000001,0.60756,0.72748,-0.1825
1123,decoration,decoration,Chair,chair,0.87097,0.8633500000000001,0.97432,0.90384,0.89842,0.90218,0.03252
1123,guests,guests,Chair,chair,0.8106599999999999,0.88226,0.8627199999999999,0.6557,0.73726,0.78972,-0.05875
1123,artwork,artwork,Chair,chair,0.93202,0.83116,0.98101,0.96809,0.91351,0.92516,0.05618
1123,gift,gift,Chair,chair,0.84407,0.94008,0.97171,1.01566,0.83691,0.92169,0.04646
1123,prop,prop,Chair,chair,0.75503,0.76751,0.87139,0.93941,0.92348,0.85136,-0.06034
1123,studying,studying,Chair,chair,0.90988,0.98459,0.86746,0.92283,0.81778,0.90051,0.03873
1123,dining,dining,Chair,chair,0.70868,0.82342,0.85381,0.40659999999999996,0.65793,0.69009,-0.14549
1123,lounging,lounging,Chair,chair,0.7019500000000001,0.79788,0.88236,1.04583,0.79293,0.84419,-0.0709
1228,sit on,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1228,stand on,stand,Chair,chair,0.68312,0.79377,0.83161,0.90393,0.73805,0.7901,-0.11355
1228,break a window,break window,Chair,chair,0.95035,1.02372,0.95907,1.00818,1.19475,1.02721,0.13686
1228,hold a door closed,hold door closed,Chair,chair,0.82725,0.95793,0.91123,1.12919,0.7355400000000001,0.91223,0.02726
1228,tie something too,tie something,Chair,chair,1.0792,1.06121,1.0009,1.00094,1.13815,1.05608,0.20013
1228,sleep in,sleep,Chair,chair,0.6859,0.84745,0.89348,0.88417,0.71799,0.8058,-0.08341
1195,sitting,sitting,Chair,chair,0.50769,0.5752900000000001,0.7072700000000001,0.43393000000000004,0.46723000000000003,0.53828,-0.34381
1195,throwing around,throwing around,Chair,chair,1.00079,1.00384,1.09558,0.8017,1.1298300000000001,1.00635,0.16618
1195,standing on,standing,Chair,chair,0.6584099999999999,0.75055,0.71419,0.9067000000000001,0.60756,0.72748,-0.1825
1195,burning for heat,burning heat,Chair,chair,0.93892,1.03336,0.98292,1.00331,1.16532,1.02477,0.13924
1195,giving as a present,giving present,Chair,chair,0.99966,0.98528,1.10379,1.02204,1.23044,1.06824,0.19457
1195,making use of a,making use,Chair,chair,0.98389,1.01036,1.03529,0.95546,1.26697,1.05039,0.1712
1192,sit,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1192,stand on to reach an object,stand reach object,Chair,chair,0.84302,0.97097,0.966,0.95131,0.75561,0.89738,0.03814
1192,decoration,decoration,Chair,chair,0.87097,0.8633500000000001,0.97432,0.90384,0.89842,0.90218,0.03252
1192,place objects on it,place objects,Chair,chair,1.0666,0.95888,0.9859,0.96987,1.21371,1.03899,0.16893
1087,to sit on,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1087,to decorate the house,decorate house,Chair,chair,1.03987,1.07569,1.08394,0.93341,1.03973,1.03453,0.19919
1087,to hold books,hold books,Chair,chair,1.02318,1.071,1.02717,0.98487,1.29273,1.07979,0.20393
1087,build a fort with chairs,build fort chairs,Chair,chair,0.96001,0.89759,1.01629,0.92983,0.8274900000000001,0.92624,0.08232
1087,a weapon,weapon,Chair,chair,0.80343,0.93176,0.97714,1.05744,0.94064,0.94208,0.04535
1087,use its legs to make firewood,use legs make firewood,Chair,chair,1.07751,1.01042,1.03068,0.98491,1.16589,1.05388,0.19683
1133,sit,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1133,stand to get taller,stand get taller,Chair,chair,0.8572,1.04187,0.94604,1.09372,0.74394,0.93655,0.06794
1133,throw at something,throw something,Chair,chair,0.98826,1.05904,0.98624,1.0236,1.14524,1.04048,0.16483
1133,block a doorway,block doorway,Chair,chair,0.98606,0.95758,0.97876,0.93099,1.12346,0.99537,0.12455
1133,hold a blanket in a blanket fort,hold blanket blanket fort,Chair,chair,1.0255,1.12552,0.94896,1.07883,1.16502,1.06877,0.19117
1133,hide under,hide,Chair,chair,0.83794,1.00817,0.97667,1.00302,0.96133,0.95743,0.07419
1133,pu,pu,Chair,chair,1.00768,0.97649,0.95076,1.0232,1.03009,0.99764,0.12839
1230,sit on it,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1230,stand on it,stand,Chair,chair,0.68312,0.79377,0.83161,0.90393,0.73805,0.7901,-0.11355
1230,use it as a table,use table,Chair,chair,0.96561,0.96129,0.88474,0.93091,1.22197,0.9929,0.09851
1230,use it to support other things,use support things,Chair,chair,0.93685,0.97421,1.04556,0.96167,0.7598199999999999,0.93562,0.09917
1129,sit on,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1129,stand on to reach things,stand reach things,Chair,chair,0.85272,0.92681,0.98106,0.96902,0.7131799999999999,0.88856,0.03254
1163,to sit,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1194,to sit on,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1194,to stand on top of,stand top,Chair,chair,1.05905,1.02163,1.11245,0.9744,1.15397,1.0643,0.21617
1194,to break through a door or window,break door window,Chair,chair,0.79561,0.9125,0.98349,1.13794,0.7800199999999999,0.92191,0.03163
1194,to protect yourself,protect,Chair,chair,0.84686,1.03244,0.96991,1.01099,0.92793,0.95763,0.0791
1194,to stack things on top of,stack things top,Chair,chair,0.87149,0.95352,0.96458,0.98924,0.7592099999999999,0.90761,0.04757
1194,to swivel around on,swivel around,Chair,chair,0.94419,1.04966,1.00705,0.94946,0.89329,0.96873,0.12114
1194,for a game,game,Chair,chair,0.78656,0.95579,1.03626,1.00127,0.8981399999999999,0.9356,0.05417
1226,to sit on,sit,Chair,chair,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,-0.30620000000000003
1226,to use as a table,use table,Chair,chair,0.96561,0.96129,0.88474,0.93091,1.22197,0.9929,0.09851
1226,to place objects on instead of a table,place objects instead table,Chair,chair,1.03126,0.92036,0.84593,1.0855,1.19784,1.01618,0.11238
1226,to use as a ladder to put objects up on the wall,use ladder put objects wall,Chair,chair,0.9416,0.95335,1.08802,0.86734,0.85979,0.94202,0.10933
1226,to stand on when you see a rat in the kitchen,stand see rat kitchen,Chair,chair,0.9972,1.0136,0.96279,1.16367,1.18696,1.06484,0.16668
