id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1094,to open a door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04663
1094,to scratch something into the sidewalk,scratch something sidewalk,Key,key,1.0226,0.96624,1.03,1.13652,0.71791,0.97465,0.06376
1094,use to seperate two things that are stuck together,use seperate two things stuck together,Key,key,1.00664,0.98472,0.96966,1.02729,0.6094999999999999,0.91956,0.02837
1094,scratch an itch,scratch itch,Key,key,0.92134,1.05422,0.94818,0.9073,0.96332,0.95887,0.00401
1093,unlocking,unlocking,Key,key,0.58123,0.5551200000000001,0.74388,0.86419,0.75956,0.7008,-0.32223
1093,locking,locking,Key,key,0.64657,0.69607,0.82316,0.8709899999999999,0.84131,0.77562,-0.23587
1093,hiding,hiding,Key,key,0.69076,0.8064,0.84593,0.95165,0.83761,0.82647,-0.17408
1093,discovering,discovering,Key,key,0.77019,0.86015,0.87886,0.97857,0.83939,0.86543,-0.11741
1093,starting a car,starting car,Key,key,0.96883,1.11883,0.97603,0.97372,1.29952,1.06739,0.06601
1093,turning off a car,turning car,Key,key,0.99751,1.09845,1.02951,0.91709,1.33149,1.07481,0.07995
1093,music,music,Key,key,0.83154,0.94839,0.95753,0.90333,0.85143,0.89844,-0.05923
1093,put on a chain,put chain,Key,key,0.957,1.00875,0.98558,1.00074,1.32211,1.05484,0.03995
1093,jangling,jangling,Key,key,0.75067,0.6819200000000001,0.87512,1.03892,0.95531,0.86039,-0.16019
1159,open doors,open doors,Key,key,0.93745,1.04888,1.07998,1.03097,1.29673,1.0788,0.07149
1159,jewelry,jewelry,Key,key,0.7568,0.84099,0.98246,0.96132,0.92771,0.89386,-0.09869
1159,decoration,decoration,Key,key,0.93845,0.88005,0.95936,1.04825,1.00878,0.96698,-0.01158
1159,dif,dif,Key,key,1.01655,0.84407,0.89534,1.01282,1.15631,0.98502,-0.0081
1195,unlock door,unlock door,Key,key,0.97084,1.01924,1.03137,0.99621,1.18833,1.0412,0.05537
1195,cut something,cut something,Key,key,1.01791,0.98149,1.04075,1.05736,1.35588,1.09068,0.07959
1195,melt into metal,melt metal,Key,key,0.90916,1.00212,1.0659,1.10329,1.11765,1.03962,0.04827
1195,dip in paint and paint something,dip paint paint something,Key,key,0.96131,0.94295,0.99238,0.89684,1.38109,1.03491,0.015
1195,decorate and give as a gift,decorate give gift,Key,key,0.87039,0.81403,1.07111,1.09996,0.79631,0.93036,-0.02461
1195,use as a screwdriver,use screwdriver,Key,key,0.93573,1.11863,1.04794,0.95622,0.84729,0.98116,0.05566
1141,to open a door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04663
1141,to open an envelope,open envelope,Key,key,0.97259,1.06162,1.03019,0.9305,1.25654,1.05029,0.06039
1141,to dislodge items/objects from cracks,dislodge items objects cracks,Key,key,1.03641,0.92376,1.03233,1.1297,0.99418,1.02328,0.06694
1141,to scratch surface on a car or scratch card,scratch surface car scratch card,Key,key,0.9027499999999999,1.01206,0.95284,1.05679,0.63286,0.91146,-0.00425
1141,to attack someone,attack someone,Key,key,0.93769,1.04355,1.05165,0.98019,1.36409,1.07543,0.05818
1104,unlocking,unlocking,Key,key,0.58123,0.5551200000000001,0.74388,0.86419,0.75956,0.7008,-0.32223
1104,selfdefense,selfdefense,Key,key,NA,NA,NA,NA,NA,NaN,NA
1104,scratching something,scratching something,Key,key,0.98008,0.96545,1.01367,1.02378,0.92501,0.9816,0.03513
1286,open a house,open house,Key,key,0.87848,1.07399,1.02832,0.99546,1.26341,1.04793,0.03574
1286,use it as a knife,use knife,Key,key,0.99422,1.03864,1.0517,0.95012,1.3731499999999999,1.08157,0.07494
1286,decoration,decoration,Key,key,0.93845,0.88005,0.95936,1.04825,1.00878,0.96698,-0.01158
1205,PIECE OF JEWLERY,piece of jewlery,Key,key,0.97896,1.00422,0.95549,0.89457,1.3618700000000001,1.03902,0.0266
1205,USE TO CUT STRING,use to cut string,Key,key,1.04411,0.88832,1.00277,0.9046,1.36054,1.04007,0.0357
1205,OPEN A SODA CAN,open soda can,Key,key,0.89547,0.96473,1.00759,0.98955,0.67338,0.90614,-0.01174
1205,SCRATCH AN ITCH,scratch an itch,Key,key,1.00208,0.92979,0.96963,1.03651,0.95354,0.97831,0.02499
1163,open door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04663
1163,open car,open car,Key,key,0.94242,1.04073,0.97867,1.05253,1.2726,1.05739,0.04581
1163,open safe,open safe,Key,key,0.93971,1.03102,1.05968,0.93231,1.33838,1.06022,0.05087
1163,open lock,open lock,Key,key,0.98004,0.97918,1.01782,1.05755,1.13969,1.03486,0.05122
1192,open door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04663
1192,open a package,open package,Key,key,1.06608,0.9557599999999999,0.96769,1.06026,1.31037,1.07203,0.07043
1192,selfdefense,selfdefense,Key,key,NA,NA,NA,NA,NA,NaN,NA
1087,open door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04663
1087,scratch grey stuff on a new gift card,scratch grey stuff new gift card,Key,key,0.92278,1.09929,0.94767,1.00123,1.31602,1.0574,0.03979
1087,cut a string,cut string,Key,key,1.03898,0.98931,0.96331,0.918,1.29219,1.04036,0.04855
1087,necklace pendant,necklace pendant,Key,key,0.97759,1.13296,1.02663,1.02136,0.85232,1.00217,0.07815
1176,unlock things,unlock things,Key,key,1.07288,0.99364,1.12976,0.94477,1.23652,1.07551,0.10938
1176,cut open things,cut open things,Key,key,0.88163,1.02368,0.94576,1.10497,0.57116,0.90544,-0.00705
1176,decoration art,decoration art,Key,key,1.0023,0.97633,1.00247,0.95128,1.23571,1.03362,0.04425
1258,used to unlock doors,used unlock doors,Key,key,0.88014,0.80609,0.96789,1.0009,0.60421,0.85185,-0.07005
1258,associate this with the flying keys from harry potter,associate flying keys harry potter,Key,key,0.95157,1.1254,1.0221,1.10497,0.70675,0.98216,0.07105
1258,a key can be tied around a necklace,key can tied around necklace,Key,key,0.84777,0.94751,0.90471,0.9485,0.59343,0.84838,-0.07024
1258,key to a diary,key diary,Key,key,0.93989,1.09952,1.06385,0.87565,1.3437000000000001,1.06452,0.06257
1258,keyrings are used to tie keys around,keyrings used tie keys around,Key,key,0.84745,0.94179,0.96146,0.92085,1.3064200000000001,0.99559,-0.03654
1186,open house,open house,Key,key,0.87848,1.07399,1.02832,0.99546,1.26341,1.04793,0.03574
1186,clean nails,clean nails,Key,key,0.97101,0.9358,0.96472,0.93816,1.23189,1.00832,0.00979
1186,eat cake,eat cake,Key,key,1.01564,0.94606,0.93341,1.0102,1.04288,0.98964,0.02408
1186,decoration,decoration,Key,key,0.93845,0.88005,0.95936,1.04825,1.00878,0.96698,-0.01158
1186,gift,gift,Key,key,0.83217,0.87553,1.06266,1.02904,0.87305,0.93449,-0.03229
1186,treasure hunt to find key,treasure hunt find key,Key,key,0.92135,0.9660299999999999,0.99343,0.96698,1.26996,1.02355,0.01137
1186,knife,knife,Key,key,0.76736,0.87944,0.90411,0.98448,0.89273,0.88562,-0.10416
1186,put hole in something,put hole something,Key,key,0.95965,0.95341,1.09406,1.06515,0.5631200000000001,0.92708,0.03946
1186,weapon,weapon,Key,key,0.73773,0.8221499999999999,0.87279,0.92126,0.7133700000000001,0.81346,-0.15281
1174,open a door,open door,Key,key,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.04663
1174,open a safe,open safe,Key,key,0.93971,1.03102,1.05968,0.93231,1.33838,1.06022,0.05087
1133,open a lock,open lock,Key,key,0.98004,0.97918,1.01782,1.05755,1.13969,1.03486,0.05122
1133,use as a knife,use knife,Key,key,0.99422,1.03864,1.0517,0.95012,1.3731499999999999,1.08157,0.07494
1133,self defense,self defense,Key,key,0.90444,1.11954,1.00879,0.97466,1.25756,1.053,0.04921
1133,peel a fruit,peel fruit,Key,key,1.02167,0.94099,1.04585,1.00046,1.08538,1.01887,0.05571
1133,jewelry,jewelry,Key,key,0.7568,0.84099,0.98246,0.96132,0.92771,0.89386,-0.09869
1133,decoration,decoration,Key,key,0.93845,0.88005,0.95936,1.04825,1.00878,0.96698,-0.01158
1133,arrow,arrow,Key,key,0.78793,0.93142,0.86163,0.7052499999999999,0.88847,0.83494,-0.13066
1138,opening a door,opening door,Key,key,0.91287,0.9915,1.01402,1.05442,1.29812,1.05419,0.03251
