id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1159,wear on feet,wear feet,Shoe,shoe,1.14806,1.11889,0.99901,1.05112,1.00992,1.0654,0.14582
1159,to put stuff in,put stuff,Shoe,shoe,1.00684,0.99932,1.06153,0.88234,1.12912,1.01583,0.09741
1159,to workout in,workout,Shoe,shoe,0.85628,0.8188,0.8336600000000001,0.96214,0.85576,0.86533,-0.11447
1159,to use as a bug killer,use bug killer,Shoe,shoe,0.90506,0.98642,1.01619,0.9306,0.9321699999999999,0.95409,0.00549
1159,to use as a decoration,use decoration,Shoe,shoe,1.06171,0.92742,0.90422,1.07697,1.09134,1.01233,0.07305
1104,putting on your feet,putting feet,Shoe,shoe,1.13939,1.01785,0.91837,1.00091,1.0467,1.02464,0.09989
1104,hitting a bug,hitting bug,Shoe,shoe,1.1814,1.0367,0.9808,1.02583,1.00179,1.0453,0.12328
1104,dog toy,dog toy,Shoe,shoe,1.02058,0.97744,1.04055,1.02751,1.0072,1.01466,0.07713
1093,killing a bug,killing bug,Shoe,shoe,1.11177,0.98996,1.01648,0.98766,1.0458,1.03033,0.10613
1093,wearing on a foot,wearing foot,Shoe,shoe,1.12419,1.07073,0.96751,0.96209,0.97832,1.02057,0.09697
1093,throwing over a power line,throwing power line,Shoe,shoe,0.86147,0.9496,1.02721,0.91794,0.88109,0.92746,-0.0303
1093,selling,selling,Shoe,shoe,0.84204,0.92941,0.89685,0.96769,0.79094,0.88539,-0.091
1093,throwing,throwing,Shoe,shoe,0.83038,0.88037,0.99284,1.00628,0.78348,0.89867,-0.08076
1093,b,,Shoe,shoe,NA,NA,NA,NA,NA,NaN,NA
1141,to wear on foot,wear foot,Shoe,shoe,1.12284,1.07834,0.88637,1.00337,1.0188,1.02194,0.09605
1141,to use as a weight,use weight,Shoe,shoe,1.13308,0.9333,1.0121,1.05099,1.09863,1.04562,0.11983
1141,to store things in,store things,Shoe,shoe,0.97569,1.0087,0.89732,0.85326,1.14238,0.97547,0.05058
1141,to throw at someone,throw someone,Shoe,shoe,1.00731,1.09786,1.06369,1.03538,1.07071,1.05499,0.12983
1141,to tie together and sling it on a wire,tie together sling wire,Shoe,shoe,1.05898,0.9993,0.99881,0.8853800000000001,0.87307,0.96311,0.02642
1176,Running,running,Shoe,shoe,0.78952,0.93675,0.88544,0.93103,0.8347100000000001,0.87549,-0.10005
1176,Swatting bugs,swatting bugs,Shoe,shoe,1.14023,1.08536,0.95144,0.98176,0.98251,1.02826,0.10558
1286,walking,walking,Shoe,shoe,0.71429,0.88577,0.81115,0.79483,0.73985,0.78918,-0.19923
1286,comfort,comfort,Shoe,shoe,0.83098,0.96164,0.80985,1.06283,0.89376,0.91181,-0.06459
1286,style,style,Shoe,shoe,0.77309,0.88167,0.87182,0.96347,0.80577,0.85916,-0.12626
