id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1094,to open a door,open door,"['open', 'door']",open door,Key,key,0.04212,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,0.9327709408406855,0.9150631095037114,0.6873376538957495,0.6873376538957495,1,1,1.0
1094,to scratch something into the sidewalk,scratch something sidewalk,"['scratch', 'sidewalk']",scratch sidewalk,Key,key,0.06074,1.0226,0.96624,1.03,1.13652,0.71791,0.97465,0.9220064794762186,0.9187120673922888,0.9072913926414803,0.905826090912054,3,3,3.0
1094,use to separate two things that are stuck together,use separate two things stuck together,"['separate', 'stuck']",separate stuck,Key,key,0.0412,0.98782,0.97968,0.99077,0.96344,1.33179,1.0507,0.932465159105376,0.872906304715854,0.8501341488079454,0.8560595686057815,3,4,3.5
1094,scratch an itch,scratch itch,"['scratch', 'itch']",scratch itch,Key,key,-0.00096,0.92134,1.05422,0.94818,0.9073,0.96332,0.95887,0.9213403048358583,0.9213403048358583,0.9956481890468681,0.905826090912054,3,3,3.0
1093,unlocking,unlocking,['unlocking'],unlocking,Key,key,-0.33545,0.58123,0.5551200000000001,0.74388,0.86419,0.75956,0.7008,0.581234654584278,0.872906304715854,0.581234654584278,0.7050357704464157,1,1,1.0
1093,locking,locking,['locking'],locking,Key,key,-0.24801,0.64657,0.69607,0.82316,0.8709899999999999,0.84131,0.77562,0.6465667993999629,0.9152638426655585,0.6465667993999629,0.7050357704464157,1,1,1.0
1093,hiding,hiding,['hiding'],hiding,Key,key,-0.18795,0.69076,0.8064,0.84593,0.95165,0.83761,0.82647,0.6907601079580562,0.872906304715854,0.6907601079580562,0.8560595686057815,5,3,4.0
1093,discovering,discovering,['discovering'],discovering,Key,key,-0.12863,0.77019,0.86015,0.87886,0.97857,0.83939,0.86543,0.7701870432900377,0.872906304715854,0.7701870432900377,0.8560595686057815,4,5,4.5
1093,starting a car,starting car,"['starting', 'car']",starting car,Key,key,0.06166,0.96883,1.11883,0.97603,0.97372,1.29952,1.06739,0.9688335846881653,0.9194311830894772,0.8771590857469977,0.8588389414381282,1,2,1.5
1093,turning off a car,turning car,"['turning', 'car']",turning car,Key,key,0.07936,0.99751,1.09845,1.02951,0.91709,1.33149,1.07481,0.9975123579314826,0.9194311830894772,0.836528040218972,0.8588389414381282,1,2,1.5
