id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1159,to write with,write,['write'],write,Pencil,pencil,-0.19629,0.623,0.68548,0.75387,0.82991,0.7659199999999999,0.73164,0.7538713635659022,0.7538713635659023,0.7538713635659022,0.7538713635659023,1,1,1.0
1159,to point to things with,point things,['point'],point,Pencil,pencil,0.12331,0.91529,1.03075,1.01425,1.01055,1.05013,1.00419,0.8775620413113542,0.8855819387954827,0.8775620413113542,0.8461692434695305,3,2,2.5
1159,thing to throw,thing throw,['throw'],throw,Pencil,pencil,0.0991,0.87097,0.99875,1.07563,0.94975,0.97495,0.97401,0.9119765595184642,0.8855819387954827,0.9119765595184642,0.9044754623164535,3,2,2.5
1159,thing to erase marks with,thing erase marks,"['erase', 'mark']",erase mark,Pencil,pencil,0.06352,0.94492,0.93798,0.95913,1.13652,0.91122,0.97795,0.9613793586823108,0.8855819387954827,0.833068233868094,0.8079553683561592,1,2,1.5
1159,thing to measure with,thing measure,['measure'],measure,Pencil,pencil,0.13694,1.01733,1.03663,0.93835,0.95618,1.0813,1.00596,0.8920114660628259,0.8855819387954827,0.8920114660628259,0.8920114660628259,4,3,3.5
1104,writing/drawing,writing drawing,"['writing', 'drawing']",writing drawing,Pencil,pencil,0.16061,1.07793,1.05892,0.90221,0.96318,1.12608,1.02566,0.9022072528285411,0.7333915794755764,0.7033813305541318,0.8461692434695305,1,1,1.0
1104,twirling between fingers,twirling fingers,"['twirling', 'finger']",twirling finger,Pencil,pencil,0.10993,0.95114,0.96979,1.00262,0.89134,1.04208,0.97139,0.9569940111681063,0.8855819387954827,0.7807498815326701,0.8461692434695305,3,3,3.0
1104,straight edge,straight edge,"['straight', 'edge']",straight edge,Pencil,pencil,0.11255,1.01255,1.01305,0.98631,0.98543,0.9581,0.99109,0.9863055376097893,0.8855819387954827,0.8459023319150882,0.8461692434695305,4,3,3.5
1104,poking,poking,['poking'],poking,Pencil,pencil,-0.09251,0.8107,0.82697,0.83134,1.01846,0.72652,0.8428,0.8313424768791372,0.9786452004379134,0.8313424768791372,0.8461692434695305,2,3,2.5
1104,tapping,tapping,['tapping'],tapping,Pencil,pencil,-0.04556,0.86348,0.80884,0.83571,0.99276,0.8549100000000001,0.87114,0.8357096193582852,0.8855819387954827,0.8357096193582852,0.9027496455786558,3,3,3.0
