,ewm,ewm_clust,minvec,minvec_clust,minvec_min,cbowukwacsubtitle,cbowsubtitle,cbowBNCwikiukwac,TASA,glove,SemDis_MEAN,novelty_1,novelty_2,novelty_m,flex_1,flex_2,flex_method_avg,originality,fluency
ewm,1,,,,,,,,,,,,,,,,,,
ewm_clust,0.748736048,1,,,,,,,,,,,,,,,,,
minvec,0.822743609,0.778112669,1,,,,,,,,,,,,,,,,
minvec_clust,0.53677135,0.826558565,0.766423946,1,,,,,,,,,,,,,,,
minvec_min,0.331469369,0.240378523,0.164820866,-0.03550068,1,,,,,,,,,,,,,,
cbowukwacsubtitle,0.755743135,0.566581075,0.644139232,0.39562593,0.370084427,1,,,,,,,,,,,,,
cbowsubtitle,0.736419202,0.546735293,0.660079818,0.396294307,0.393844979,0.922139838,1,,,,,,,,,,,,
cbowBNCwikiukwac,0.749948952,0.587389526,0.669471799,0.405040376,0.383471963,0.896509628,0.932061703,1,,,,,,,,,,,
TASA,0.761540196,0.653749071,0.742187112,0.542050901,0.229500132,0.80175301,0.798549661,0.816356037,1,,,,,,,,,,
glove,0.623673574,0.41519394,0.473315696,0.260235895,0.360658144,0.877983986,0.856587045,0.850450524,0.725016545,1,,,,,,,,,
SemDis_MEAN,0.761894204,0.571729582,0.658009722,0.405167816,0.377259594,0.966180182,0.960551204,0.953302039,0.861184706,0.936641161,1,,,,,,,,
novelty_1,0.33325142,0.466392242,0.501525688,0.594799938,-0.340063195,0.209220748,0.195213994,0.206883772,0.387826475,0.107507506,0.216337785,1,,,,,,,
novelty_2,0.359335769,0.564235038,0.586449487,0.679643096,-0.246799463,0.243805969,0.215002562,0.246913212,0.463272645,0.127421753,0.252940742,0.874066885,1,,,,,,
novelty_m,0.357895275,0.532934091,0.562477696,0.658792325,-0.302565839,0.234207849,0.212006088,0.234638562,0.440068348,0.121466758,0.242614473,0.96724052,0.968760356,1,,,,,
flex_1,0.079815302,0.127786201,0.289169101,0.371232877,-0.432635205,-0.031786979,-0.097246371,-0.031760962,0.117147999,-0.078231824,-0.038092013,0.567588297,0.531049927,0.567252477,1,,,,
flex_2,0.079815302,0.127786201,0.289169101,0.371232877,-0.432635205,-0.031786979,-0.097246371,-0.031760962,0.117147999,-0.078231824,-0.038092013,0.567588297,0.531049927,0.567252477,1,1,,,
flex_method_avg,0.190157424,0.147896392,0.263412454,0.291475027,0.011131982,0.117169808,0.123291673,0.123632351,0.164038133,0.068167278,0.119778028,0.198167152,0.244777575,0.229072823,0.494738906,0.494738906,1,,
originality,0.460325429,0.37305376,0.408765622,0.301597072,0.288040953,0.45561882,0.430273677,0.425801244,0.292922512,0.368794079,0.425846285,0.073509816,0.069772767,0.073986336,0.027245631,0.027245631,0.139615839,1,
fluency,0.07540961,0.153668218,0.263084606,0.405551899,-0.377227552,-0.064072351,-0.08401245,-0.081804102,0.088402667,-0.152948328,-0.078168589,0.432215015,0.480046962,0.471493796,0.692599409,0.692599409,0.793276369,-0.048097807,1
