,ewm,ewm_clust,minvec,minvec_clust,minvec_min,cbowukwacsubtitle,cbowsubtitle,cbowBNCwikiukwac,TASA,glove,SemDis_MEAN,novelty_1,novelty_2,novelty_m,flex_1,flex_2,flex_m,flex_method,originality,fluency
ewm,0,,,,,,,,,,,,,,,,,,,
ewm_clust,0,0,,,,,,,,,,,,,,,,,,
minvec,0,0,0,,,,,,,,,,,,,,,,,
minvec_clust,0,0,0,0,,,,,,,,,,,,,,,,
minvec_min,0.0097,0.1055,0.065,0.9148,0,,,,,,,,,,,,,,,
cbowukwacsubtitle,0,0,0,0.0018,0.0005,0,,,,,,,,,,,,,,
cbowsubtitle,0,0,0,0.0061,0,0,0,,,,,,,,,,,,,
cbowBNCwikiukwac,0,0.0001,0,0.0229,0.0001,0,0,0,,,,,,,,,,,,
TASA,0,0,0,0,0.021,0,0,0,0,,,,,,,,,,,
glove,0,0.0007,0,0.0659,0.0003,0,0,0,0,0,,,,,,,,,,
SemDis_MEAN,0,0,0,0.0041,0.0002,0,0,0,0,0,0,,,,,,,,,
novelty_1,0.0012,0.0001,0,0,0.0004,0.0478,0.0652,0.0504,0.0002,0.3132,0.0406,0,,,,,,,,
novelty_2,0.0005,0,0,0,0.013,0.0206,0.0418,0.019,0,0.2314,0.0162,0,0,,,,,,,
novelty_m,0.0005,0,0,0,0.0019,0.0263,0.0449,0.026,0,0.2541,0.0212,0,0,0,,,,,,
flex_1,0.4726,0.179,0.0054,0.0013,0,0.7661,0.3619,0.7663,0.2715,0.4636,0.7215,0,0,0,0,,,,,
flex_2,0.4726,0.179,0.0054,0.0013,0,0.7661,0.3619,0.7663,0.2715,0.4636,0.7215,0,0,0,0,0,,,,
flex_m,0.4726,0.179,0.0054,0.0013,0,0.7661,0.3619,0.7663,0.2715,0.4636,0.7215,0,0,0,0,0,0,,,
flex_method,0.0119,0.0893,0.0014,0.0185,0.4679,0.1103,0.1231,0.1048,0.0282,0.2933,0.1047,0.0862,0.0285,0.0433,0,0,0,0,,
originality,0,0.0001,0.0018,0.0096,0.0074,0.0034,0.0038,0.0094,0.0249,0.0535,0.0076,0.7231,0.9871,0.8631,0.3422,0.3422,0.3422,0.5167,0,
fluency,0.4654,0.1752,0.011,0.0021,0.0006,0.5485,0.4311,0.4434,0.4074,0.1501,0.464,0,0,0,0,0,0,0,0.2445,0
