id,flex_1,flex_2,flex_method_avg
1087,3,3,2.25
1093,3,3,3.5
1094,1,1,4.75
1102,2,2,2.5
1104,1,1,2.75
1118,3,3,3.0
1121,3,3,4.5
1123,1,1,1.0
1129,1,1,2.0
1133,3,3,3.25
1138,3,3,2.0
1141,2,2,3.5
1147,3,3,2.25
1159,3,3,3.0
1162,3,3,2.75
1163,3,3,2.75
1174,2,2,2.75
1176,2,2,2.25
1180,1,1,4.5
1186,3,3,2.0
1192,3,3,3.5
1193,3,3,3.5
1194,2,2,3.0
1195,2,2,3.0
1205,1,1,1.75
1209,2,2,3.25
1221,4,4,3.75
1226,2,2,4.0
1228,2,2,4.0
1230,3,3,3.0
1258,2,2,3.75
1286,2,2,3.25
1320,3,3,2.75
1328,3,3,3.0
1330,3,3,2.5
1334,2,2,3.0
1347,2,2,4.0
1352,2,2,2.25
1362,2,2,3.75
1366,2,2,2.75
1367,3,3,4.75
1372,1,1,1.25
1373,3,3,3.25
1382,4,4,5.25
1402,2,2,2.75
1407,2,2,2.0
1413,2,2,2.75
1417,2,2,3.5
1425,2,2,3.25
1440,1,1,3.75
1442,4,4,4.25
1449,2,2,2.25
1450,2,2,2.0
1453,2,2,3.0
1458,1,1,2.75
1460,3,3,2.5
1461,3,3,4.75
1463,3,3,2.75
1464,3,3,3.5
1472,3,3,3.25
1488,2,2,3.0
1497,3,3,2.75
1500,2,2,3.0
1503,2,2,3.0
1506,1,1,3.75
1507,3,3,2.0
1511,3,3,2.75
1513,3,3,2.25
1514,3,3,4.75
1518,2,2,2.75
1525,2,2,4.5
1526,2,2,3.75
1527,2,2,2.25
1528,1,1,2.25
1531,2,2,2.5
1533,2,2,2.5
1543,3,3,4.25
1547,2,2,3.0
1551,3,3,3.5
1559,2,2,3.5
1563,2,2,2.75
1587,3,3,3.0
1598,2,2,2.0
1599,3,3,2.0
1603,3,3,3.0
1610,2,2,3.75
1614,2,2,2.0
1621,3,3,3.75
1622,4,4,3.0
