id,flex_1,flex_2,flex_method_avg
1087,4,4,4.25
1093,1,1,3.5
1094,3,3,2.75
1102,3,3,2.5
1104,2,2,1.5
1118,2,2,2.25
1121,1,1,2.0
1123,3,3,4.25
1129,1,1,2.0
1133,3,3,4.25
1138,3,3,3.0
1141,2,2,4.5
1147,2,2,2.5
1159,3,3,3.25
1162,1,1,2.25
1163,1,1,1.0
1174,1,1,2.0
1176,3,3,3.0
1180,2,2,4.0
1186,2,2,4.75
1192,2,2,3.75
1193,2,2,2.75
1194,3,3,4.25
1195,3,3,2.75
1205,2,2,2.5
1209,2,2,2.5
1221,2,2,3.0
1226,1,1,4.0
1228,2,2,4.5
1230,1,1,3.0
1258,2,2,2.75
1286,1,1,2.5
1320,2,2,2.25
1328,2,2,3.75
1330,2,2,2.75
1334,1,1,2.5
1347,2,2,4.0
1352,2,2,3.0
1362,1,1,2.25
1366,3,3,3.25
1367,3,3,3.5
1372,2,2,3.5
1373,2,2,3.75
1382,3,3,4.5
1402,1,1,2.0
1407,4,4,3.0
1413,1,1,4.5
1417,3,3,3.0
1425,2,2,3.75
1440,1,1,3.75
1442,4,4,3.0
1449,2,2,3.0
1450,1,1,4.25
1453,2,2,3.0
1458,1,1,3.0
1460,3,3,2.5
1461,1,1,2.25
1463,4,4,5.25
1464,1,1,2.75
1466,2,2,3.5
1472,2,2,3.0
1488,1,1,4.0
1497,3,3,3.0
1500,2,2,3.5
1503,2,2,3.5
1506,1,1,2.0
1507,2,2,3.25
1511,3,3,2.5
1513,2,2,3.75
1514,2,2,3.0
1518,1,1,2.75
1525,1,1,3.5
1526,1,1,3.25
1527,2,2,3.75
1528,1,1,2.0
1531,2,2,4.25
1533,1,1,3.75
1543,3,3,4.5
1547,2,2,2.75
1551,1,1,3.0
1559,2,2,4.5
1563,1,1,3.75
1587,3,3,4.5
1598,2,2,2.5
1599,2,2,4.5
1603,2,2,3.25
1610,2,2,2.75
1614,1,1,2.75
1621,1,1,3.5
1622,3,3,4.0
