id,flex_1,flex_2,flex_method_avg
1087,3,3,4.25
1093,1,1,3.0
1094,1,1,3.75
1102,3,3,3.25
1104,2,2,2.75
1118,2,2,3.0
1121,2,2,4.0
1123,3,3,3.5
1129,2,2,3.25
1133,2,2,3.5
1138,3,3,3.25
1141,2,2,4.0
1147,3,3,4.25
1159,3,3,4.5
1162,2,2,2.25
1163,1,1,2.0
1174,2,2,2.5
1176,2,2,3.25
1180,1,1,4.5
1186,3,3,3.5
1192,2,2,5.0
1193,2,2,2.5
1194,2,2,4.25
1195,2,2,4.0
1205,2,2,1.5
1209,2,2,4.25
1221,2,2,3.25
1226,2,2,3.75
1228,1,1,3.25
1230,2,2,2.25
1258,2,2,2.5
1286,2,2,4.0
1320,3,3,2.0
1328,2,2,3.75
1330,2,2,2.25
1334,2,2,3.25
1347,2,2,3.75
1352,3,3,3.0
1362,1,1,1.75
1366,2,2,3.25
1367,3,3,1.75
1372,1,1,2.75
1373,2,2,3.75
1382,3,3,4.5
1402,1,1,2.0
1407,3,3,2.25
1413,2,2,2.75
1417,3,3,4.25
1425,1,1,2.0
1440,1,1,2.75
1442,2,2,3.75
1449,2,2,2.75
1450,2,2,4.5
1453,1,1,2.5
1458,2,2,3.5
1460,2,2,3.25
1461,3,3,4.75
1463,2,2,2.5
1466,2,2,2.75
1472,2,2,3.0
1488,4,4,4.5
1497,2,2,2.0
1500,2,2,3.75
1503,2,2,2.0
1506,1,1,2.0
1507,1,1,1.0
1511,2,2,3.0
1513,2,2,2.75
1514,2,2,4.75
1518,2,2,2.25
1525,2,2,3.0
1526,1,1,3.0
1527,3,3,3.25
1528,2,2,2.75
1531,2,2,3.5
1533,1,1,1.75
1543,2,2,2.25
1547,1,1,3.5
1551,1,1,3.0
1559,3,3,3.75
1563,2,2,3.5
1587,1,1,3.5
1598,1,1,2.0
1599,3,3,3.75
1603,3,3,2.75
1610,2,2,3.75
1614,2,2,3.0
1621,1,1,3.75
1622,3,3,3.5
