id,flex_1,flex_2,flex_method_avg
1087,2,2,3.75
1093,3,3,2.75
1094,1,1,3.0
1102,2,2,2.25
1104,2,2,1.75
1118,3,3,2.5
1121,1,1,2.5
1123,2,2,2.25
1129,1,1,2.75
1133,3,3,2.75
1138,1,1,1.0
1141,2,2,3.75
1147,2,2,2.0
1159,2,2,2.75
1162,1,1,3.0
1163,1,1,2.25
1174,1,1,1.5
1176,2,2,3.0
1180,2,2,2.75
1186,5,5,4.75
1192,2,2,2.75
1193,2,2,3.0
1194,1,1,3.0
1195,3,3,3.5
1205,2,2,3.75
1209,3,3,3.0
1221,3,3,3.75
1226,3,3,5.5
1228,3,3,3.25
1230,2,2,3.25
1258,3,3,2.25
1286,3,3,2.75
1320,2,2,4.0
1328,2,2,3.75
1330,3,3,2.0
1334,1,1,2.75
1347,4,4,5.0
1352,2,2,4.0
1362,2,2,2.5
1366,1,1,2.0
1367,3,3,4.25
1372,1,1,3.0
1373,2,2,3.0
1382,2,2,3.0
1402,1,1,2.5
1407,1,1,1.0
1413,3,3,3.25
1417,3,3,3.0
1425,1,1,3.0
1440,1,1,3.5
1442,3,3,4.25
1449,2,2,2.75
1450,2,2,2.0
1453,1,1,2.75
1458,1,1,2.5
1460,3,3,1.75
1461,3,3,3.25
1463,4,4,2.25
1464,1,1,3.25
1466,1,1,1.75
1472,2,2,3.0
1488,3,3,3.5
1497,1,1,2.75
1500,1,1,3.0
1503,2,2,3.0
1506,1,1,2.25
1507,2,2,3.0
1511,2,2,3.75
1513,1,1,3.75
1514,4,4,4.5
1518,2,2,3.5
1525,1,1,2.5
1526,3,3,3.5
1527,1,1,3.0
1528,1,1,3.0
1531,2,2,3.75
1533,1,1,3.0
1543,3,3,2.5
1547,1,1,3.0
1551,2,2,2.0
1559,3,3,4.5
1563,1,1,2.5
1587,4,4,4.0
1598,1,1,3.0
1599,2,2,2.0
1603,2,2,2.0
1610,1,1,4.25
1614,2,2,3.5
1621,1,1,3.5
1622,3,3,2.25
