id,flex_1,flex_2,flex_method_avg
1087,4,4,3.0
1093,2,2,2.5
1094,1,1,2.75
1102,2,2,2.75
1104,3,3,3.0
1118,5,5,4.25
1121,2,2,2.25
1123,2,2,2.25
1129,1,1,1.0
1133,3,3,3.75
1138,2,2,2.0
1141,4,4,5.5
1147,2,2,2.0
1159,2,2,3.75
1162,2,2,3.0
1163,2,2,2.75
1174,2,2,2.0
1176,3,3,2.25
1180,2,2,4.75
1186,2,2,2.75
1192,3,3,3.25
1193,3,3,3.25
1194,3,3,3.75
1195,3,3,3.5
1205,2,2,1.5
1209,2,2,2.25
1221,3,3,4.5
1226,3,3,3.0
1228,3,3,2.75
1230,2,2,3.0
1258,3,3,3.25
1286,2,2,2.25
1320,2,2,3.5
1328,3,3,4.75
1330,4,4,3.5
1334,2,2,2.75
1347,2,2,4.0
1352,2,2,2.0
1362,2,2,2.75
1366,3,3,2.5
1367,3,3,1.75
1372,3,3,2.5
1373,3,3,2.0
1382,3,3,3.5
1402,1,1,1.75
1407,2,2,2.0
1413,2,2,2.75
1417,3,3,3.0
1425,2,2,2.0
1440,2,2,2.5
1442,2,2,4.25
1449,2,2,2.75
1450,1,1,1.0
1453,2,2,3.25
1458,2,2,2.0
1460,3,3,1.5
1461,3,3,2.75
1463,3,3,2.75
1464,3,3,2.75
1466,2,2,2.75
1472,3,3,3.5
1488,3,3,3.5
1497,3,3,2.5
1500,3,3,4.25
1503,2,2,2.75
1506,2,2,2.0
1507,4,4,3.5
1511,2,2,3.0
1513,3,3,3.5
1514,3,3,3.25
1518,2,2,3.5
1525,1,1,2.5
1526,2,2,4.0
1527,2,2,2.75
1528,2,2,2.75
1531,3,3,3.0
1533,2,2,2.5
1543,3,3,4.75
1547,2,2,2.25
1551,2,2,2.25
1559,3,3,3.75
1563,3,3,3.0
1587,4,4,4.5
1598,2,2,1.75
1599,2,2,2.5
1603,2,2,2.75
1610,2,2,5.0
1614,2,2,3.0
1621,2,2,2.0
1622,4,4,2.0
