id,flex_1,flex_2,flex_method_avg
1087,4,4,2.75
1093,3,3,2.5
1094,3,3,3.25
1102,2,2,3.25
1104,2,2,2.0
1118,2,2,3.0
1121,2,2,2.5
1123,1,1,2.5
1129,2,2,2.75
1133,2,2,3.25
1138,3,3,2.0
1141,3,3,3.5
1147,2,2,4.5
1159,3,3,3.75
1162,2,2,4.25
1163,2,2,2.75
1174,2,2,2.0
1176,2,2,3.25
1180,3,3,3.75
1186,4,4,4.5
1192,2,2,3.25
1193,2,2,4.25
1194,2,2,3.25
1195,2,2,2.75
1205,1,1,1.0
1209,2,2,2.5
1221,3,3,4.25
1226,2,2,4.0
1228,3,3,3.75
1230,2,2,3.5
1258,2,2,2.0
1286,2,2,3.0
1320,3,3,2.5
1328,2,2,2.75
1330,3,3,4.0
1334,2,2,3.75
1347,2,2,3.0
1352,2,2,2.5
1362,2,2,3.0
1366,3,3,4.25
1367,2,2,3.0
1372,2,2,2.5
1373,2,2,4.75
1382,3,3,4.0
1402,2,2,2.5
1407,2,2,2.0
1413,2,2,3.75
1417,3,3,3.25
1425,3,3,4.5
1440,2,2,2.25
1442,2,2,5.0
1449,3,3,3.75
1450,2,2,2.0
1453,2,2,3.0
1458,1,1,1.75
1460,4,4,2.5
1461,4,4,3.5
1463,3,3,1.75
1464,2,2,4.0
1466,2,2,3.5
1472,3,3,3.5
1488,1,1,2.25
1497,3,3,3.0
1500,2,2,2.0
1503,2,2,3.0
1506,2,2,3.25
1507,4,4,1.5
1511,4,4,1.5
1513,2,2,3.25
1514,2,2,3.25
1518,4,4,2.75
1525,3,3,4.25
1526,2,2,2.75
1527,2,2,3.5
1528,2,2,2.5
1531,2,2,2.75
1533,1,1,1.75
1543,3,3,3.75
1547,2,2,4.0
1551,1,1,2.75
1559,2,2,3.75
1563,1,1,2.0
1587,3,3,3.5
1598,2,2,1.5
1599,3,3,4.0
1603,3,3,2.75
1610,1,1,3.5
1614,2,2,2.0
1621,2,2,3.75
1622,4,4,2.0
