id,flex_1,flex_2,flex_method_avg
1087,3,3,3.0
1093,3,3,3.25
1094,3,3,2.75
1102,3,3,3.75
1104,3,3,3.0
1118,3,3,3.0
1121,3,3,3.0
1123,3,3,3.25
1129,2,2,2.0
1133,3,3,4.0
1138,2,2,2.25
1141,3,3,3.5
1147,3,3,2.0
1159,4,4,3.0
1162,3,3,2.25
1163,2,2,1.75
1174,3,3,1.75
1176,2,2,2.0
1180,4,4,3.25
1186,2,2,1.75
1192,2,2,2.0
1193,3,3,4.5
1194,3,3,3.5
1195,3,3,1.0
1205,2,2,3.0
1209,3,3,3.5
1221,2,2,2.5
1226,2,2,3.25
1228,3,3,2.75
1230,4,4,3.25
1258,2,2,4.25
1286,3,3,2.0
1320,2,2,2.25
1328,3,3,3.5
1330,3,3,2.5
1334,2,2,1.75
1347,3,3,3.25
1352,1,1,2.0
1362,2,2,2.0
1366,3,3,4.0
1367,2,2,1.5
1372,2,2,2.0
1373,4,4,3.25
1382,3,3,3.25
1402,1,1,1.0
1407,4,4,2.25
1413,3,3,3.75
1417,3,3,2.5
1425,1,1,2.0
1440,2,2,2.75
1442,3,3,2.75
1449,2,2,2.5
1450,2,2,2.0
1453,2,2,3.25
1458,1,1,3.25
1460,3,3,3.75
1461,3,3,2.25
1463,1,1,2.75
1464,3,3,3.0
1466,2,2,2.0
1472,4,4,2.75
1488,2,2,2.5
1497,3,3,2.25
1500,3,3,2.75
1503,2,2,2.5
1506,2,2,2.75
1507,3,3,2.5
1511,4,4,4.25
1513,2,2,1.5
1514,3,3,3.0
1518,1,1,1.75
1525,3,3,2.5
1526,3,3,1.25
1527,2,2,2.0
1528,3,3,3.25
1531,3,3,2.5
1533,3,3,3.5
1543,4,4,3.5
1547,3,3,2.75
1551,2,2,2.5
1559,2,2,4.5
1563,3,3,3.25
1587,2,2,2.25
1598,1,1,1.0
1599,3,3,2.25
1603,2,2,2.5
1610,3,3,2.5
1614,1,1,1.0
1621,2,2,2.75
1622,4,4,3.5
