id,flex_1,flex_2,flex_m,flex_method
1087,3,3,3.0,3
1093,2,2,2.0,2
1094,2,2,2.0,2
1102,3,3,3.0,2
1104,1,1,1.0,2
1118,2,2,2.0,1
1121,2,2,2.0,3
1123,2,2,2.0,2
1129,1,1,1.0,1
1133,3,3,3.0,3
1138,3,3,3.0,1
1141,2,2,2.0,2
1147,3,3,3.0,4
1159,2,2,2.0,3
1162,2,2,2.0,1
1163,1,1,1.0,2
1174,2,2,2.0,2
1176,3,3,3.0,3
1180,1,1,1.0,2
1186,3,3,3.0,3
1192,2,2,2.0,3
1193,3,3,3.0,2
1194,2,2,2.0,2
1195,2,2,2.0,4
1205,1,1,1.0,3
1209,3,3,3.0,6
1221,2,2,2.0,3
1226,3,3,3.0,3
1228,3,3,3.0,2
1230,2,2,2.0,2
1258,1,1,1.0,3
1286,2,2,2.0,1
1320,2,2,2.0,1
1328,1,1,1.0,4
1330,2,2,2.0,3
1334,1,1,1.0,2
1347,3,3,3.0,5
1352,1,1,1.0,1
1362,1,1,1.0,1
1366,1,1,1.0,1
1367,1,1,1.0,1
1372,2,2,2.0,3
1373,2,2,2.0,3
1382,3,3,3.0,4
1402,1,1,1.0,3
1407,2,2,2.0,2
1413,2,2,2.0,1
1417,2,2,2.0,3
1425,2,2,2.0,2
1440,3,3,3.0,3
1442,3,3,3.0,5
1449,2,2,2.0,2
1450,1,1,1.0,3
1453,1,1,1.0,1
1458,2,2,2.0,2
1460,3,3,3.0,4
1461,3,3,3.0,4
1463,2,2,2.0,4
1464,1,1,1.0,2
1466,1,1,1.0,4
1472,3,3,3.0,2
1488,3,3,3.0,5
1497,2,2,2.0,2
1500,2,2,2.0,3
1503,2,2,2.0,3
1506,2,2,2.0,3
1507,1,1,1.0,2
1511,2,2,2.0,4
1513,2,2,2.0,2
1514,2,2,2.0,4
1518,2,2,2.0,4
1525,2,2,2.0,4
1526,2,2,2.0,2
1527,2,2,2.0,3
1528,2,2,2.0,3
1531,2,2,2.0,2
1533,2,2,2.0,4
1543,4,4,4.0,4
1547,1,1,1.0,2
1551,2,2,2.0,2
1559,1,1,1.0,2
1563,1,1,1.0,3
1587,2,2,2.0,3
1598,2,2,2.0,2
1599,1,1,1.0,3
1603,2,2,2.0,3
1610,2,2,2.0,3
1614,2,2,2.0,2
1621,1,1,1.0,2
