id,flex_1,flex_2,flex_m,flex_method
1087,3,3,3.0,2
1093,3,3,3.0,5
1094,1,1,1.0,5
1102,2,2,2.0,2
1104,1,1,1.0,3
1118,3,3,3.0,3
1121,3,3,3.0,5
1123,1,1,1.0,1
1129,1,1,1.0,2
1133,3,3,3.0,4
1138,3,3,3.0,4
1141,2,2,2.0,4
1147,3,3,3.0,3
1159,3,3,3.0,2
1162,3,3,3.0,3
1163,3,3,3.0,3
1174,2,2,2.0,3
1176,2,2,2.0,3
1180,1,1,1.0,4
1186,3,3,3.0,4
1192,3,3,3.0,4
1193,3,3,3.0,4
1194,2,2,2.0,4
1195,2,2,2.0,4
1205,1,1,1.0,3
1209,2,2,2.0,4
1221,4,4,4.0,5
1226,2,2,2.0,6
1228,2,2,2.0,4
1230,3,3,3.0,3
1258,2,2,2.0,4
1286,2,2,2.0,3
1320,3,3,3.0,3
1328,3,3,3.0,3
1330,3,3,3.0,3
1334,2,2,2.0,3
1347,2,2,2.0,5
1352,2,2,2.0,3
1362,2,2,2.0,4
1366,2,2,2.0,2
1367,3,3,3.0,5
1372,1,1,1.0,2
1373,3,3,3.0,5
1382,4,4,4.0,6
1402,2,2,2.0,3
1407,2,2,2.0,2
1413,2,2,2.0,4
1417,2,2,2.0,3
1425,2,2,2.0,4
1440,1,1,1.0,4
1442,4,4,4.0,5
1449,2,2,2.0,2
1450,2,2,2.0,2
1453,2,2,2.0,2
1458,1,1,1.0,3
1460,3,3,3.0,3
1461,3,3,3.0,5
1463,3,3,3.0,2
1464,3,3,3.0,4
1472,3,3,3.0,4
1488,2,2,2.0,2
1497,3,3,3.0,3
1500,2,2,2.0,3
1503,2,2,2.0,3
1506,1,1,1.0,3
1507,3,3,3.0,2
1511,3,3,3.0,4
1513,3,3,3.0,2
1514,3,3,3.0,4
1518,2,2,2.0,3
1525,2,2,2.0,5
1526,2,2,2.0,4
1527,2,2,2.0,3
1528,1,1,1.0,3
1531,2,2,2.0,2
1533,2,2,2.0,3
1543,3,3,3.0,5
1547,2,2,2.0,3
1551,3,3,3.0,4
1559,2,2,2.0,4
1563,2,2,2.0,3
1587,3,3,3.0,4
1598,2,2,2.0,3
1599,3,3,3.0,2
1603,3,3,3.0,3
1610,2,2,2.0,5
1614,2,2,2.0,2
1621,3,3,3.0,5
1622,4,4,4.0,3
