id,flex_1,flex_2,flex_m,flex_method
1087,4,4,4.0,3
1093,1,1,1.0,3
1094,3,3,3.0,3
1102,3,3,3.0,2
1104,2,2,2.0,2
1118,2,2,2.0,2
1121,1,1,1.0,2
1123,3,3,3.0,4
1129,1,1,1.0,2
1133,3,3,3.0,3
1138,3,3,3.0,3
1141,2,2,2.0,5
1147,2,2,2.0,3
1159,3,3,3.0,3
1162,1,1,1.0,3
1163,1,1,1.0,1
1174,1,1,1.0,2
1176,3,3,3.0,3
1180,2,2,2.0,3
1186,2,2,2.0,3
1192,2,2,2.0,4
1193,2,2,2.0,3
1194,3,3,3.0,3
1195,3,3,3.0,3
1205,2,2,2.0,3
1209,2,2,2.0,3
1221,2,2,2.0,2
1226,1,1,1.0,3
1228,2,2,2.0,3
1230,1,1,1.0,3
1258,2,2,2.0,3
1286,1,1,1.0,3
1320,2,2,2.0,3
1328,2,2,2.0,4
1330,2,2,2.0,4
1334,1,1,1.0,3
1347,2,2,2.0,3
1352,2,2,2.0,4
1362,1,1,1.0,3
1366,3,3,3.0,4
1367,3,3,3.0,4
1372,2,2,2.0,2
1373,2,2,2.0,4
1382,3,3,3.0,4
1402,1,1,1.0,2
1407,4,4,4.0,3
1413,1,1,1.0,3
1417,3,3,3.0,5
1425,2,2,2.0,3
1440,1,1,1.0,3
1442,4,4,4.0,2
1449,2,2,2.0,3
1450,1,1,1.0,4
1453,2,2,2.0,4
1458,1,1,1.0,2
1460,3,3,3.0,3
1461,1,1,1.0,2
1463,4,4,4.0,4
1464,1,1,1.0,3
1466,2,2,2.0,3
1472,2,2,2.0,3
1488,1,1,1.0,4
1497,3,3,3.0,3
1500,2,2,2.0,4
1503,2,2,2.0,3
1506,1,1,1.0,2
1507,2,2,2.0,3
1511,3,3,3.0,2
1513,2,2,2.0,3
1514,2,2,2.0,2
1518,1,1,1.0,3
1525,1,1,1.0,3
1526,1,1,1.0,3
1527,2,2,2.0,3
1528,1,1,1.0,2
1531,2,2,2.0,3
1533,1,1,1.0,3
1543,3,3,3.0,3
1547,2,2,2.0,3
1551,1,1,1.0,3
1559,2,2,2.0,4
1563,1,1,1.0,3
1587,3,3,3.0,4
1598,2,2,2.0,3
1599,2,2,2.0,3
1603,2,2,2.0,3
1610,2,2,2.0,4
1614,1,1,1.0,3
1621,1,1,1.0,3
1622,3,3,3.0,2
