id,flex_1,flex_2,flex_m,flex_method
1087,3,3,3.0,5
1093,1,1,1.0,3
1094,1,1,1.0,4
1102,3,3,3.0,3
1104,2,2,2.0,2
1118,2,2,2.0,2
1121,2,2,2.0,5
1123,3,3,3.0,3
1129,2,2,2.0,4
1133,2,2,2.0,4
1138,3,3,3.0,4
1141,2,2,2.0,5
1147,3,3,3.0,3
1159,3,3,3.0,5
1162,2,2,2.0,3
1163,1,1,1.0,2
1174,2,2,2.0,2
1176,2,2,2.0,3
1180,1,1,1.0,5
1186,3,3,3.0,5
1192,2,2,2.0,4
1193,2,2,2.0,4
1194,2,2,2.0,4
1195,2,2,2.0,3
1205,2,2,2.0,2
1209,2,2,2.0,2
1221,2,2,2.0,3
1226,2,2,2.0,5
1228,1,1,1.0,4
1230,2,2,2.0,2
1258,2,2,2.0,3
1286,2,2,2.0,3
1320,3,3,3.0,1
1328,2,2,2.0,3
1330,2,2,2.0,2
1334,2,2,2.0,3
1347,2,2,2.0,3
1352,3,3,3.0,2
1362,1,1,1.0,2
1366,2,2,2.0,3
1367,3,3,3.0,2
1372,1,1,1.0,3
1373,2,2,2.0,4
1382,3,3,3.0,4
1402,1,1,1.0,3
1407,3,3,3.0,2
1413,2,2,2.0,2
1417,3,3,3.0,5
1425,1,1,1.0,2
1440,1,1,1.0,3
1442,2,2,2.0,4
1449,2,2,2.0,2
1450,2,2,2.0,4
1453,1,1,1.0,3
1458,2,2,2.0,3
1460,2,2,2.0,2
1461,3,3,3.0,5
1463,2,2,2.0,2
1466,2,2,2.0,3
1472,2,2,2.0,2
1488,4,4,4.0,4
1497,2,2,2.0,2
1500,2,2,2.0,4
1503,2,2,2.0,2
1506,1,1,1.0,2
1507,1,1,1.0,1
1511,2,2,2.0,4
1513,2,2,2.0,3
1514,2,2,2.0,6
1518,2,2,2.0,2
1525,2,2,2.0,3
1526,1,1,1.0,3
1527,3,3,3.0,3
1528,2,2,2.0,3
1531,2,2,2.0,2
1533,1,1,1.0,3
1543,2,2,2.0,2
1547,1,1,1.0,4
1551,1,1,1.0,3
1559,3,3,3.0,4
1563,2,2,2.0,4
1587,1,1,1.0,3
1598,1,1,1.0,2
1599,3,3,3.0,3
1603,3,3,3.0,3
1610,2,2,2.0,4
1614,2,2,2.0,3
1621,1,1,1.0,3
1622,3,3,3.0,2
