id,flex_1,flex_2,flex_m,flex_method
1087,4,4,4.0,2
1093,2,2,2.0,3
1094,1,1,1.0,2
1102,2,2,2.0,4
1104,3,3,3.0,3
1118,5,5,5.0,3
1121,2,2,2.0,2
1123,2,2,2.0,3
1129,1,1,1.0,1
1133,3,3,3.0,3
1138,2,2,2.0,2
1141,4,4,4.0,5
1147,2,2,2.0,3
1159,2,2,2.0,2
1162,2,2,2.0,3
1163,2,2,2.0,4
1174,2,2,2.0,2
1176,3,3,3.0,2
1180,2,2,2.0,3
1186,2,2,2.0,2
1192,3,3,3.0,3
1193,3,3,3.0,4
1194,3,3,3.0,5
1195,3,3,3.0,3
1205,2,2,2.0,1
1209,2,2,2.0,4
1221,3,3,3.0,3
1226,3,3,3.0,2
1228,3,3,3.0,3
1230,2,2,2.0,2
1258,3,3,3.0,3
1286,2,2,2.0,2
1320,2,2,2.0,3
1328,3,3,3.0,4
1330,4,4,4.0,3
1334,2,2,2.0,4
1347,2,2,2.0,3
1352,2,2,2.0,2
1362,2,2,2.0,3
1366,3,3,3.0,3
1367,3,3,3.0,1
1372,3,3,3.0,2
1373,3,3,3.0,2
1382,3,3,3.0,5
1402,1,1,1.0,2
1407,2,2,2.0,2
1413,2,2,2.0,2
1417,3,3,3.0,2
1425,2,2,2.0,2
1440,2,2,2.0,4
1442,2,2,2.0,4
1449,2,2,2.0,2
1450,1,1,1.0,1
1453,2,2,2.0,2
1458,2,2,2.0,2
1460,3,3,3.0,2
1461,3,3,3.0,3
1463,3,3,3.0,4
1464,3,3,3.0,4
1466,2,2,2.0,2
1472,3,3,3.0,4
1488,3,3,3.0,2
1497,3,3,3.0,2
1500,3,3,3.0,3
1503,2,2,2.0,3
1506,2,2,2.0,2
1507,4,4,4.0,3
1511,2,2,2.0,4
1513,3,3,3.0,2
1514,3,3,3.0,3
1518,2,2,2.0,3
1525,1,1,1.0,2
1526,2,2,2.0,2
1527,2,2,2.0,2
1528,2,2,2.0,2
1531,3,3,3.0,2
1533,2,2,2.0,2
1543,3,3,3.0,5
1547,2,2,2.0,4
1551,2,2,2.0,2
1559,3,3,3.0,3
1563,3,3,3.0,3
1587,4,4,4.0,3
1598,2,2,2.0,2
1599,2,2,2.0,2
1603,2,2,2.0,2
1610,2,2,2.0,4
1614,2,2,2.0,4
1621,2,2,2.0,1
1622,4,4,4.0,2
