id,flex_1,flex_2,flex_m,flex_method
1087,4,4,4.0,3
1093,3,3,3.0,3
1094,3,3,3.0,3
1102,2,2,2.0,4
1104,2,2,2.0,3
1118,2,2,2.0,4
1121,2,2,2.0,3
1123,1,1,1.0,2
1129,2,2,2.0,2
1133,2,2,2.0,2
1138,3,3,3.0,4
1141,3,3,3.0,5
1147,2,2,2.0,4
1159,3,3,3.0,4
1162,2,2,2.0,3
1163,2,2,2.0,3
1174,2,2,2.0,2
1176,2,2,2.0,3
1180,3,3,3.0,3
1186,4,4,4.0,4
1192,2,2,2.0,3
1193,2,2,2.0,4
1194,2,2,2.0,3
1195,2,2,2.0,2
1205,1,1,1.0,1
1209,2,2,2.0,2
1221,3,3,3.0,3
1226,2,2,2.0,2
1228,3,3,3.0,5
1230,2,2,2.0,3
1258,2,2,2.0,2
1286,2,2,2.0,2
1320,3,3,3.0,2
1328,2,2,2.0,2
1330,3,3,3.0,5
1334,2,2,2.0,4
1347,2,2,2.0,5
1352,2,2,2.0,1
1362,2,2,2.0,3
1366,3,3,3.0,4
1367,2,2,2.0,3
1372,2,2,2.0,1
1373,2,2,2.0,4
1382,3,3,3.0,4
1402,2,2,2.0,2
1407,2,2,2.0,2
1413,2,2,2.0,5
1417,3,3,3.0,2
1425,3,3,3.0,5
1440,2,2,2.0,2
1442,2,2,2.0,4
1449,3,3,3.0,2
1450,2,2,2.0,1
1453,2,2,2.0,4
1458,1,1,1.0,1
1460,4,4,4.0,4
1461,4,4,4.0,5
1463,3,3,3.0,3
1464,2,2,2.0,2
1466,2,2,2.0,3
1472,3,3,3.0,3
1488,1,1,1.0,3
1497,3,3,3.0,2
1500,2,2,2.0,2
1503,2,2,2.0,4
1506,2,2,2.0,3
1507,4,4,4.0,3
1511,4,4,4.0,3
1513,2,2,2.0,3
1514,2,2,2.0,3
1518,4,4,4.0,2
1525,3,3,3.0,5
1526,2,2,2.0,3
1527,2,2,2.0,3
1528,2,2,2.0,3
1531,2,2,2.0,3
1533,1,1,1.0,2
1543,3,3,3.0,4
1547,2,2,2.0,3
1551,1,1,1.0,2
1559,2,2,2.0,3
1563,1,1,1.0,2
1587,3,3,3.0,3
1598,2,2,2.0,1
1599,3,3,3.0,2
1603,3,3,3.0,1
1610,1,1,1.0,3
1614,2,2,2.0,3
1621,2,2,2.0,2
1622,4,4,4.0,3
