id,flex_1,flex_2,flex_m,flex_method
1087,3,3,3.0,3
1093,3,3,3.0,2
1094,3,3,3.0,2
1102,3,3,3.0,6
1104,3,3,3.0,2
1118,3,3,3.0,2
1121,3,3,3.0,2
1123,3,3,3.0,3
1129,2,2,2.0,2
1133,3,3,3.0,4
1138,2,2,2.0,1
1141,3,3,3.0,3
1147,3,3,3.0,1
1159,4,4,4.0,2
1162,3,3,3.0,1
1163,2,2,2.0,1
1174,3,3,3.0,1
1176,2,2,2.0,2
1180,4,4,4.0,2
1186,2,2,2.0,2
1192,2,2,2.0,2
1193,3,3,3.0,4
1194,3,3,3.0,3
1195,3,3,3.0,2
1205,2,2,2.0,3
1209,3,3,3.0,3
1221,2,2,2.0,1
1226,2,2,2.0,1
1228,3,3,3.0,2
1230,4,4,4.0,2
1258,2,2,2.0,3
1286,3,3,3.0,2
1320,2,2,2.0,1
1328,3,3,3.0,3
1330,3,3,3.0,2
1334,2,2,2.0,1
1347,3,3,3.0,3
1352,1,1,1.0,2
1362,2,2,2.0,1
1366,3,3,3.0,5
1367,2,2,2.0,2
1372,2,2,2.0,2
1373,4,4,4.0,3
1382,3,3,3.0,2
1402,1,1,1.0,1
1407,4,4,4.0,2
1413,3,3,3.0,4
1417,3,3,3.0,1
1425,1,1,1.0,2
1440,2,2,2.0,3
1442,3,3,3.0,4
1449,2,2,2.0,4
1450,2,2,2.0,1
1453,2,2,2.0,2
1458,1,1,1.0,3
1460,3,3,3.0,2
1461,3,3,3.0,1
1463,1,1,1.0,2
1464,3,3,3.0,3
1466,2,2,2.0,2
1472,4,4,4.0,5
1488,2,2,2.0,1
1497,3,3,3.0,1
1500,3,3,3.0,2
1503,2,2,2.0,3
1506,2,2,2.0,2
1507,3,3,3.0,1
1511,4,4,4.0,4
1513,2,2,2.0,1
1514,3,3,3.0,3
1518,1,1,1.0,2
1525,3,3,3.0,3
1526,3,3,3.0,1
1527,2,2,2.0,2
1528,3,3,3.0,3
1531,3,3,3.0,3
1533,3,3,3.0,3
1543,4,4,4.0,4
1547,3,3,3.0,1
1551,2,2,2.0,3
1559,2,2,2.0,4
1563,3,3,3.0,4
1587,2,2,2.0,1
1598,1,1,1.0,1
1599,3,3,3.0,1
1603,2,2,2.0,2
1610,3,3,3.0,2
1614,1,1,1.0,1
1621,2,2,2.0,2
1622,4,4,4.0,2
