id,fluency
1087,4
1093,8
1094,4
1102,7
1104,2
1118,4
1121,5
1123,6
1129,2
1133,8
1138,5
1141,5
1147,5
1159,6
1162,3
1163,4
1174,2
1176,4
1180,5
1186,8
1192,3
1193,7
1194,4
1195,5
1205,6
1209,7
1221,5
1226,7
1228,6
1230,5
1258,6
1286,3
1320,6
1328,5
1330,6
1334,8
1347,6
1352,2
1362,3
1366,5
1367,3
1372,3
1373,4
1382,7
1402,4
1407,3
1413,4
1417,4
1425,4
1440,5
1442,13
1449,8
1450,3
1453,3
1458,4
1460,6
1461,9
1463,5
1464,4
1466,5
1472,6
1488,6
1497,3
1500,6
1503,3
1506,5
1507,5
1511,6
1513,6
1514,6
1518,5
1525,5
1526,5
1527,3
1528,5
1531,4
1533,5
1543,9
1547,7
1551,3
1559,8
1563,3
1587,5
1598,3
1599,3
1603,5
1610,7
1614,3
1621,5
