id,fluency
1087,6
1093,7
1094,5
1102,4
1104,4
1118,5
1121,5
1123,1
1129,2
1133,6
1138,4
1141,4
1147,4
1159,5
1162,3
1163,3
1174,3
1176,4
1180,5
1186,9
1192,4
1193,7
1194,4
1195,6
1205,3
1209,5
1221,6
1226,6
1228,5
1230,5
1258,4
1286,4
1320,4
1328,5
1330,3
1334,4
1347,6
1352,3
1362,4
1366,4
1367,5
1372,2
1373,7
1382,7
1402,5
1407,2
1413,4
1417,4
1425,4
1440,4
1442,8
1449,5
1450,2
1453,4
1458,3
1460,4
1461,6
1463,6
1464,4
1472,6
1488,3
1497,3
1500,4
1503,3
1506,4
1507,4
1511,5
1513,3
1514,6
1518,3
1525,6
1526,5
1527,3
1528,4
1531,4
1533,3
1543,6
1547,3
1551,4
1559,6
1563,3
1587,6
1598,4
1599,3
1603,3
1610,6
1614,2
1621,7
1622,5
