id,fluency
1087,6
1093,5
1094,4
1102,6
1104,3
1118,5
1121,2
1123,10
1129,2
1133,6
1138,5
1141,6
1147,3
1159,5
1162,3
1163,1
1174,2
1176,4
1180,4
1186,6
1192,4
1193,4
1194,7
1195,5
1205,4
1209,3
1221,5
1226,5
1228,6
1230,4
1258,3
1286,4
1320,6
1328,4
1330,4
1334,4
1347,5
1352,4
1362,3
1366,6
1367,6
1372,4
1373,7
1382,8
1402,2
1407,4
1413,6
1417,6
1425,6
1440,7
1442,7
1449,3
1450,5
1453,5
1458,3
1460,5
1461,3
1463,6
1464,5
1466,4
1472,5
1488,8
1497,4
1500,4
1503,4
1506,2
1507,4
1511,4
1513,4
1514,6
1518,3
1525,5
1526,5
1527,5
1528,3
1531,5
1533,4
1543,9
1547,3
1551,4
1559,6
1563,5
1587,8
1598,3
1599,5
1603,5
1610,6
1614,4
1621,5
1622,14
