id,fluency
1087,6
1093,5
1094,5
1102,5
1104,5
1118,5
1121,6
1123,6
1129,5
1133,6
1138,5
1141,7
1147,7
1159,8
1162,4
1163,2
1174,3
1176,4
1180,6
1186,7
1192,6
1193,5
1194,7
1195,4
1205,3
1209,5
1221,5
1226,6
1228,6
1230,4
1258,3
1286,5
1320,7
1328,6
1330,4
1334,4
1347,9
1352,3
1362,3
1366,6
1367,5
1372,3
1373,7
1382,9
1402,3
1407,4
1413,4
1417,7
1425,2
1440,5
1442,9
1449,5
1450,5
1453,3
1458,5
1460,4
1461,7
1463,9
1466,3
1472,7
1488,8
1497,2
1500,5
1503,3
1506,3
1507,1
1511,4
1513,4
1514,7
1518,3
1525,3
1526,3
1527,4
1528,4
1531,6
1533,3
1543,8
1547,6
1551,3
1559,8
1563,4
1587,5
1598,3
1599,5
1603,4
1610,4
1614,5
1621,4
1622,6
