id,fluency
1087,4
1093,9
1094,4
1102,3
1104,3
1118,4
1121,5
1123,3
1129,3
1133,7
1138,2
1141,5
1147,2
1159,3
1162,3
1163,4
1174,2
1176,3
1180,4
1186,9
1192,3
1193,5
1194,3
1195,6
1205,4
1209,4
1221,6
1226,7
1228,5
1230,5
1258,5
1286,3
1320,4
1328,4
1330,3
1334,3
1347,9
1352,4
1362,4
1366,2
1367,5
1372,3
1373,3
1382,5
1402,3
1407,1
1413,5
1417,4
1425,4
1440,5
1442,7
1449,4
1450,2
1453,3
1458,3
1460,3
1461,7
1463,9
1464,4
1466,2
1472,5
1488,5
1497,3
1500,3
1503,3
1506,4
1507,3
1511,4
1513,5
1514,6
1518,6
1525,3
1526,6
1527,3
1528,3
1531,6
1533,3
1543,6
1547,3
1551,4
1559,7
1563,3
1587,8
1598,3
1599,2
1603,4
1610,5
1614,5
1621,4
1622,4
