id,fluency
1087,6
1093,6
1094,3
1102,9
1104,5
1118,6
1121,3
1123,7
1129,1
1133,6
1138,3
1141,7
1147,3
1159,5
1162,3
1163,4
1174,3
1176,3
1180,6
1186,7
1192,4
1193,7
1194,7
1195,5
1205,4
1209,5
1221,7
1226,4
1228,4
1230,5
1258,5
1286,3
1320,4
1328,7
1330,5
1334,4
1347,9
1352,2
1362,3
1366,3
1367,3
1372,5
1373,5
1382,9
1402,2
1407,2
1413,3
1417,5
1425,2
1440,6
1442,7
1449,4
1450,1
1453,5
1458,2
1460,3
1461,5
1463,9
1464,6
1466,3
1472,6
1488,5
1497,3
1500,5
1503,3
1506,2
1507,4
1511,6
1513,7
1514,6
1518,4
1525,3
1526,7
1527,4
1528,3
1531,5
1533,3
1543,9
1547,5
1551,3
1559,8
1563,3
1587,6
1598,2
1599,4
1603,5
1610,6
1614,4
1621,3
1622,7
