id,fluency
1087,6
1093,7
1094,5
1102,6
1104,4
1118,4
1121,4
1123,3
1129,3
1133,6
1138,5
1141,7
1147,9
1159,9
1162,6
1163,3
1174,2
1176,4
1180,9
1186,11
1192,4
1193,7
1194,4
1195,4
1205,1
1209,3
1221,9
1226,7
1228,6
1230,6
1258,5
1286,4
1320,4
1328,3
1330,6
1334,5
1347,7
1352,3
1362,4
1366,6
1367,5
1372,3
1373,8
1382,8
1402,3
1407,3
1413,7
1417,4
1425,7
1440,4
1442,8
1449,7
1450,2
1453,5
1458,3
1460,8
1461,11
1463,9
1464,6
1466,4
1472,8
1488,5
1497,4
1500,4
1503,5
1506,4
1507,6
1511,6
1513,6
1514,6
1518,5
1525,7
1526,6
1527,5
1528,3
1531,5
1533,2
1543,6
1547,5
1551,5
1559,6
1563,2
1587,6
1598,3
1599,6
1603,4
1610,4
1614,3
1621,7
1622,8
