id,fluency
1087,5
1093,5
1094,3
1102,6
1104,3
1118,3
1121,5
1123,6
1129,2
1133,6
1138,4
1141,5
1147,3
1159,5
1162,3
1163,3
1174,3
1176,2
1180,6
1186,4
1192,2
1193,8
1194,4
1195,5
1205,6
1209,4
1221,3
1226,6
1228,3
1230,7
1258,5
1286,3
1320,8
1328,6
1330,4
1334,2
1347,7
1352,3
1362,2
1366,6
1367,4
1372,2
1373,5
1382,7
1402,3
1407,4
1413,5
1417,4
1425,2
1440,3
1442,8
1449,5
1450,3
1453,5
1458,5
1460,5
1461,6
1463,4
1464,6
1466,2
1472,6
1488,4
1497,3
1500,3
1503,4
1506,3
1507,4
1511,6
1513,8
1514,6
1518,4
1525,4
1526,5
1527,3
1528,7
1531,7
1533,4
1543,7
1547,4
1551,3
1559,11
1563,5
1587,3
1598,1
1599,4
1603,4
1610,5
1614,2
1621,3
1622,9
