id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1094,to store things,store things,['store'],store,Box,box,0.10492,1.01635,1.07313,0.90745,0.94789,1.25812,1.04059,0.7557709241558564,0.8902919856354193,0.7557709241558564,0.7852482013744396,1,1,1.0
1094,to build a fort,build fort,"['build', 'fort']",build fort,Box,box,0.09326,1.02406,0.9625,0.99679,1.0124,1.12745,1.02464,0.9624971594332908,0.9127446161648437,0.9552828608841429,0.9396915510005851,3,4,3.5
1094,as an umbrella,umbrella,['umbrella'],umbrella,Box,box,-0.10172,0.79271,0.84168,0.86173,0.8421,0.95703,0.85905,0.8416807749757148,0.941492821656602,0.8416807749757148,0.8835211756746689,3,4,3.5
1094,to catch a bunny,catch bunny,"['catch', 'bunny']",catch bunny,Box,box,0.08421,0.9845,1.05335,1.00394,1.056,1.0595,1.03146,1.0533515479559281,0.941492821656602,0.99365430592607,0.8835211756746689,3,4,3.5
1093,standing on,standing,['standing'],standing,Box,box,-0.09459,0.7635000000000001,0.90615,0.94337,1.1616,0.79047,0.91302,0.9061510298282834,0.941492821656602,0.9061510298282834,0.8835211756746689,2,2,2.0
1093,putting items in,putting items,"['putting', 'item']",putting item,Box,box,0.12255,1.05612,1.02841,0.93182,0.92573,1.27109,1.04263,1.1275603106942886,0.8902919856354193,0.8860248194180089,0.8444835075112399,1,1,1.0
1093,opening,opening,['opening'],opening,Box,box,-0.1147,0.81137,0.85193,0.89674,0.84175,0.69811,0.81998,0.8519343958372797,0.941492821656602,0.8519343958372797,0.8835211756746689,1,1,1.0
1093,closing,closing,['closing'],closing,Box,box,-0.01685,0.89919,0.91007,0.95747,1.0403,0.87446,0.9363,0.9100657649092212,0.941492821656602,0.9100657649092212,0.8835211756746689,1,1,1.0
1093,cutting,cutting,['cutting'],cutting,Box,box,-0.05938,0.84921,0.8765000000000001,0.90192,1.09557,0.84783,0.91421,0.8764987195642143,0.941492821656602,0.8764987195642143,0.8835211756746689,1,2,1.5
1093,make a dollhouse,make dollhouse,['dollhouse'],dollhouse,Box,box,0.07547,1.02649,0.98441,1.10588,1.06289,0.74656,0.98525,0.7715587994164048,0.941492821656602,0.7715587994164048,0.8835211756746689,3,4,3.5
1093,fill,fill,['fill'],fill,Box,box,-0.11334,0.81187,0.86604,0.8681099999999999,0.86095,0.7223999999999999,0.82587,0.8660364683730172,0.941492821656602,0.8660364683730172,0.8835211756746689,1,1,1.0
1093,sleep in,sleep,['sleep'],sleep,Box,box,-0.00265,0.87143,1.01029,1.00564,1.11986,0.85834,0.97311,1.0102919892810767,0.9920113631427098,1.0102919892810767,0.9692593911655281,3,4,3.5
1159,sit in,sit,['sit'],sit,Box,box,-0.07772,0.77194,1.0229,0.93361,1.02038,0.79483,0.90873,1.0229004319508181,0.941492821656602,1.0229004319508181,1.0229004319508181,2,4,3.0
1159,play with,play,['play'],play,Box,box,-0.10313,0.79447,0.87274,0.93887,0.91243,0.74368,0.85244,0.8727390163238306,0.941492821656602,0.8727390163238306,0.9371335876212491,3,3,3.0
1159,break apart for other uses,break apart uses,"['break', 'apart', 'us']",break apart us,Box,box,0.03197,0.9796,1.00293,1.01131,0.95192,0.74954,0.93906,1.0401057548702612,0.941492821656602,0.9977936856172683,0.8835211756746689,3,3,3.0
