id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1094,to store things,store things,['store'],store,Box,box,0.10492,1.01635,1.07313,0.90745,0.94789,1.25812,1.04059,0.655994391725262,0.7889189344720345,0.655994391725262,0.7197208785812073,1,1,1.0
1094,to build a fort,build fort,"['build', 'fort']",build fort,Box,box,0.09326,1.02406,0.9625,0.99679,1.0124,1.12745,1.02464,1.1274451490966841,0.922205588161577,0.8579294989474235,0.8110143777081285,3,4,3.5
1094,as an umbrella,umbrella,['umbrella'],umbrella,Box,box,-0.10172,0.79271,0.84168,0.86173,0.8421,0.95703,0.85905,0.9570252990989966,0.8803843002800997,0.9570252990989966,0.824602754574286,3,4,3.5
1094,to catch a bunny,catch bunny,"['catch', 'bunny']",catch bunny,Box,box,0.08421,0.9845,1.05335,1.00394,1.056,1.0595,1.03146,1.0594963865473317,0.8803843002800997,0.9084626824401962,0.824602754574286,3,4,3.5
1093,standing on,standing,['standing'],standing,Box,box,-0.09459,0.7635000000000001,0.90615,0.94337,1.1616,0.79047,0.91302,0.790474852746631,0.8803843002800997,0.790474852746631,0.824602754574286,2,2,2.0
1093,putting items in,putting items,"['putting', 'item']",putting item,Box,box,0.12255,1.05612,1.02841,0.93182,0.92573,1.27109,1.04263,1.286346180377686,1.0442731017319207,0.7375785128353067,0.7197208785812073,1,1,1.0
1093,opening,opening,['opening'],opening,Box,box,-0.1147,0.81137,0.85193,0.89674,0.84175,0.69811,0.81998,0.6981057576766405,0.8803843002800997,0.6981057576766405,0.824602754574286,1,1,1.0
1093,closing,closing,['closing'],closing,Box,box,-0.01685,0.89919,0.91007,0.95747,1.0403,0.87446,0.9363,0.8744551464329827,0.8803843002800997,0.8744551464329827,0.824602754574286,1,1,1.0
1093,cutting,cutting,['cutting'],cutting,Box,box,-0.05938,0.84921,0.8765000000000001,0.90192,1.09557,0.84783,0.91421,0.8478284545155346,0.8803843002800997,0.8478284545155346,0.824602754574286,1,2,1.5
1093,make a dollhouse,make dollhouse,['dollhouse'],dollhouse,Box,box,0.07547,1.02649,0.98441,1.10588,1.06289,0.74656,0.98525,1.0088418889630577,0.8803843002800997,1.0088418889630577,1.0088418889630577,3,4,3.5
1093,fill,fill,['fill'],fill,Box,box,-0.11334,0.81187,0.86604,0.8681099999999999,0.86095,0.7223999999999999,0.82587,0.7224038944053233,0.8803843002800997,0.7224038944053233,0.824602754574286,1,1,1.0
1093,sleep in,sleep,['sleep'],sleep,Box,box,-0.00265,0.87143,1.01029,1.00564,1.11986,0.85834,0.97311,0.8583443587819517,0.9429775521409216,0.8583443587819517,0.8508002806127619,3,4,3.5
1159,sit in,sit,['sit'],sit,Box,box,-0.07772,0.77194,1.0229,0.93361,1.02038,0.79483,0.90873,0.7948305651743621,0.8803843002800997,0.7948305651743621,0.824602754574286,2,4,3.0
1159,play with,play,['play'],play,Box,box,-0.10313,0.79447,0.87274,0.93887,0.91243,0.74368,0.85244,0.743675261571187,1.0323272567511141,0.743675261571187,0.8009411338868613,3,3,3.0
