id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1159,to sit in,sit,['sit'],sit,Chair,chair,-0.30458,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,0.7102924667596069,0.7102924667596068,0.7102924667596069,0.7102924667596068,1,1,1.0
1159,to stand on top of,stand top,['stand'],stand,Chair,chair,0.21807,1.05905,1.02163,1.11245,0.9744,1.15397,1.0643,0.8316138969670727,0.9218453280739812,0.8316138969670727,0.8931903437013747,2,2,2.0
1159,to make a piece of art,make piece art,"['piece', 'art']",piece art,Chair,chair,0.07184,0.85759,0.97935,1.04098,0.98406,0.74543,0.92148,0.9687004515597495,0.9614435317501544,0.9067136149455942,0.9308020311508344,4,3,3.5
1159,to decorate,decorate,['decorate'],decorate,Chair,chair,0.03721,0.8584700000000001,0.85429,0.96212,1.01204,0.93484,0.92435,0.9621178872928517,0.9361043893354641,0.9621178872928517,0.9308020311508344,3,3,3.0
1159,to play with,play,['play'],play,Chair,chair,0.01482,0.7749699999999999,0.94431,0.94171,0.99802,0.86842,0.90549,0.9417134605931374,0.9075871613799845,0.9417134605931374,0.9705227589800598,3,3,3.0
1104,sitting on,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.5752900000000001,0.7072700000000001,0.43393,0.46723,0.53828,0.7072658062816448,0.7072658062816449,0.7072658062816448,0.7072658062816449,1,1,1.0
1104,weighing something down,weighing something,['weighing'],weighing,Chair,chair,0.16449,1.10142,1.0087,0.93607,0.87572,1.11534,1.00745,0.9788040417141368,0.9361043893354641,0.9788040417141368,0.9308020311508344,2,3,2.5
1104,building a fort,building fort,"['building', 'fort']",building fort,Chair,chair,0.11595,0.9504,1.02186,0.92591,0.96752,1.10965,0.99507,0.9259118445508756,0.9361043893354641,0.8946408046989518,0.9308020311508344,5,3,4.0
1093,sitting,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.5752900000000001,0.7072700000000001,0.43393,0.46723,0.53828,0.7072658062816448,0.7072658062816449,0.7072658062816448,0.7072658062816449,1,1,1.0
1093,standing,standing,['standing'],standing,Chair,chair,-0.18053,0.6584099999999999,0.75055,0.71419,0.9067,0.60756,0.72748,0.7141877470991613,0.9218453280739812,0.7141877470991613,0.9129513323871332,2,2,2.0
