id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1094,build a structure,build structure,"['build', 'structure']",build structure,Brick,brick,0.09817,1.04816,0.99066,1.0395,1.04503,1.11838,1.04835,1.0481636714473943,1.0393661007770452,0.7509902639169189,0.693725161126023,0.7509902639169189,1,1,1.0
1094,throw and break a window,throw break window,"['throw', 'break', 'window']",throw break window,Brick,brick,-0.00879,0.81308,0.96334,0.98875,0.95989,0.8006,0.90513,0.8130795028641215,0.9417312892927951,0.8090891840331176,0.7692151825104416,0.7319340187936914,3,2,2.5
1094,use as a stepping stool,use stepping stool,"['stepping', 'stool']",stepping stool,Brick,brick,-0.02285,0.95635,0.88973,0.93905,0.91332,0.8148299999999999,0.90266,1.01196721171593,0.8979845179974122,0.8350225076377215,0.8278670730953136,0.8161172028131468,3,3,3.0
1094,drop a brick over a small fire to snuff it out,drop brick small fire snuff,"['drop', 'brick', 'small', 'fire', 'snuff']",drop brick small fire snuff,Brick,brick,0.06749,0.66796,1.00688,1.05756,1.09136,1.21151,1.00705,0.6679551072910763,0.9117787477856516,0.9105392375828131,0.8278670730953136,0.7364217516992215,4,4,4.0
1094,as a hammer,hammer,['hammer'],hammer,Brick,brick,-0.10577,0.72563,0.84975,0.7923,0.97131,0.8950400000000001,0.84681,0.7256321295166184,0.8979845179974122,0.7256321295166184,0.8278670730953136,0.669381023768908,3,4,3.5
1093,building,building,['building'],building,Brick,brick,-0.36378,0.60702,0.70089,0.5403899999999999,0.4018699999999999,0.40225,0.53048,0.6070177461092493,0.6461799681895684,0.6070177461092493,0.6488275428828463,0.6070177461092493,1,1,1.0
1093,throwing,throwing,['throwing'],throwing,Brick,brick,-0.0513,0.7673099999999999,0.81881,0.93459,1.01815,0.8486400000000001,0.8775,0.7673147241021512,0.9004474697107553,0.7673147241021512,0.7454724070254014,0.7673147241021512,3,2,2.5
1093,propping a door open,propping door open,"['propping', 'door', 'open']",propping door open,Brick,brick,0.03985,0.85863,0.963,0.96261,1.06453,1.14105,0.99796,0.8586308571038115,0.8979845179974122,0.8707333495496578,0.832977898365827,0.669381023768908,2,3,2.5
1093,paving in a sidewalk,paving sidewalk,"['paving', 'sidewalk']",paving sidewalk,Brick,brick,0.05103,1.13007,1.04253,0.88947,0.91213,1.13592,1.02202,1.130066906096841,0.8979845179974122,0.7257372708844942,0.8278670730953136,0.6122341084874485,1,1,1.0
1093,engraving,engraving,['engraving'],engraving,Brick,brick,-0.06442,0.99669,0.81319,0.8385400000000001,0.99083,0.79655,0.88716,0.9966871691975037,0.8979845179974122,0.9966871691975037,0.8278670730953136,0.669381023768908,3,3,3.0
1093,collecting,collecting,['collecting'],collecting,Brick,brick,0.03393,0.91825,1.0145,0.96537,1.05133,0.94646,0.97918,0.9182544933046316,0.8979845179974122,0.9182544933046316,0.8278670730953136,0.669381023768908,5,4,4.5
1093,cook with charcoal bricks,cook charcoal bricks,"['cook', 'charcoal', 'brick']",cook charcoal brick,Brick,brick,-0.10474,0.83566,0.86116,0.86683,0.68971,0.74063,0.7988,0.7311931664875784,0.9517904298696244,0.8560848273868884,0.8278670730953136,0.7364217516992215,4,4,4.0
1159,Build,build,['build'],build,Brick,brick,-0.16209,0.68043,0.81555,0.80979,0.70277,0.69889,0.74149,0.6804298638907786,0.7362069810013294,0.6804298638907786,0.693725161126023,0.4997842981672692,2,1,1.5
1159,weapon,weapon,['weapon'],weapon,Brick,brick,0.01624,0.85011,0.96659,0.9662,1.03924,0.96281,0.95699,0.8501088672921583,0.8501088672921584,0.8501088672921583,0.8519367847916444,0.8501088672921583,3,3,3.0
1159,tool,tool,['tool'],tool,Brick,brick,-0.00474,0.90589,0.89268,0.9508,1.07559,0.85408,0.93581,0.9058903690279135,0.8979845179974122,0.9058903690279135,0.8278670730953136,0.669381023768908,3,2,2.5
1159,decoration,decoration,['decoration'],decoration,Brick,brick,-0.121,0.854,0.8456,0.7974600000000001,0.904,0.65896,0.812,0.8539980111905753,0.8979845179974122,0.8539980111905753,0.8278670730953136,0.669381023768908,4,3,3.5
1159,a way to communicate,way communicate,"['way', 'communicate']",way communicate,Brick,brick,0.00743,0.97536,0.93326,0.8709,0.97514,1.13914,0.97876,0.9753558962096014,0.8979845179974122,0.928713126640782,0.8278670730953136,0.669381023768908,5,5,5.0
1195,to break a window,break window,"['break', 'window']",break window,Brick,brick,0.04566,0.96992,0.9811,0.94302,0.99641,1.14205,1.0065,0.9699200528842894,0.9417312892927951,0.8090891840331176,0.8278670730953136,0.7319340187936914,2,2,2.0
1195,to build a house,build house,"['build', 'house']",build house,Brick,brick,0.03335,0.93854,0.90931,0.97466,0.93696,1.13338,0.97857,0.9385419423022568,0.9385419423022572,0.6804298638907786,0.693725161126023,0.6804298638907786,1,1,1.0
1195,to fix something,fix something,['fix'],fix,Brick,brick,0.07633,1.00391,1.02345,1.0214,0.91939,1.10167,1.01396,0.7851295900042671,0.8979845179974122,0.7851295900042671,0.8278670730953136,0.669381023768908,3,3,3.0
1195,to sit on,sit,['sit'],sit,Brick,brick,-0.0296,0.7834,0.99287,0.89576,1.071,0.82878,0.91436,0.7834006824812347,0.8979845179974122,0.7834006824812347,0.8278670730953136,0.669381023768908,3,3,3.0
1195,as sandpaper,sandpaper,['sandpaper'],sandpaper,Brick,brick,-0.09983,0.78588,0.80447,0.78287,0.98977,0.95244,0.86309,0.7858783448486693,0.8979845179974122,0.7858783448486693,0.8278670730953136,0.669381023768908,3,4,3.5
