id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1159,to sit in,sit,['sit'],sit,Chair,chair,-0.30458,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,0.5245882846048188,0.5245882846048183,0.5245882846048188,0.5245882846048183,0.5245882846048188,1,1,1.0
1159,to stand on top of,stand top,['stand'],stand,Chair,chair,0.21807,1.05905,1.02163,1.11245,0.9744,1.15397,1.0643,0.6831214491310242,0.7550293534115584,0.6831214491310242,0.7921728777651129,0.5076890280854376,2,2,2.0
1159,to make a piece of art,make piece art,"['piece', 'art']",piece art,Chair,chair,0.07184,0.85759,0.97935,1.04098,0.98406,0.74543,0.92148,0.9804562736499817,0.9316806901403614,0.9154221623038212,0.8496170040697569,0.7512338141291093,4,3,3.5
1159,to decorate,decorate,['decorate'],decorate,Chair,chair,0.03721,0.8584700000000001,0.85429,0.96212,1.01204,0.93484,0.92435,0.85846924541622,0.8667893757214884,0.85846924541622,0.8163292028496533,0.5076890280854376,3,3,3.0
1159,to play with,play,['play'],play,Chair,chair,0.01482,0.7749699999999999,0.94431,0.94171,0.99802,0.86842,0.90549,0.774966725054552,0.8135986241178498,0.774966725054552,0.8163292028496533,0.774966725054552,3,3,3.0
1104,sitting on,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.5752900000000001,0.7072700000000001,0.43393,0.46723,0.53828,0.5076890280854376,0.5076890280854373,0.5076890280854376,0.5076890280854373,0.5076890280854376,1,1,1.0
1104,weighing something down,weighing something,['weighing'],weighing,Chair,chair,0.16449,1.10142,1.0087,0.93607,0.87572,1.11534,1.00745,0.910020322490442,0.8667893757214884,0.910020322490442,0.8163292028496533,0.5076890280854376,2,3,2.5
1104,building a fort,building fort,"['building', 'fort']",building fort,Chair,chair,0.11595,0.9504,1.02186,0.92591,0.96752,1.10965,0.99507,0.9503979064323931,0.8845149012901702,0.9198877453763046,0.8163292028496533,0.7166161080503037,5,3,4.0
1093,sitting,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.5752900000000001,0.7072700000000001,0.43393,0.46723,0.53828,0.5076890280854376,0.5076890280854373,0.5076890280854376,0.5076890280854373,0.5076890280854376,1,1,1.0
1093,standing,standing,['standing'],standing,Chair,chair,-0.18053,0.6584099999999999,0.75055,0.71419,0.9067,0.60756,0.72748,0.6584069074910173,0.9023138314021857,0.6584069074910173,0.800676711975035,0.6584069074910173,2,2,2.0
1093,propping a door open,propping door open,"['propping', 'door', 'open']",propping door open,Chair,chair,0.12904,0.94975,1.00287,0.95214,1.07643,1.1095,1.01814,0.9497524458756604,0.8667893757214884,0.8895500566693115,0.8423748891677054,0.7550252221238352,2,3,2.5
1093,breaking,breaking,['breaking'],breaking,Chair,chair,0.09306,0.89362,1.0259,0.96634,1.06571,0.85773,0.96186,0.8936223054979183,0.8667893757214884,0.8936223054979183,0.8163292028496533,0.5076890280854376,3,3,3.0
1093,building,building,['building'],building,Chair,chair,0.00552,0.8515699999999999,0.88978,0.87022,1.0494,0.78929,0.89005,0.8515733987190588,0.8845149012901702,0.8515733987190588,0.8163292028496533,0.7166161080503037,3,3,3.0
1141,to sit on,sit,['sit'],sit,Chair,chair,-0.30458,0.52459,0.62367,0.71029,0.5577300000000001,0.53034,0.58932,0.5245882846048188,0.5245882846048183,0.5245882846048188,0.5245882846048183,0.5245882846048188,1,1,1.0
1141,to stand on to reach a higher place,stand reach higher place,"['stand', 'reach', 'higher', 'place']",stand reach higher place,Chair,chair,0.22239,1.14241,1.03548,0.98109,1.00124,1.22285,1.07661,1.1424100005038607,0.9378498480321914,0.9345617129258721,0.7921728777651129,0.5258499624525576,2,2,2.0
1141,to prop an item on,prop item,"['prop', 'item']",prop item,Chair,chair,0.18116,1.10716,0.9901,0.97383,0.97297,1.10144,1.0291,1.1071622301049289,0.8667893757214884,0.8469291531390933,0.8423748891677054,0.7550252221238352,2,3,2.5
1141,to hold something up like a box,hold something like box,"['hold', 'like', 'box']",hold like box,Chair,chair,0.19415,1.06946,0.96874,1.06104,0.94921,1.19083,1.04786,0.8028672854907948,0.904142466689594,0.7541253916785374,0.7931327518746325,0.7166161080503037,2,3,2.5
1141,to use as a weapon,use weapon,['weapon'],weapon,Chair,chair,0.15077,0.93882,0.99185,1.0615,0.91663,1.22135,1.02603,0.8034274582670693,0.8667893757214884,0.8034274582670693,0.8163292028496533,0.8034274582670693,3,4,3.5
1141,to prop up against  door to keep it closed,prop door keep closed,"['prop', 'door', 'closed']",prop door closed,Chair,chair,0.1376,0.9008,0.97323,1.1135,0.85379,1.18018,1.0043,0.8078374777216082,0.8667893757214884,0.8946076625803746,0.8423748891677054,0.7550252221238352,2,3,2.5
1176,sitting,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.5752900000000001,0.7072700000000001,0.43393,0.46723,0.53828,0.5076890280854376,0.5076890280854373,0.5076890280854376,0.5076890280854373,0.5076890280854376,1,1,1.0
1176,reaching high places,reaching high places,"['reaching', 'high', 'place']",reaching high place,Chair,chair,0.09951,0.95973,0.95915,1.03848,0.91246,0.7644299999999999,0.92685,0.8985523004679065,0.904142466689594,0.9321957557692581,0.833191664159664,0.5258499624525576,2,2,2.0
1176,hitting something,hitting something,['hitting'],hitting,Chair,chair,0.18076,1.06941,1.05315,0.93075,0.99551,1.19285,1.04833,0.812914737135535,0.8667893757214884,0.812914737135535,0.8163292028496533,0.5076890280854376,3,4,3.5
1176,musical chairs,musical chairs,"['musical', 'chair']",musical chair,Chair,chair,0.19744,1.07659,0.90073,1.16218,0.8752800000000001,1.13076,1.02911,1.0738575480972017,0.8135986241178498,0.8602754325356605,0.8163292028496533,0.774966725054552,4,3,3.5
1286,sitting,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.5752900000000001,0.7072700000000001,0.43393,0.46723,0.53828,0.5076890280854376,0.5076890280854373,0.5076890280854376,0.5076890280854373,0.5076890280854376,1,1,1.0
1286,putting clothes on,putting clothes,"['putting', 'clothes']",putting clothes,Chair,chair,0.16435,1.10138,0.95374,0.92563,0.91084,1.25926,1.03017,1.1013792956967887,1.0197859163081464,0.8084929465490597,0.8163292028496533,0.5258499624525576,3,3,3.0
1286,stepping stool,stepping stool,"['stepping', 'stool']",stepping stool,Chair,chair,0.17271,1.05765,1.02684,0.98396,0.99324,1.05835,1.02401,1.057649215943535,0.8763604746259037,0.8508190577667134,0.8163292028496533,0.8508190577667134,2,2,2.0
1286,sleeping,sleeping,['sleeping'],sleeping,Chair,chair,-0.05841,0.72357,0.83951,0.92415,0.86486,0.76989,0.8244,0.7235709947702802,0.7235709947702802,0.7235709947702802,0.8163292028496533,0.5076890280854376,4,3,3.5
1258,to sit on at the desk,sit desk,"['sit', 'desk']",sit desk,Chair,chair,0.18141,1.02633,1.03853,0.98898,0.98085,1.23893,1.05472,1.0263257047907373,0.810950181052866,0.5955746573149947,0.5955746573149947,0.5955746573149947,1,1,1.0
1258,to stand on when something is high up,stand something high,"['stand', 'high']",stand high,Chair,chair,0.00224,0.77565,0.99355,0.87572,1.07423,0.73626,0.89108,1.0789022344966757,0.7550293534115584,0.9024463944632559,0.7921728777651129,0.5076890280854376,2,2,2.0
1258,to use as a throne at the dinner table,use throne dinner table,"['throne', 'dinner', 'table']",throne dinner table,Chair,chair,0.1044,0.95459,0.92094,0.97631,0.8721,1.17558,0.9799,0.8261674852527208,0.8667893757214884,0.719391146706904,0.6078351672486216,0.5258499624525576,2,3,2.5
