id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1159,drink things out of,drink things,['drink'],drink,Cup,cup,0.07605,1.00898,0.99312,0.92786,0.85844,1.22987,1.00365,0.5174589463822956,0.6162875151723577,0.5174589463822956,0.5432395754759158,0.5174589463822956,1,1,1.0
1159,to trap bugs in,trap bugs,"['trap', 'bug']",trap bug,Cup,cup,0.08788,1.04465,0.92238,0.95697,0.95587,1.09579,0.99513,0.9980340577740726,1.0042440229495369,0.9221760932237288,0.9499979479246651,0.8240596394632617,2,3,2.5
1159,to stack with,stack,['stack'],stack,Cup,cup,-0.00602,0.93031,0.86421,0.96848,0.86841,0.99368,0.92502,0.9303129860484854,0.8716429300399717,0.9303129860484854,0.8584722586327077,3.3306690738754696e-16,2,3,2.5
1159,to put food in,put food,['food'],food,Cup,cup,0.10366,1.00391,1.01563,0.94188,0.99839,1.23168,1.0383,0.841775936383241,0.9028065638179443,0.841775936383241,0.8149260769734218,0.5789835642419497,2,2,2.0
1159,to play games with,play games,"['play', 'game']",play game,Cup,cup,0.08786,0.98729,1.03893,0.95548,0.97349,1.05904,1.00285,0.9984476859588518,0.9093556700204039,0.7837850644031306,0.6870557760936193,0.7117945103732299,3,3,3.0
1159,to transport things in,transport things,['transport'],transport,Cup,cup,0.11118,1.00065,1.04934,0.96476,1.0187,1.1277,1.03223,1.0184049917796558,0.8716429300399717,1.0184049917796558,0.8584722586327077,0.48911007109598525,3,3,3.0
1159,to roll around,roll around,['roll'],roll,Cup,cup,0.13282,1.02718,1.03193,1.02744,1.00841,1.14709,1.04841,0.9032905506774085,0.8716429300399717,0.9032905506774085,0.8584722586327077,0.48911007109598525,3,3,3.0
1159,to use as a decoration,use decoration,['decoration'],decoration,Cup,cup,0.06388,0.97108,0.9131,1.07466,0.89458,1.14611,0.99991,0.9052200927174197,0.8716429300399717,0.9052200927174197,0.9052200927174195,0.48911007109598525,3,3,3.0
1104,measuring liquids,measuring liquids,"['measuring', 'liquid']",measuring liquid,Cup,cup,0.13808,0.9985,1.09618,1.08006,1.00322,1.06103,1.0478,0.9254192394123484,0.9359917968047085,0.9075762429383996,0.8055698653890987,0.6863055179232651,2,2,2.0
1104,drinking from,drinking,['drinking'],drinking,Cup,cup,-0.24249,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,0.6377858088992402,0.8716429300399717,0.6377858088992402,0.6870557760936193,0.48911007109598525,1,1,1.0
1104,creating a rhythm,creating rhythm,"['creating', 'rhythm']",creating rhythm,Cup,cup,0.10133,1.00714,1.05018,0.99843,0.88567,1.13176,1.01464,1.0071424702716127,0.8716429300399717,0.9761985760895995,0.8584722586327077,0.48911007109598525,4,3,3.5
1104,drawing a circle,drawing circle,"['drawing', 'circle']",drawing circle,Cup,cup,0.10684,0.99324,1.0549,0.98188,0.99182,1.11144,1.02666,0.9932433115759702,0.8716429300399717,0.9099410236436445,0.8584722586327077,0.6219826344125163,4,3,3.5
1104,holding pencils,holding pencils,"['holding', 'pencil']",holding pencil,Cup,cup,0.08997,0.97107,1.00488,1.03839,1.01286,1.01773,1.00899,1.0427964369839793,0.968478896594405,0.8061820208590423,0.8584722586327077,0.7384922954774766,2,3,2.5
1093,drinking,drinking,['drinking'],drinking,Cup,cup,-0.24249,0.63779,0.75091,0.83641,0.77143,0.83234,0.76578,0.6377858088992402,0.8716429300399717,0.6377858088992402,0.6870557760936193,0.48911007109598525,1,1,1.0
1093,spilling,spilling,['spilling'],spilling,Cup,cup,-0.18377,0.71986,0.78312,0.82158,0.78678,0.94043,0.81035,0.7198567031042566,0.8716429300399717,0.7198567031042566,0.8584722586327077,0.48911007109598525,3,2,2.5
1093,placing pens,placing pens,"['placing', 'pen']",placing pen,Cup,cup,0.09911,0.98032,1.07036,0.9772,0.97174,1.09795,1.01951,0.9921870848507456,0.918172875455545,0.9780471855396577,0.7810268197737025,0.48911007109598525,2,3,2.5
