id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1094,to climb with,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.6624739228774541,0.7103810024275333,0.6624739228774541,0.6881930764898914,0.6624739228774541,1,1,1.0
1094,to hang things,hang things,['hang'],hang,Rope,rope,0.17006,1.06316,1.04354,0.97047,0.98586,1.10792,1.03419,0.7253324923435046,0.8553942049009617,0.7253324923435046,0.7891291473808957,0.5028753600461592,2,3,2.5
1094,as a decoration,decoration,['decoration'],decoration,Rope,rope,0.0207,0.88733,0.95334,0.88736,1.00763,0.88772,0.92468,0.8873613263419279,0.8553942049009617,0.8873613263419279,0.7891291473808957,0.5028753600461592,3,3,3.0
1094,to make unique designs with,make unique designs,"['unique', 'design']",unique design,Rope,rope,0.08675,0.974,0.90674,1.04841,1.0386,0.88666,0.97088,1.0330261507217693,0.8553942049009617,0.9969824587558221,0.8114627783920656,0.5028753600461592,4,3,3.5
1094,to tie different knots,tie different knots,"['tie', 'different', 'knot']",tie different knot,Rope,rope,0.06728,0.88316,0.94245,1.00882,0.91205,0.96189,0.94167,1.0567622083746844,0.8007323045008166,0.9419435868728919,0.7506549143674563,0.5838108218708807,1,2,1.5
1093,tying,tying,['tying'],tying,Rope,rope,-0.26046,0.55332,0.60753,0.70139,0.88345,0.68301,0.68574,0.7013854062730374,0.8542325139695173,0.7013854062730374,0.8114627783920656,0.7013854062730374,1,2,1.5
1093,strangling,strangling,['strangling'],strangling,Rope,rope,-0.11668,0.75183,0.68607,0.74526,1.04881,0.85181,0.81676,0.7452648823460934,0.8553942049009617,0.7452648823460934,0.8114627783920656,0.5028753600461592,3,2,2.5
1093,dangling,dangling,['dangling'],dangling,Rope,rope,-0.34252,0.53652,0.6413,0.64232,0.73285,0.5006200000000001,0.61072,0.642323843608209,0.8553942049009617,0.642323843608209,0.642323843608209,0.5028753600461592,2,2,2.0
1093,loosening,loosening,['loosening'],loosening,Rope,rope,-0.12828,0.75619,0.7826,0.7343999999999999,0.77427,0.84373,0.77824,0.7343957364062406,0.8553942049009617,0.7343957364062406,0.8114627783920656,0.5028753600461592,2,2,2.0
1093,jumping,jumping,['jumping'],jumping,Rope,rope,-0.28383,0.64873,0.72521,0.6891499999999999,0.56684,0.55123,0.63623,0.6891466722744166,0.7803881147929523,0.6891466722744166,0.7101017831162206,0.6891466722744166,2,3,2.5
1093,shaking,shaking,['shaking'],shaking,Rope,rope,-0.05986,0.7912399999999999,0.89778,0.8414699999999999,0.93716,0.8031699999999999,0.85416,0.8414714456004019,0.8553942049009617,0.8414714456004019,0.8114627783920656,0.5028753600461592,2,3,2.5
1093,pulling,pulling,['pulling'],pulling,Rope,rope,-0.22071,0.69754,0.81565,0.72677,0.6419900000000001,0.60127,0.69664,0.7267741571879294,0.8553942049009617,0.7267741571879294,0.8114627783920656,0.7267741571879294,2,1,1.5
1159,climb,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.6624739228774541,0.7103810024275333,0.6624739228774541,0.6881930764898914,0.6624739228774541,1,1,1.0
1159,travel,travel,['travel'],travel,Rope,rope,0.10625,0.96111,1.04832,0.9802,1.04357,0.94342,0.99532,0.9802004925607497,0.8553942049009617,0.9802004925607497,0.8114627783920656,0.5028753600461592,3,4,3.5
1159,use to jump off something with,use jump something,['jump'],jump,Rope,rope,-0.0088,0.75353,0.87618,0.96853,0.99522,0.87414,0.89352,0.7607435760480408,0.8553942049009617,0.7607435760480408,0.8295225347054728,0.6891466722744166,2,1,1.5
1159,connect things,connect things,['connect'],connect,Rope,rope,0.1468,1.02112,1.04459,0.98037,0.92661,1.07248,1.00903,0.9452385721544361,0.8553942049009617,0.9452385721544361,0.8114627783920656,0.8441503682056581,2,1,1.5
1159,use for a workout,use workout,['workout'],workout,Rope,rope,0.17709,1.02538,1.05244,1.00655,1.04674,1.10157,1.04654,0.8951206965636728,0.8553942049009617,0.8951206965636728,0.8295225347054728,0.6891466722744166,3,3,3.0
1159,use to wrap presents,use wrap presents,"['wrap', 'present']",wrap present,Rope,rope,0.06606,0.98597,0.93423,0.94061,1.03032,0.90467,0.95916,1.0234974569610118,0.8553942049009617,1.0126790089450624,0.9123171025441335,0.5028753600461592,3,3,3.0
1159,decorative,decorative,['decorative'],decorative,Rope,rope,-0.01687,0.87709,0.92443,0.88069,1.04079,0.78079,0.90076,0.8806912115576196,0.8553942049009617,0.8806912115576196,0.8114627783920656,0.5028753600461592,3,3,3.0
1159,tie knots,tie knots,"['tie', 'knot']",tie knot,Rope,rope,0.10887,0.91629,1.04631,0.9431,0.96013,1.06317,0.9858,0.9469352678481051,0.8007323045008166,0.7282731057012934,0.7506549143674563,0.5838108218708807,1,2,1.5
1159,hold things together,hold things together,['hold'],hold,Rope,rope,-0.01869,0.76367,0.97092,0.88031,0.99267,0.86263,0.89404,0.8548287512306985,0.8553942049009617,0.8548287512306985,0.8605955909760895,0.5028753600461592,1,3,2.0
1195,tie a boat to a dock,tie boat dock,"['tie', 'boat', 'dock']",tie boat dock,Rope,rope,-0.07179,0.76683,0.84691,0.87332,0.84501,0.81383,0.82918,0.8733223338311369,0.7932840254520953,0.8669290482610481,0.7506549143674563,0.6970220132949521,1,2,1.5
1195,use it for working out,use working,['working'],working,Rope,rope,0.13852,0.96186,1.02152,0.96677,0.96107,1.11669,1.00558,0.964029145300194,0.9551152671268037,0.964029145300194,0.8114627783920656,0.5028753600461592,3,3,3.0
1195,for tying a knot,tying knot,"['tying', 'knot']",tying knot,Rope,rope,0.09172,0.90409,0.96919,0.96315,1.01425,1.02672,0.97548,0.9631497799255284,0.8542325139695173,0.7013854062730374,0.8114627783920656,0.7013854062730374,1,2,1.5
1195,to swing,swing,['swing'],swing,Rope,rope,-0.18685,0.62637,0.83023,0.7562599999999999,0.65175,0.7401800000000001,0.72096,0.7562622805128174,0.8553942049009617,0.7562622805128174,0.7804653034492245,0.7562622805128174,2,1,1.5
1141,to exercise,exercise,['exercise'],exercise,Rope,rope,-0.03245,0.83136,0.8672,0.93012,0.79905,0.83269,0.85208,0.9301194059973446,0.8553942049009617,0.9301194059973446,0.8114627783920656,0.5028753600461592,3,2,2.5
1141,to tie objects together,tie objects together,"['tie', 'object']",tie object,Rope,rope,-0.00681,0.8158,0.93669,0.92769,0.91513,0.85407,0.88988,0.9854533798449434,0.7932840254520953,0.906730308939218,0.7506549143674563,0.7282731057012934,1,2,1.5
1141,to hang objects,hang objects,"['hang', 'object']",hang object,Rope,rope,0.15628,0.97055,0.95467,1.0179,0.86422,1.1931,1.00009,0.9963325487678971,0.9249790317933524,0.906730308939218,0.7891291473808957,0.6521477437149363,2,1,1.5
