id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1159,wear on feet,wear feet,"['wear', 'foot']",wear foot,Shoe,shoe,0.1434,1.14806,1.11889,0.99901,1.05112,1.00992,1.0654,1.0188040715301685,1.0234031971322284,0.6787923786560843,0.6787923786560841,0.6296080295439515,1,1,1.0
1159,to put stuff in,put stuff,['stuff'],stuff,Shoe,shoe,0.09572,1.00684,0.99932,1.06153,0.88234,1.12912,1.01583,0.8211879841352161,0.8935096122609917,0.8211879841352161,0.8803050377641295,0.40340062564582,3,3,3.0
1159,to workout in,workout,['workout'],workout,Shoe,shoe,-0.11277,0.85628,0.8188,0.8336600000000001,0.96214,0.85576,0.86533,0.8557560054411908,0.9086854677403604,0.8557560054411908,0.8803050377641295,0.40340062564582,1,1,1.0
1159,to use as a bug killer,use bug killer,"['bug', 'killer']",bug killer,Shoe,shoe,0.00311,0.90506,0.98642,1.01619,0.9306,0.93217,0.95409,1.0610345017449783,1.0301950556215482,0.9074081742693941,0.9457865667536969,0.8527815088796638,2,3,2.5
1159,to use as a decoration,use decoration,['decoration'],decoration,Shoe,shoe,0.07513,1.06171,0.92742,0.90422,1.07697,1.09134,1.01233,0.900678735567437,0.900678735567437,0.900678735567437,0.8803050377641295,0.40340062564582,3,4,3.5
1104,putting on your feet,putting feet,"['putting', 'foot']",putting foot,Shoe,shoe,0.09987,1.13939,1.01785,0.91837,1.00091,1.0467,1.02464,1.013099926889229,1.013099926889229,0.8197338649974573,0.8830725080952038,0.6787923786560843,1,1,1.0
1104,hitting a bug,hitting bug,"['hitting', 'bug']",hitting bug,Shoe,shoe,0.1222,1.1814,1.0367,0.9808,1.02583,1.00179,1.0453,1.0017925400635348,1.0301950556215482,0.8533403331923349,0.9457865667536969,0.8527815088796638,2,3,2.5
1104,dog toy,dog toy,"['dog', 'toy']",dog toy,Shoe,shoe,0.07596,1.02058,0.97744,1.04055,1.02751,1.0072,1.01466,1.0071973882458691,0.9086854677403604,0.7872371506379663,0.8345738727392757,0.40340062564582,3,3,3.0
1093,killing a bug,killing bug,"['killing', 'bug']",killing bug,Shoe,shoe,0.10531,1.11177,0.98996,1.01648,0.98766,1.0458,1.03033,1.045802626564374,1.045802626564374,0.9332450000800581,0.9457865667536969,0.9332450000800581,2,3,2.5
1093,wearing on a foot,wearing foot,"['wearing', 'foot']",wearing foot,Shoe,shoe,0.09486,1.12419,1.07073,0.96751,0.96209,0.97832,1.02057,0.9783218687985372,0.799050658286292,0.6787923786560843,0.6693432986707,0.6787923786560843,1,1,1.0
1093,throwing over a power line,throwing power line,"['throwing', 'power', 'line']",throwing power line,Shoe,shoe,-0.03278,0.86147,0.9496,1.02721,0.91794,0.88109,0.92746,0.8810897811492436,0.9086854677403604,0.9108543844121524,0.8803050377641295,0.7834849196124456,4,3,3.5
1093,selling,selling,['selling'],selling,Shoe,shoe,-0.09216,0.84204,0.92941,0.89685,0.96769,0.79094,0.88539,0.7909406912565754,0.9086854677403604,0.7909406912565754,0.8803050377641295,0.40340062564582,3,4,3.5
1093,throwing,throwing,['throwing'],throwing,Shoe,shoe,-0.08209,0.83038,0.88037,0.99284,1.00628,0.78348,0.89867,0.7834849196124456,0.9086854677403604,0.7834849196124456,0.8803050377641295,0.7834849196124456,2,3,2.5
1141,to wear on foot,wear foot,"['wear', 'foot']",wear foot,Shoe,shoe,0.09522,1.12284,1.07834,0.88637,1.00337,1.0188,1.02194,1.0188040715301685,1.0234031971322284,0.6787923786560843,0.6787923786560841,0.6296080295439515,1,1,1.0
1141,to use as a weight,use weight,['weight'],weight,Shoe,shoe,0.1207,1.13308,0.9333,1.0121,1.05099,1.09863,1.04562,0.8433200072626508,0.9086854677403604,0.8433200072626508,0.8803050377641295,0.40340062564582,3,4,3.5
1141,to store things in,store things,['store'],store,Shoe,shoe,0.05042,0.97569,1.0087,0.89732,0.85326,1.14238,0.97547,0.5988030194768248,0.8842149353684364,0.5988030194768248,0.8532532808798577,0.5988030194768248,3,3,3.0
1141,to throw at someone,throw someone,['throw'],throw,Shoe,shoe,0.12704,1.00731,1.09786,1.06369,1.03538,1.07071,1.05499,0.7759380195723291,0.7838286173541077,0.7759380195723291,0.8039567117503709,0.7759380195723291,2,3,2.5
1141,to tie together and sling it on a wire,tie together sling wire,"['tie', 'sling', 'wire']",tie sling wire,Shoe,shoe,0.02373,1.05898,0.9993,0.99881,0.8853800000000001,0.87307,0.96311,1.0651504855414167,0.9727363262742056,0.8220653711711765,0.8803050377641295,0.7385787379753075,5,3,4.0
1176,Running,running,['running'],running,Shoe,shoe,-0.1012,0.78952,0.93675,0.88544,0.93103,0.8347100000000001,0.87549,0.8347085791314214,0.9086854677403604,0.8347085791314214,0.8347085791314213,0.8347085791314214,1,1,1.0
1176,Swatting bugs,swatting bugs,"['swatting', 'bug']",swatting bug,Shoe,shoe,0.1036,1.14023,1.08536,0.95144,0.98176,0.98251,1.02826,0.9767923657228754,1.0301950556215482,1.0272723353507818,0.9457865667536969,0.8527815088796638,2,2,2.0
1286,walking,walking,['walking'],walking,Shoe,shoe,-0.2004,0.71429,0.88577,0.81115,0.79483,0.73985,0.78918,0.7398470980465397,0.9086854677403604,0.7398470980465397,0.7588193942635162,0.7398470980465397,1,1,1.0
1286,comfort,comfort,['comfort'],comfort,Shoe,shoe,-0.06405,0.83098,0.96164,0.80985,1.06283,0.89376,0.91181,0.8937619170348294,0.9086854677403604,0.8937619170348294,0.8803050377641295,0.40340062564582,2,3,2.5
1286,style,style,['style'],style,Shoe,shoe,-0.12649,0.77309,0.88167,0.87182,0.96347,0.80577,0.85916,0.8057683006092258,0.9086854677403604,0.8057683006092258,0.8803050377641295,0.40340062564582,2,2,2.0
1258,to wear when going outside,wear going outside,"['wear', 'going', 'outside']",wear going outside,Shoe,shoe,-0.0361,0.78264,1.03198,0.97934,0.97499,0.8869400000000001,0.93118,0.8869441185932687,0.6955435442775355,0.88322909575278,0.6753860014873132,0.6296080295439515,1,1,1.0
1258,to store socks in after a run,store socks run,"['store', 'sock', 'run']",store sock run,Shoe,shoe,-0.10807,0.73024,0.93249,0.87689,0.88796,0.90422,0.86636,1.0639495250962094,0.8842149353684364,0.9186418255514852,0.8532532808798577,0.5988030194768248,3,3,3.0
1258,to squash bugs inside the house,squash bugs inside house,"['squash', 'bug', 'inside', 'house']",squash bug inside house,Shoe,shoe,0.11314,1.15814,0.89549,1.0776,1.02579,1.03968,1.03934,1.0459932760820458,1.0301950556215482,0.9494263593819632,0.9457865667536969,0.8527815088796638,2,2,2.0
1258,to put at the door when entering the house,put door entering house,"['door', 'entering', 'house']",door entering house,Shoe,shoe,0.06676,0.8938200000000001,1.02128,1.02945,1.02159,1.07805,1.00884,0.9024101382242226,0.98652627186391,0.9305848029847112,0.9204969026600256,0.888769350242422,2,3,2.5
1258,wear house shoes around the house to keep my feet warm,wear house shoes around house keep feet warm,"['wear', 'house', 'shoe', 'house', 'foot', 'warm']",wear house shoe house foot warm,Shoe,shoe,0.21392,1.20217,1.09806,1.11513,1.13481,1.08237,1.12651,1.0831918299590089,1.0234031971322284,0.9420009826198974,0.9204969026600256,0.6296080295439515,1,2,1.5
1221,wear on feet,wear feet,"['wear', 'foot']",wear foot,Shoe,shoe,0.1434,1.14806,1.11889,0.99901,1.05112,1.00992,1.0654,1.0188040715301685,1.0234031971322284,0.6787923786560843,0.6787923786560841,0.6296080295439515,1,1,1.0
1221,horseshoe for throwing,horseshoe throwing,"['horseshoe', 'throwing']",horseshoe throwing,Shoe,shoe,0.0524,1.00606,0.96787,1.03652,1.00669,0.962,0.99583,0.9619987993369553,0.9086854677403604,0.9128977334466094,0.8803050377641295,0.9128977334466094,5,3,4.0
1221,shoes to leave on porch to detract intruders,shoes leave porch detract intruders,"['shoe', 'leave', 'porch', 'detract', 'intruder']",shoe leave porch detract intruder,Shoe,shoe,-0.02438,0.8989,1.00918,0.846,0.98288,0.93328,0.93405,0.9490104162977308,0.9086854677403604,1.021667910373551,0.9301447394013527,0.40340062564582,4,5,4.5
