id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1094,to store things,store things,['store'],store,Box,box,0.10492,1.01635,1.07313,0.90745,0.94789,1.25812,1.04059,0.9934138915252378,0.9868604547806537,0.9934138915252378,0.9970287077320434,0.9901956376476175,1,1,1.0
1094,to build a fort,build fort,"['build', 'fort']",build fort,Box,box,0.09326,1.02406,0.9625,0.99679,1.0124,1.12745,1.02464,1.0124029325967006,1.007440118870625,1.0478583955941683,1.0258972750076212,0.9949982736599103,3,4,3.5
1094,as an umbrella,umbrella,['umbrella'],umbrella,Box,box,-0.10172,0.79271,0.84168,0.86173,0.8421,0.95703,0.85905,0.842102114407515,0.9752814967826218,0.842102114407515,0.9772081664133748,0.5997416316907723,3,4,3.5
1094,to catch a bunny,catch bunny,"['catch', 'bunny']",catch bunny,Box,box,0.08421,0.9845,1.05335,1.00394,1.056,1.0595,1.03146,1.0560005262424659,0.9752814967826218,1.0066273639479169,0.9772081664133748,0.5997416316907723,3,4,3.5
1093,standing on,standing,['standing'],standing,Box,box,-0.09459,0.7635,0.90615,0.94337,1.1616,0.79047,0.91302,1.1615988419760641,0.9752814967826218,1.1615988419760641,0.9772081664133748,0.5997416316907723,2,2,2.0
1093,putting items in,putting items,"['putting', 'item']",putting item,Box,box,0.12255,1.05612,1.02841,0.93182,0.92573,1.27109,1.04263,0.9531348795975295,1.0025236683174208,0.9837967642918466,1.0024324006641032,0.9837967642918466,1,1,1.0
1093,opening,opening,['opening'],opening,Box,box,-0.1147,0.81137,0.85193,0.89674,0.84175,0.69811,0.81998,0.8417499200108483,0.9752814967826218,0.8417499200108483,0.9772081664133748,0.5997416316907723,1,1,1.0
1093,closing,closing,['closing'],closing,Box,box,-0.01685,0.89919,0.91007,0.95747,1.0403,0.87446,0.9363,1.0402951702876744,0.9752814967826218,1.0402951702876744,0.9772081664133748,0.5997416316907723,1,1,1.0
1093,cutting,cutting,['cutting'],cutting,Box,box,-0.05938,0.84921,0.8765,0.90192,1.09557,0.84783,0.91421,1.0955724951996197,0.9752814967826218,1.0955724951996197,0.9772081664133748,0.5997416316907723,1,2,1.5
1093,make a dollhouse,make dollhouse,['dollhouse'],dollhouse,Box,box,0.07547,1.02649,0.98441,1.10588,1.06289,0.74656,0.98525,0.9114882890972136,0.9752814967826218,0.9114882890972136,0.9772081664133748,0.5997416316907723,3,4,3.5
1093,fill,fill,['fill'],fill,Box,box,-0.11334,0.81187,0.86604,0.86811,0.86095,0.7224,0.82587,0.8609514973397228,0.9752814967826218,0.8609514973397228,0.9772081664133748,0.5997416316907723,1,1,1.0
