id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1094,to climb with,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.5694323511833834,0.6404889419529946,0.5694323511833834,0.5881086500748006,0.5694323511833834,1,1,1.0
1094,to hang things,hang things,['hang'],hang,Rope,rope,0.17006,1.06316,1.04354,0.97047,0.98586,1.10792,1.03419,0.5562073880494447,0.7302379145399379,0.5562073880494447,0.6609017871377075,0.5562073880494447,2,3,2.5
1094,as a decoration,decoration,['decoration'],decoration,Rope,rope,0.0207,0.88733,0.95334,0.88736,1.00763,0.88772,0.92468,0.8873314984842599,0.7302379145399379,0.8873314984842599,0.6609017871377075,0.5562073880494447,3,3,3.0
1094,to make unique designs with,make unique designs,"['unique', 'design']",unique design,Rope,rope,0.08675,0.974,0.90674,1.04841,1.0386,0.88666,0.97088,0.9795023852871867,0.826321102862402,0.9886834356969026,0.7623439590197469,0.47310769849441503,4,3,3.5
1094,to tie different knots,tie different knots,"['tie', 'different', 'knot']",tie different knot,Rope,rope,0.06728,0.88316,0.94245,1.00882,0.91205,0.96189,0.94167,0.8782727655411693,0.7758703760202196,0.9347808329940993,0.5140253639022405,0.4939893891835807,1,2,1.5
1093,tying,tying,['tying'],tying,Rope,rope,-0.26046,0.55332,0.60753,0.70139,0.88345,0.68301,0.68574,0.5533153873589637,0.7417333808637028,0.5533153873589637,0.6221551831456174,0.5533153873589637,1,2,1.5
1093,strangling,strangling,['strangling'],strangling,Rope,rope,-0.11668,0.75183,0.68607,0.74526,1.04881,0.85181,0.81676,0.7518275901572112,0.826321102862402,0.7518275901572112,0.7623439590197469,0.47310769849441503,3,2,2.5
1093,dangling,dangling,['dangling'],dangling,Rope,rope,-0.34252,0.53652,0.6413,0.64232,0.73285,0.50062,0.61072,0.5365182326116542,0.826321102862402,0.5365182326116542,0.7623439590197469,0.47310769849441503,2,2,2.0
1093,loosening,loosening,['loosening'],loosening,Rope,rope,-0.12828,0.75619,0.7826,0.7344,0.77427,0.84373,0.77824,0.7561880665825021,0.826321102862402,0.7561880665825021,0.7623439590197469,0.47310769849441503,2,2,2.0
1093,jumping,jumping,['jumping'],jumping,Rope,rope,-0.28383,0.64873,0.72521,0.68915,0.56684,0.55123,0.63623,0.6487272354832879,0.826321102862402,0.6487272354832879,0.7623439590197469,0.47310769849441503,2,3,2.5
1093,shaking,shaking,['shaking'],shaking,Rope,rope,-0.05986,0.79124,0.89778,0.84147,0.93716,0.80317,0.85416,0.7912380755719473,0.826321102862402,0.7912380755719473,0.7623439590197469,0.47310769849441503,2,3,2.5
1093,pulling,pulling,['pulling'],pulling,Rope,rope,-0.22071,0.69754,0.81565,0.72677,0.64199,0.60127,0.69664,0.6975427103743151,0.8310967726450751,0.6975427103743151,0.7671764269085352,0.6119446857712152,2,1,1.5
1159,climb,climb,['climb'],climb,Rope,rope,-0.28333,0.56943,0.68518,0.66247,0.66394,0.64988,0.64618,0.5694323511833834,0.6404889419529946,0.5694323511833834,0.5881086500748006,0.5694323511833834,1,1,1.0
1159,travel,travel,['travel'],travel,Rope,rope,0.10625,0.96111,1.04832,0.9802,1.04357,0.94342,0.99532,0.9611110487193979,0.826321102862402,0.9611110487193979,0.7623439590197469,0.47310769849441503,3,4,3.5
1159,use to jump off something with,use jump something,['jump'],jump,Rope,rope,-0.0088,0.75353,0.87618,0.96853,0.99522,0.87414,0.89352,0.583370384747079,0.826321102862402,0.583370384747079,0.7623439590197469,0.47310769849441503,2,1,1.5
1159,connect things,connect things,['connect'],connect,Rope,rope,0.1468,1.02112,1.04459,0.98037,0.92661,1.07248,1.00903,0.8025489337380158,0.8310967726450751,0.8025489337380158,0.7671764269085352,0.6119446857712152,2,1,1.5
1159,use for a workout,use workout,['workout'],workout,Rope,rope,0.17709,1.02538,1.05244,1.00655,1.04674,1.10157,1.04654,0.8308103336103794,0.826321102862402,0.8308103336103794,0.7623439590197469,0.47310769849441503,3,3,3.0
1159,use to wrap presents,use wrap presents,"['wrap', 'present']",wrap present,Rope,rope,0.06606,0.98597,0.93423,0.94061,1.03032,0.90467,0.95916,1.069765484363403,0.826321102862402,0.9290044460177305,0.7623439590197469,0.47310769849441503,3,3,3.0
1159,decorative,decorative,['decorative'],decorative,Rope,rope,-0.01687,0.87709,0.92443,0.88069,1.04079,0.78079,0.90076,0.8770921138307094,0.826321102862402,0.8770921138307094,0.7623439590197469,0.47310769849441503,3,3,3.0
1159,tie knots,tie knots,"['tie', 'knot']",tie knot,Rope,rope,0.10887,0.91629,1.04631,0.9431,0.96013,1.06317,0.9858,0.9811996249400211,0.7758703760202196,0.4939893891835807,0.5140253639022405,0.4939893891835807,1,2,1.5
1159,hold things together,hold things together,['hold'],hold,Rope,rope,-0.01869,0.76367,0.97092,0.88031,0.99267,0.86263,0.89404,0.6247346319761384,0.7722004015037188,0.6247346319761384,0.707593470701836,0.6247346319761384,1,3,2.0
